m iriomotense,nifH,Inga laurina,nodule,,genomic DNA,NifH,2..388 KT880591,# Direct Submission,,
AMT77018.1,,Bradyrhizobium iriomotense,"# Rhem,M.F.K., Silva,V.C., dos Santos,J.M.F., dos Santos,H.R.M. and # Gross,E.",,Mariana F.K. Rhem,,Brazil,06-APR-2016,"Bradyrhizobium iriomotense strain BRUESC655 nitrogenase reductase (nifH) gene, partial cds.",Bradyrhizobium iriomotense,nifH,Inga laurina,nodule,,genomic DNA,NifH,2..388 KT880592,# Direct Submission,,
AMT81182.1,,uncultured Bradyrhizobium,"# Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M. # Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M.",NF_USTRW7,,,,26-JUN-2016,"Uncultured Bradyrhizobium sp. clone NF_USTRW7 dinitrogenase reductase (nifH) gene, partial cds.",uncultured Bradyrhizobium sp.,nifH,,pristine wheat straw,,genomic DNA,,KR350508,# Hydrocarbon degradation and heavy metal resistance potential of microorganisms associated with lignified natural products used as sorbents of spilled oil # Direct Submission,,
AMT81183.1,,uncultured nitrogen-fixing,"# Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M. # Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M.",NF_USTRW8,,,,26-JUN-2016,"Uncultured nitrogen-fixing bacterium clone NF_USTRW8 dinitrogenase reductase (nifH) gene, partial cds.",uncultured nitrogen-fixing bacterium,nifH,,pristine wheat straw,,genomic DNA,,KR350509,# Hydrocarbon degradation and heavy metal resistance potential of microorganisms associated with lignified natural products used as sorbents of spilled oil # Direct Submission,,
AMT81184.1,,uncultured Raoultella,"# Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M. # Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M.",NF_USTRW9,,,,26-JUN-2016,"Uncultured Raoultella sp. clone NF_USTRW9 dinitrogenase reductase (nifH) gene, partial cds.",uncultured Raoultella sp.,nifH,,pristine wheat straw,,genomic DNA,,KR350510,# Hydrocarbon degradation and heavy metal resistance potential of microorganisms associated with lignified natural products used as sorbents of spilled oil # Direct Submission,,
AMT81185.1,,uncultured Enterobacter,"# Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M. # Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M.",NF_USTRW10,,,,26-JUN-2016,"Uncultured Enterobacter sp. clone NF_USTRW10 dinitrogenase reductase (nifH) gene, partial cds.",uncultured Enterobacter sp.,nifH,,pristine wheat straw,,genomic DNA,,KR350511,# Hydrocarbon degradation and heavy metal resistance potential of microorganisms associated with lignified natural products used as sorbents of spilled oil # Direct Submission,,
AMT81186.1,,uncultured nitrogen-fixing,"# Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M. # Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M.",NF_USTRW15,,,,26-JUN-2016,"Uncultured nitrogen-fixing bacterium clone NF_USTRW15 dinitrogenase reductase (nifH) gene, partial cds.",uncultured nitrogen-fixing bacterium,nifH,,pristine wheat straw,,genomic DNA,,KR350512,# Hydrocarbon degradation and heavy metal resistance potential of microorganisms associated with lignified natural products used as sorbents of spilled oil # Direct Submission,,
AMT81187.1,,uncultured Enterobacter,"# Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M. # Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M.",NF_TSTRW3,,,,26-JUN-2016,"Uncultured Enterobacter sp. clone NF_TSTRW3 dinitrogenase reductase (nifH) gene, partial cds.",uncultured Enterobacter sp.,nifH,,oily wheat straw,,genomic DNA,,KR350513 complement(1..231),# Hydrocarbon degradation and heavy metal resistance potential of microorganisms associated with lignified natural products used as sorbents of spilled oil # Direct Submission,,
AMT81188.1,,uncultured Methylocystis,"# Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M. # Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M.",NF_TSTRW4,,,,26-JUN-2016,"Uncultured Methylocystis sp. clone NF_TSTRW4 dinitrogenase reductase (nifH) gene, partial cds.",uncultured Methylocystis sp.,nifH,,oily wheat straw,,genomic DNA,,KR350514 complement(1..231),# Hydrocarbon degradation and heavy metal resistance potential of microorganisms associated with lignified natural products used as sorbents of spilled oil # Direct Submission,,
AMT81189.1,,uncultured Raoultella,"# Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M. # Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M.",NF_TSTRW5,,,,26-JUN-2016,"Uncultured Raoultella sp. clone NF_TSTRW5 dinitrogenase reductase (nifH) gene, partial cds.",uncultured Raoultella sp.,nifH,,oily wheat straw,,genomic DNA,,KR350515 complement(1..240),# Hydrocarbon degradation and heavy metal resistance potential of microorganisms associated with lignified natural products used as sorbents of spilled oil # Direct Submission,,
AMT81190.1,,uncultured Burkholderia,"# Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M. # Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M.",NF_TSTRW6,,,,26-JUN-2016,"Uncultured Burkholderia sp. clone NF_TSTRW6 dinitrogenase reductase (nifH) gene, partial cds.",uncultured Burkholderia sp.,nifH,,oily wheat straw,,genomic DNA,,KR350516 complement(1..237),# Hydrocarbon degradation and heavy metal resistance potential of microorganisms associated with lignified natural products used as sorbents of spilled oil # Direct Submission,,
AMT81191.1,,uncultured Bradyrhizobium,"# Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M. # Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M.",NF_TSTRW7,,,,26-JUN-2016,"Uncultured Bradyrhizobium sp. clone NF_TSTRW7 dinitrogenase reductase (nifH) gene, partial cds.",uncultured Bradyrhizobium sp.,nifH,,oily wheat straw,,genomic DNA,,KR350517 complement(1..231),# Hydrocarbon degradation and heavy metal resistance potential of microorganisms associated with lignified natural products used as sorbents of spilled oil # Direct Submission,,
AMT81192.1,,uncultured Raoultella,"# Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M. # Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M.",NF_TSTRW8,,,,26-JUN-2016,"Uncultured Raoultella sp. clone NF_TSTRW8 dinitrogenase reductase (nifH) gene, partial cds.",uncultured Raoultella sp.,nifH,,oily wheat straw,,genomic DNA,,KR350518 complement(1..240),# Hydrocarbon degradation and heavy metal resistance potential of microorganisms associated with lignified natural products used as sorbents of spilled oil # Direct Submission,,
AMT81193.1,,uncultured Raoultella,"# Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M. # Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M.",NF_TSTRW9,,,,26-JUN-2016,"Uncultured Raoultella sp. clone NF_TSTRW9 dinitrogenase reductase (nifH) gene, partial cds.",uncultured Raoultella sp.,nifH,,oily wheat straw,,genomic DNA,,KR350519 complement(1..240),# Hydrocarbon degradation and heavy metal resistance potential of microorganisms associated with lignified natural products used as sorbents of spilled oil # Direct Submission,,
AMT81194.1,,uncultured Bradyrhizobium,"# Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M. # Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M.",NF_TSTRW10,,,,26-JUN-2016,"Uncultured Bradyrhizobium sp. clone NF_TSTRW10 dinitrogenase reductase (nifH) gene, partial cds.",uncultured Bradyrhizobium sp.,nifH,,oily wheat straw,,genomic DNA,,KR350520 complement(1..231),# Hydrocarbon degradation and heavy metal resistance potential of microorganisms associated with lignified natural products used as sorbents of spilled oil # Direct Submission,,
AMT81195.1,,uncultured Methylocystis,"# Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M. # Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M.",NF_USTRW1,,,,26-JUN-2016,"Uncultured Methylocystis sp. clone NF_USTRW1 dinitrogenase reductase (nifH) gene, partial cds.",uncultured Methylocystis sp.,nifH,,pristine wheat straw,,genomic DNA,,KR350521 complement(1..237),# Hydrocarbon degradation and heavy metal resistance potential of microorganisms associated with lignified natural products used as sorbents of spilled oil # Direct Submission,,
AMT81196.1,,uncultured Methylocystis,"# Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M. # Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M.",NF_USTRW2,,,,26-JUN-2016,"Uncultured Methylocystis sp. clone NF_USTRW2 dinitrogenase reductase (nifH) gene, partial cds.",uncultured Methylocystis sp.,nifH,,pristine wheat straw,,genomic DNA,,KR350522 complement(1..237),# Hydrocarbon degradation and heavy metal resistance potential of microorganisms associated with lignified natural products used as sorbents of spilled oil # Direct Submission,,
AMT81197.1,,uncultured Burkholderia,"# Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M. # Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M.",NF_USTRW4,,,,26-JUN-2016,"Uncultured Burkholderia sp. clone NF_USTRW4 dinitrogenase reductase (nifH) gene, partial cds.",uncultured Burkholderia sp.,nifH,,pristine wheat straw,,genomic DNA,,KR350523 complement(1..237),# Hydrocarbon degradation and heavy metal resistance potential of microorganisms associated with lignified natural products used as sorbents of spilled oil # Direct Submission,,
AMT81198.1,,uncultured Raoultella,"# Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M. # Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M.",NF_USTRW5,,,,26-JUN-2016,"Uncultured Raoultella sp. clone NF_USTRW5 dinitrogenase reductase (nifH) gene, partial cds.",uncultured Raoultella sp.,nifH,,pristine wheat straw,,genomic DNA,,KR350524 complement(1..240),# Hydrocarbon degradation and heavy metal resistance potential of microorganisms associated with lignified natural products used as sorbents of spilled oil # Direct Submission,,
AMT81199.1,,uncultured Enterobacter,"# Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M. # Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M.",NF_USTRW11,,,,26-JUN-2016,"Uncultured Enterobacter sp. clone NF_USTRW11 dinitrogenase reductase (nifH) gene, partial cds.",uncultured Enterobacter sp.,nifH,,pristine wheat straw,,genomic DNA,,KR350525 complement(1..246),# Hydrocarbon degradation and heavy metal resistance potential of microorganisms associated with lignified natural products used as sorbents of spilled oil # Direct Submission,,
AMT81200.1,,uncultured gamma,"# Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M. # Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M.",NF_USTRW12,,,,26-JUN-2016,"Uncultured gamma proteobacterium clone NF_USTRW12 dinitrogenase reductase (nifH) gene, partial cds.",uncultured gamma proteobacterium,nifH,,pristine wheat straw,,genomic DNA,,KR350526 complement(1..255),# Hydrocarbon degradation and heavy metal resistance potential of microorganisms associated with lignified natural products used as sorbents of spilled oil # Direct Submission,,
AMT81201.1,,uncultured gamma,"# Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M. # Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M.",NF_USTRW13,,,,26-JUN-2016,"Uncultured gamma proteobacterium clone NF_USTRW13 dinitrogenase reductase (nifH) gene, partial cds.",uncultured gamma proteobacterium,nifH,,pristine wheat straw,,genomic DNA,,KR350527 complement(1..243),# Hydrocarbon degradation and heavy metal resistance potential of microorganisms associated with lignified natural products used as sorbents of spilled oil # Direct Submission,,
AMT81202.1,,uncultured Enterobacter,"# Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M. # Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M.",NF_USTRW14,,,,26-JUN-2016,"Uncultured Enterobacter sp. clone NF_USTRW14 dinitrogenase reductase (nifH) gene, partial cds.",uncultured Enterobacter sp.,nifH,,pristine wheat straw,,genomic DNA,,KR350528 complement(1..246),# Hydrocarbon degradation and heavy metal resistance potential of microorganisms associated with lignified natural products used as sorbents of spilled oil # Direct Submission,,
AMT81203.1,,uncultured nitrogen-fixing,"# Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M. # Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M.",NF_TBGSS1,,,,26-JUN-2016,"Uncultured nitrogen-fixing bacterium clone NF_TBGSS1 dinitrogenase reductase (nifH) gene, partial cds.",uncultured nitrogen-fixing bacterium,nifH,,oily sugarcane bagasse,,genomic DNA,,KR350529,# Hydrocarbon degradation and heavy metal resistance potential of microorganisms associated with lignified natural products used as sorbents of spilled oil # Direct Submission,,
AMT81204.1,,uncultured nitrogen-fixing,"# Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M. # Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M.",NF_TBGSS2,,,,26-JUN-2016,"Uncultured nitrogen-fixing bacterium clone NF_TBGSS2 dinitrogenase reductase (nifH) gene, partial cds.",uncultured nitrogen-fixing bacterium,nifH,,oily sugarcane bagasse,,genomic DNA,,KR350530,# Hydrocarbon degradation and heavy metal resistance potential of microorganisms associated with lignified natural products used as sorbents of spilled oil # Direct Submission,,
AMT81205.1,,uncultured nitrogen-fixing,"# Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M. # Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M.",NF_TBGSS3,,,,26-JUN-2016,"Uncultured nitrogen-fixing bacterium clone NF_TBGSS3 dinitrogenase reductase (nifH) gene, partial cds.",uncultured nitrogen-fixing bacterium,nifH,,oily sugarcane bagasse,,genomic DNA,,KR350531,# Hydrocarbon degradation and heavy metal resistance potential of microorganisms associated with lignified natural products used as sorbents of spilled oil # Direct Submission,,
AMT81206.1,,uncultured nitrogen-fixing,"# Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M. # Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M.",NF_TBGSS4,,,,26-JUN-2016,"Uncultured nitrogen-fixing bacterium clone NF_TBGSS4 dinitrogenase reductase (nifH) gene, partial cds.",uncultured nitrogen-fixing bacterium,nifH,,oily sugarcane bagasse,,genomic DNA,,KR350532,# Hydrocarbon degradation and heavy metal resistance potential of microorganisms associated with lignified natural products used as sorbents of spilled oil # Direct Submission,,
AMT81207.1,,uncultured Enterobacter,"# Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M. # Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M.",NF_TBGSS5,,,,26-JUN-2016,"Uncultured Enterobacter sp. clone NF_TBGSS5 dinitrogenase reductase (nifH) gene, partial cds.",uncultured Enterobacter sp.,nifH,,oily sugarcane bagasse,,genomic DNA,,KR350533,# Hydrocarbon degradation and heavy metal resistance potential of microorganisms associated with lignified natural products used as sorbents of spilled oil # Direct Submission,,
AMT81208.1,,uncultured Azoarcus,"# Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M. # Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M.",NF_TBGSS6,,,,26-JUN-2016,"Uncultured Azoarcus sp. clone NF_TBGSS6 dinitrogenase reductase (nifH) gene, partial cds.",uncultured Azoarcus sp.,nifH,,oily sugarcane bagasse,,genomic DNA,,KR350534,# Hydrocarbon degradation and heavy metal resistance potential of microorganisms associated with lignified natural products used as sorbents of spilled oil # Direct Submission,,
AMT81209.1,,uncultured Methylocystis,"# Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M. # Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M.",NF_TBGSS7,,,,26-JUN-2016,"Uncultured Methylocystis sp. clone NF_TBGSS7 dinitrogenase reductase (nifH) gene, partial cds.",uncultured Methylocystis sp.,nifH,,oily sugarcane bagasse,,genomic DNA,,KR350535,# Hydrocarbon degradation and heavy metal resistance potential of microorganisms associated with lignified natural products used as sorbents of spilled oil # Direct Submission,,
AMT81210.1,,uncultured Methylocystis,"# Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M. # Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M.",NF_TBGSS8,,,,26-JUN-2016,"Uncultured Methylocystis sp. clone NF_TBGSS8 dinitrogenase reductase (nifH) gene, partial cds.",uncultured Methylocystis sp.,nifH,,oily sugarcane bagasse,,genomic DNA,,KR350536,# Hydrocarbon degradation and heavy metal resistance potential of microorganisms associated with lignified natural products used as sorbents of spilled oil # Direct Submission,,
AMT81211.1,,uncultured Azoarcus,"# Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M. # Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M.",NF_TBGSS9,,,,26-JUN-2016,"Uncultured Azoarcus sp. clone NF_TBGSS9 dinitrogenase reductase (nifH) gene, partial cds.",uncultured Azoarcus sp.,nifH,,oily sugarcane bagasse,,genomic DNA,,KR350537,# Hydrocarbon degradation and heavy metal resistance potential of microorganisms associated with lignified natural products used as sorbents of spilled oil # Direct Submission,,
AMT81212.1,,uncultured Azoarcus,"# Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M. # Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M.",NF_TBGSS10,,,,26-JUN-2016,"Uncultured Azoarcus sp. clone NF_TBGSS10 dinitrogenase reductase (nifH) gene, partial cds.",uncultured Azoarcus sp.,nifH,,oily sugarcane bagasse,,genomic DNA,,KR350538,# Hydrocarbon degradation and heavy metal resistance potential of microorganisms associated with lignified natural products used as sorbents of spilled oil # Direct Submission,,
AMT81213.1,,uncultured Bradyrhizobium,"# Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M. # Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M.",NF_TBGSS11,,,,26-JUN-2016,"Uncultured Bradyrhizobium sp. clone NF_TBGSS11 dinitrogenase reductase (nifH) gene, partial cds.",uncultured Bradyrhizobium sp.,nifH,,oily sugarcane bagasse,,genomic DNA,,KR350539,# Hydrocarbon degradation and heavy metal resistance potential of microorganisms associated with lignified natural products used as sorbents of spilled oil # Direct Submission,,
AMT81214.1,,uncultured nitrogen-fixing,"# Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M. # Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M.",NF_TBGSS12,,,,26-JUN-2016,"Uncultured nitrogen-fixing bacterium clone NF_TBGSS12 dinitrogenase reductase (nifH) gene, partial cds.",uncultured nitrogen-fixing bacterium,nifH,,oily sugarcane bagasse,,genomic DNA,,KR350540,# Hydrocarbon degradation and heavy metal resistance potential of microorganisms associated with lignified natural products used as sorbents of spilled oil # Direct Submission,,
AMT81215.1,,uncultured Bradyrhizobium,"# Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M. # Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M.",NF_TBGSS13,,,,26-JUN-2016,"Uncultured Bradyrhizobium sp. clone NF_TBGSS13 dinitrogenase reductase (nifH) gene, partial cds.",uncultured Bradyrhizobium sp.,nifH,,oily sugarcane bagasse,,genomic DNA,,KR350541,# Hydrocarbon degradation and heavy metal resistance potential of microorganisms associated with lignified natural products used as sorbents of spilled oil # Direct Submission,,
AMT81216.1,,uncultured Methylocystis,"# Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M. # Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M.",NF_TBGSS14,,,,26-JUN-2016,"Uncultured Methylocystis sp. clone NF_TBGSS14 dinitrogenase reductase (nifH) gene, partial cds.",uncultured Methylocystis sp.,nifH,,oily sugarcane bagasse,,genomic DNA,,KR350542,# Hydrocarbon degradation and heavy metal resistance potential of microorganisms associated with lignified natural products used as sorbents of spilled oil # Direct Submission,,
