	GenomeID	GTDB_Tax	NCBI_Tax	nifH	EV_nifH	bitscore_nifH	nifD	EV_nifD	bitscore_nifD	nifK	EV_nifK	bitscore_nifK	vnfH	EV_vnfH	bitscore_vnfH	vnfD	EV_vnfD	bitscore_vnfD	vnfK	EV_vnfK	bitscore_vnfK	anfH	EV_anfH	bitscore_anfH	anfD	EV_anfD	bitscore_anfD	anfK	EV_anfK	bitscore_anfK	nflD	EV_nflD	bitscore_nflD	nflH	EV_nflH	bitscore_nflH	ChlN	EV_ChlN	bitscore_ChlN	ChIl	EV_ChIl	bitscore_ChIl	ChlB	EV_ChlB	bitscore_ChlB
10	GB_GCA_903882665.1	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium sp903882665	d__Bacteria;x__FCB group;x__Bacteroidetes/Chlorobi group;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;x__environmental samples;s__uncultured Chlorobiaceae bacterium	CAIRXW010000023.1_85	1.1999999999999999e-90	300.9	CAIRXW010000011.1_13	8.299999999999999e-217	718.0	CAIRXW010000011.1_12	2e-200	663.4																									CAIRXW010000013.1_26	9e-162	536.0	CAIRXW010000013.1_24	2.8000000000000008e-118	391.7	CAIRXW010000013.1_25	9.5e-196	648.7
11	GB_GCA_903929845.1	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium sp903929845	d__Bacteria;x__FCB group;x__Bacteroidetes/Chlorobi group;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;x__environmental samples;s__uncultured Chlorobiaceae bacterium	CAIYWF010000221.1_1	8.400000000000002e-73	242.1	CAIYWF010000191.1_1	7.8e-54	180.1	CAIYWF010000191.1_2	7.300000000000001e-145	480.1																									CAIYWF010000096.1_3	4.3e-89	296.1	CAIYWF010000320.1_4	3.6e-118	391.1	CAIYWF010000320.1_5	2.4e-192	637.2
12	GB_GCA_016200345.1	d__Bacteria;p__Nitrospinota;c__UBA7883;o__JACRGQ01;f__JACRGQ01;g__JACQEX01;s__JACQEX01 sp016200345	d__Bacteria;x__Nitrospinae/Tectomicrobia group;p__Nitrospinae;x__unclassified Nitrospinae;s__Nitrospinae bacterium	JACQEX010000020.1_30	2.8e-91	302.8	JACQEX010000062.1_8	4.9e-225	744.9	JACQEX010000062.1_9	8.7e-192	634.8																																	
13	GB_GCA_002411365.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Caproicibacter;s__Caproicibacter sp002411365	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;x__unclassified Oscillospiraceae;s__Ruminococcaceae bacterium UBA4832	DHSD01000027.1_69	9e-95	313.7	DHSD01000028.1_41	1.3e-42	142.6	DHSD01000022.1_54	1.3e-19	66.6																																	
14	GB_GCA_005843835.1	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium sp005843835	d__Bacteria;x__FCB group;x__Bacteroidetes/Chlorobi group;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;x__environmental samples;s__uncultured Chlorobiaceae bacterium	SZXZ01000011.1_71	9.1e-91	300.9	SZXZ01000084.1_4	6.8e-217	717.9	SZXZ01000084.1_5	1.9e-202	669.7																									SZXZ01000009.1_15	4.1e-160	530.1	SZXZ01000009.1_17	5.9e-119	393.5	SZXZ01000009.1_16	9.9e-191	631.7
15	GB_GCA_004557805.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__Aphodomonas;s__Aphodomonas sp004557805	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Clostridia;o__Eubacteriales;x__unclassified Eubacteriales;s__Clostridiales bacterium	SFFS01000131.1_3	1.1e-97	324.1	SFFS01000001.1_40	8.8e-24	81.2	SFFS01000067.1_4	9.5e-10	34.9																																	
16	RS_GCF_017875625.1	d__Archaea;p__Methanobacteriota_A;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus voltae_B	d__Archaea;p__Euryarchaeota;x__Methanomada group;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus voltae	NZ_JAGGMU010000002.1_121	4.8e-45	150.4	NZ_JAGGMU010000001.1_35	1.1e-51	172.5	NZ_JAGGMU010000001.1_36	1e-65	218.6																			NZ_JAGGMU010000003.1_193	1.1e-133	442.1	NZ_JAGGMU010000001.1_52	3.9e-130	431.8									
17	GB_GCA_017479085.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-590;s__CAG-590 sp017479085	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;x__unclassified Lachnospiraceae;s__Lachnospiraceae bacterium	JAFVCQ010000119.1_6	1.4e-60	201.9	JAFVCQ010000235.1_9	1.5e-87	291.3	JAFVCQ010000235.1_8	6.399999999999999e-96	318.6																																	
18	GB_GCA_903942355.1	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium sp903942355	d__Bacteria;x__FCB group;x__Bacteroidetes/Chlorobi group;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;x__environmental samples;s__uncultured Chlorobiaceae bacterium	CAJAOR010000055.1_1	1.5999999999999996e-90	300.3	CAJAOR010000051.1_1	9.8e-146	483.3	CAJAOR010000051.1_2	1e-99	331.2																									CAJAOR010000041.1_5	3e-88	293.3	CAJAOR010000122.1_20	7.800000000000001e-27	91.2	CAJAOR010000182.1_2	6.3e-82	272.7
19	GB_GCA_002419025.1	d__Bacteria;p__Desulfobacterota;c__Dissulfuribacteria;o__Dissulfuribacterales;f__UBA5754;g__UBA5754;s__UBA5754 sp002419025	d__Bacteria;p__Proteobacteria;x__delta/epsilon subdivisions;c__Deltaproteobacteria;x__unclassified Deltaproteobacteria;s__Deltaproteobacteria bacterium UBA5754	DIFG01000037.1_14	4.5e-92	305.0	DIFG01000025.1_6	4.4e-209	691.9	DIFG01000025.1_7	8.400000000000001e-193	637.7																																	
20	GB_GCA_011051075.1	d__Bacteria;p__Desulfobacterota;c__DSM-4660;o__Desulfatiglandales;f__Desulfatiglandaceae;g__Desulfacyla;s__Desulfacyla sp011051075	d__Bacteria;p__Proteobacteria;x__delta/epsilon subdivisions;c__Deltaproteobacteria;x__unclassified Deltaproteobacteria;s__Deltaproteobacteria bacterium	DREN01000037.1_6	1e-89	298.1	DREN01000079.1_2	3.2000000000000004e-164	544.8	DREN01000079.1_3	3.2e-155	514.6																																	
21	GB_GCA_002297935.1	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister sp002297935	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Dialister;x__unclassified Dialister;s__Dialister sp. UBA734	DBLC01000017.1_13	4e-94	311.9	DBLC01000050.1_10	5.4e-88	292.7	DBLC01000050.1_11	6.1e-70	232.9																																	
22	RS_GCF_000006175.1	d__Archaea;p__Methanobacteriota_A;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus voltae_A	d__Archaea;p__Euryarchaeota;x__Methanomada group;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus voltae;x__Methanococcus voltae A3	NC_014222.1_140	1.5e-45	152.2	NC_014222.1_679	2.7e-50	168.1	NC_014222.1_680	5.3999999999999995e-62	206.5																			NC_014222.1_1635	4.700000000000001e-134	443.3	NC_014222.1_699	2.4e-129	429.3									
23	GB_GCA_016235255.1	d__Bacteria;p__Nitrospinota;c__UBA7883;o__UBA7883;f__JACRLM01;g__JACRLM01;s__JACRLM01 sp016235255	d__Bacteria;x__Nitrospinae/Tectomicrobia group;p__Nitrospinae;x__unclassified Nitrospinae;s__Nitrospinae bacterium	JACRLM010000015.1_10	8.2e-79	262.2	JACRLM010000031.1_16	6.5e-221	731.7	JACRLM010000031.1_17	3.9e-188	623.1																																	
24	GB_GCA_903865705.1	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium sp903865705	d__Bacteria;x__FCB group;x__Bacteroidetes/Chlorobi group;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;x__environmental samples;s__uncultured Chlorobiaceae bacterium	CAIPKT010000158.1_4	1.7e-90	300.4	CAIPKT010000043.1_13	3.2e-218	722.6	CAIPKT010000119.1_3	4.2e-141	467.8																									CAIPKT010000126.1_19	1.9e-161	534.8	CAIPKT010000126.1_17	7.1e-118	390.3	CAIPKT010000126.1_18	2.800000000000001e-196	650.4
25	GB_GCA_017883495.1	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanosphaerulaceae;g__UBA288;s__UBA288 sp017883495	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanomicrobiales;x__unclassified Methanomicrobiales;s__Methanomicrobiales archaeon	JADGNL010000080.1_6	1.1e-22	77.2	JADGNL010000179.1_2	4.3e-41	137.8	JADGNL010000178.1_1	3.5e-26	88.5																			JADGNL010000113.1_6	3.6e-152	503.1	JADGNL010000179.1_3	7.3e-142	470.8									
26	RS_GCF_004309735.1	d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio legallii	d__Bacteria;p__Proteobacteria;x__delta/epsilon subdivisions;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;x__unclassified Desulfovibrionaceae;s__Desulfovibrionaceae bacterium	NZ_SIXC01000004.1_118	1.3e-87	290.8	NZ_SIXC01000007.1_105	2.6e-205	679.8	NZ_SIXC01000007.1_106	2.8e-179	593.5																																	
27	GB_GCA_017634555.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_Q;s__Eubacterium_Q sp017634555	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;x__unclassified Eubacterium;s__Eubacterium sp.	JAGBNF010000033.1_17	3.5e-93	308.8	JAGBNF010000007.1_17	9.399999999999999e-125	413.9	JAGBNF010000007.1_16	1.9e-113	376.3																																	
28	GB_GCA_902780985.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_Q;s__Eubacterium_Q sp902780985	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;x__environmental samples;s__uncultured Lachnospiraceae bacterium	CACZHN010000055.1_5	7.2e-92	305.1	CACZHN010000214.1_4	6.5e-131	434.8	CACZHN010000002.1_11	2.1999999999999998e-121	403.0																																	
29	GB_GCA_903859055.1	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium sp903859055	d__Bacteria;x__FCB group;x__Bacteroidetes/Chlorobi group;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;x__environmental samples;s__uncultured Chlorobiaceae bacterium	CAIOLC010000160.1_1	2.2e-91	303.4	CAIOLC010000177.1_16	1.1e-220	730.9	CAIOLC010000177.1_17	1.6e-196	650.7																									CAIOLC010000109.1_4	5.700000000000001e-162	536.7	CAIOLC010000109.1_6	1.4000000000000004e-118	392.8	CAIOLC010000109.1_5	1.7e-193	641.3
30	RS_GCF_000020645.1	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium phaeoclathratiforme	d__Bacteria;x__FCB group;x__Bacteroidetes/Chlorobi group;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;x__Chlorobium/Pelodictyon group;g__Pelodictyon;s__Pelodictyon phaeoclathratiforme;x__Pelodictyon phaeoclathratiforme BU-1	NC_011060.1_2452	2e-90	300.3	NC_011060.1_1964	4.700000000000002e-218	722.2	NC_011060.1_1965	4e-200	662.6																									NC_011060.1_319	6.500000000000001e-162	536.5	NC_011060.1_321	1.2e-118	392.9	NC_011060.1_320	9e-195	645.6
31	GB_GCA_016208225.1	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfurivibrionaceae;g__SURF-16;s__SURF-16 sp016208225	d__Bacteria;p__Proteobacteria;x__delta/epsilon subdivisions;c__Deltaproteobacteria;x__unclassified Deltaproteobacteria;s__Deltaproteobacteria bacterium	JACQYM010000117.1_21	8.4e-89	295.1	JACQYM010000212.1_4	1e-213	708.1	JACQYM010000212.1_5	4.0000000000000004e-199	659.5																																	
32	GB_GCA_005843805.1	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium sp005843805	d__Bacteria;x__FCB group;x__Bacteroidetes/Chlorobi group;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;x__Chlorobium/Pelodictyon group;g__Chlorobium;x__unclassified Chlorobium;s__Chlorobium sp.	SZXY01000027.1_12	1.2999999999999996e-90	300.7	SZXY01000114.1_8	7.6e-216	714.7	SZXY01000114.1_9	1.3e-200	663.9																									SZXY01000016.1_40	6.9e-160	529.6	SZXY01000016.1_42	6.8e-119	393.5	SZXY01000016.1_41	2.2999999999999998e-191	634.1
33	GB_GCA_016234205.1	d__Bacteria;p__Nitrospinota;c__UBA9942;o__UBA9942;f__UBA9942;g__UBA9942;s__UBA9942 sp016234205	d__Bacteria;x__Nitrospinae/Tectomicrobia group;p__Nitrospinae;x__unclassified Nitrospinae;s__Nitrospinae bacterium	JACRGN010000001.1_31	8.5e-79	262.2	JACRGN010000129.1_11	6.1e-221	731.9	JACRGN010000129.1_10	2.9e-195	646.7																																	
34	RS_GCF_900111365.1	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Propionibacterium;s__Propionibacterium cyclohexanicum	d__Bacteria;x__Terrabacteria group;p__Actinobacteria;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Propionibacterium;s__Propionibacterium cyclohexanicum	NZ_FOGZ01000027.1_26	6.3e-85	282.1	NZ_FOGZ01000032.1_6	4.8e-210	695.6	NZ_FOGZ01000032.1_7	2.1e-179	594.1																																	
35	GB_GCA_012972835.1	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium sp012972835	d__Bacteria;x__FCB group;x__Bacteroidetes/Chlorobi group;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;x__unclassified Chlorobiaceae;s__Chlorobiaceae bacterium	JABDHK010000004.1_12	1e-90	301.3	JABDHK010000043.1_35	3e-217	719.6	JABDHK010000043.1_36	4.2e-197	652.6																									JABDHK010000004.1_143	1.5e-160	532.0	JABDHK010000004.1_141	1.5e-118	392.7	JABDHK010000004.1_142	1.3999999999999999e-191	635.0
36	GB_GCA_900315125.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Hornefia;s__Hornefia sp900315125	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Clostridia;o__Eubacteriales;x__environmental samples;s__uncultured Eubacteriales bacterium	OMXT01000078.1_35	1.5e-98	326.5	OMXT01000062.1_3	9.4e-45	150.1	OMXT01000094.1_16	8.3e-65	216.0																																	
37	GB_GCA_016195465.1	d__Bacteria;p__Nitrospirota;c__RBG-16-64-22;o__RBG-16-64-22;f__RBG-16-64-22;g__RBG-16-64-22;s__RBG-16-64-22 sp016195465	d__Bacteria;p__Nitrospirae;x__unclassified Nitrospirae;s__Nitrospirae bacterium	JACPZO010000165.1_26	2.6e-92	306.4	JACPZO010000030.1_20	1.1999999999999998e-229	760.4	JACPZO010000030.1_19	2.2000000000000004e-201	666.7																																	
38	GB_GCA_001602925.1	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobaculum;s__Chlorobaculum sp001602925	d__Bacteria;x__FCB group;x__Bacteroidetes/Chlorobi group;p__Chlorobi;c__Chlorobia;o__Chlorobiales;x__unclassified Chlorobiales;s__Chlorobiales bacterium Clorobi_01	LUZT01000006.1_253	1.6e-91	303.4	LUZT01000011.1_99	5.9e-223	738.0	LUZT01000011.1_100	4.6e-200	661.9										LUZT01000006.1_395	7.8e-168	553.6	LUZT01000006.1_398	0.0	1118.6	LUZT01000006.1_400	8.7e-289	954.7							LUZT01000013.1_91	5.200000000000001e-161	533.1	LUZT01000013.1_93	5.3e-119	393.7	LUZT01000013.1_92	1.2000000000000003e-195	648.0
39	GB_GCA_903848935.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__UBA10906;s__UBA10906 sp903848935	d__Bacteria;p__Proteobacteria;x__environmental samples;s__uncultured proteobacterium	CAINHO010000022.1_20	1.6e-92	306.9	CAINHO010000027.1_42	7.8e-232	767.4	CAINHO010000027.1_43	1.2e-199	660.7																																	
40	GB_GCA_013334335.1	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobaculum;s__Chlorobaculum sp013334335	d__Bacteria;x__FCB group;x__Bacteroidetes/Chlorobi group;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;x__unclassified Chlorobiaceae;s__Chlorobiaceae bacterium	JAAXXR010000024.1_12	5.7e-93	308.2	JAAXXR010000002.1_55	4e-220	728.6	JAAXXR010000002.1_54	9.999999999999999e-203	670.7										JAAXXR010000070.1_2	1.1e-169	559.7	JAAXXR010000070.1_5	0.0	1125.6	JAAXXR010000070.1_7	2.8e-289	956.3							JAAXXR010000005.1_47	7.6e-162	535.8	JAAXXR010000005.1_49	8.400000000000002e-119	393.0	JAAXXR010000005.1_48	3.8e-193	639.7
41	GB_GCA_903839405.1	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium sp903839405	d__Bacteria;x__FCB group;x__Bacteroidetes/Chlorobi group;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;x__environmental samples;s__uncultured Chlorobiaceae bacterium	CAIMCD010000034.1_10	1.4e-91	303.8	CAIMCD010000005.1_82	1e-149	496.5	CAIMCD010000005.1_83	4.5e-198	655.5																									CAIMCD010000013.1_14	8.200000000000001e-161	532.6	CAIMCD010000013.1_12	8.100000000000001e-118	389.9	CAIMCD010000013.1_13	3.6999999999999997e-190	630.0
42	GB_GCA_016194325.1	d__Bacteria;p__Nitrospinota;c__UBA9942;o__UBA9942;f__UBA9942;g__UBA9942;s__UBA9942 sp016194325	d__Bacteria;x__Nitrospinae/Tectomicrobia group;p__Nitrospinae;x__unclassified Nitrospinae;s__Nitrospinae bacterium	JACQBS010000026.1_44	1.1e-95	317.8	JACQBS010000135.1_21	1.3999999999999998e-217	720.8	JACQBS010000135.1_22	2.6e-195	646.9																																	
43	GB_GCA_002368605.1	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__Treponema_D sp002368605	d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Treponemataceae;g__Treponema;x__unclassified Treponema;s__Treponema sp.	DFEB01000065.1_32	8.3e-78	258.6	DFEB01000017.1_9	5.3e-123	408.4	DFEB01000079.1_4	8e-129	427.2																																	
44	GB_GCA_012972825.1	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium sp012972825	d__Bacteria;x__FCB group;x__Bacteroidetes/Chlorobi group;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;x__unclassified Chlorobiaceae;s__Chlorobiaceae bacterium	JABDHL010000004.1_60	1.1e-89	297.8	JABDHL010000037.1_4	3.2e-216	716.1	JABDHL010000037.1_5	1.9e-197	653.7										JABDHL010000026.1_121	1.1e-169	560.1	JABDHL010000026.1_124	0.0	1132.0	JABDHL010000026.1_126	2.5e-291	963.5							JABDHL010000006.1_19	5.8e-160	530.0	JABDHL010000006.1_17	1.6e-118	392.5	JABDHL010000006.1_18	2.1e-189	627.8
