BuckleyID	BuckleySeq	NFixDBID	NFixDBSeq	%Identity	AlnLength	Mismatches	GapOpens	QueryStart	QueryEnd	SeqStart	SeqEnd	EValue	Score
2CP001338_1	nifH	NC_011832.1_236	nflH	83	272	0	1	1	227	1	272	1.94e-142	1113
2NC_005296_1	nifH	NZ_CP058907.1_1405	anfH	100	275	0	1	1	274	1	275	5.48e-183	1408
31721153172984NC_011004_2	nifH	JAEZKS010000250.1_8	nflH	40	316	69	3	1	195	1	316	1.11e-61	524
34874350U53363_1	nifH	NC_021149.1_128	vnfH	77	290	63	2	1	286	1	290	1.16e-147	1151
3901277U89346_1	nifH	NZ_AJLK01000041.1_8	vnfH	95	295	13	1	1	294	1	295	1.9e-186	1434
3951840390NZ_AAAU03000003_1	nifH	NC_021149.1_128	vnfH	100	290	0	1	1	289	1	290	3.85e-190	1460
512909513802NC_010628_1	nifH	LXQE01000125.1_187	vnfH	99	297	2	1	1	296	1	297	3.78e-193	1483
5761460K00487_2	nifH	PQAN01000100.1_14	vnfH	72	292	26	1	1	235	1	292	4.19e-130	1019
6061496X96609_1	nifH	NC_021149.1_128	vnfH	89	296	25	2	1	295	1	290	2.05e-173	1339
61130226113909NC_009485_1	nifH	PLZT01000187.1_7	vnfH	90	297	27	2	1	294	1	297	2.04e-175	1354
6NC_009975_1	nifH	NZ_CP026606.1_930	nflH	89	313	11	1	1	291	1	313	1.18e-182	1414
70954U23507_1	nifH	NZ_AJLK01000041.1_8	vnfH	78	298	57	3	1	293	1	295	9.95e-150	1167
7151772413AAVW01000011_1	nifH	JABXKI010000170.1_15	vnfH	95	298	13	2	1	297	1	297	2.97e-186	1433
7211602X51500_1	nifH	NZ_CP022253.1_2290	vnfH	100	293	0	1	1	292	1	293	2.6e-191	1469
72970777298042NC_010628_1	nifH	JAHHHH010000012.1_74	vnfH	77	326	32	2	1	284	1	326	2.24e-160	1246
8271705AJ299454_1	nifH	JAEZKS010000250.1_8	nflH	40	316	82	3	1	207	1	316	5.39e-64	542
8819989026NZ_ACCN01000006_1	nifH	NZ_JAFFQA010000017.1_82	vnfH	81	275	26	1	1	248	1	275	7.22e-144	1119
9701848AJ515294_1	nifH	NZ_CP011114.1_3785	vnfH	89	295	3	2	1	267	1	295	1.97e-169	1308
AAEW02000007_1	nifH	PMCK01000495.1_5	vnfH	81	297	47	2	1	291	1	293	3.58e-154	1199
AB011841_1	nifH	DBTU01000011.1_44	vnfH	47	272	12	2	1	140	1	272	3.62e-63	521
AB011844_1	nifH	NC_021182.1_3330	vnfH	46	272	15	2	1	140	1	272	1.41e-60	502
AB011846_1	nifH	NC_009706.1_1010	vnfH	41	272	28	2	1	140	1	272	1.24e-53	451
AB011847_1	nifH	NC_009706.1_1010	vnfH	41	272	28	2	1	140	1	272	7.28e-52	438
AB011852_1	nifH	NZ_JAIZZK010000011.1_66	vnfH	42	277	23	3	1	144	1	273	3.6e-53	448
AB011855_1	nifH	JAEEOJ010000117.1_3	nflH	36	255	46	5	1	140	1	254	9.11e-37	332
AB011857_1	nifH	DHWU01000017.1_21	anfH	21	247	32	2	1	83	1	247	2.25e-07	97
AB011858_1	nifH	NZ_JONQ01000007.1_321	nflH	24	270	34	2	1	99	1	270	6.6e-14	154
AB011862_1	nifH	LGFT01000025.1_50	nflH	37	259	46	2	1	141	1	259	1.4e-41	368
AB011863_1	nifH	PMBV01000232.1_5	vnfH	35	239	16	5	1	112	1	226	2.77e-27	251
AB011864_1	nifH	NZ_PVXP01000020.1_32	vnfH	32	278	18	3	1	108	1	278	1.78e-30	277
AB011866_1	nifH	JAGSYV010000023.1_39	anfH	39	223	13	2	1	99	1	223	3.57e-35	311
AB011867_1	nifH	PQAS01000057.1_90	nflH	34	304	36	2	1	140	1	304	1.4e-40	363
AB011872_1	nifH	NC_009706.1_1010	vnfH	43	272	23	2	1	140	1	272	1.55e-55	465
AB011877_1	nifH	NZ_BAEV01000114.1_9	vnfH	35	272	15	2	1	109	1	272	9.79e-38	331
AB011880_1	nifH	NZ_JONQ01000007.1_321	nflH	25	270	31	2	1	99	1	270	6.8e-15	162
AB011884_1	nifH	LR991653.1_116	nflH	23	277	34	2	1	99	1	277	2.22e-15	166
AB011885_1	nifH	LBCX01000005.1_26	anfH	38	274	5	2	1	110	1	274	1.38e-43	377
AB011887_1	nifH	NC_009706.1_1010	vnfH	46	272	16	2	1	140	1	272	6.1e-59	490
AB011888_1	nifH	JALNXI010000216.1_3	nflH	33	274	48	3	1	141	1	272	3.19e-36	329
AB011889_1	nifH	LR991653.1_116	nflH	23	277	34	2	1	99	1	277	1.26e-15	168
AB011890_1	nifH	NZ_LHQS01000001.1_817	nflH	32	278	51	3	1	141	1	276	2.57e-34	315
AB011892_1	nifH	JAGSYV010000023.1_39	anfH	39	223	11	2	1	97	1	223	3.58e-33	296
AB011894_1	nifH	NZ_MZGX01000024.1_42	vnfH	49	273	5	2	1	140	1	273	1.04e-66	547
AB011895_1	nifH	NZ_JAFFQA010000017.1_82	vnfH	44	275	21	2	1	142	1	275	2.66e-59	493
AB011896_1	nifH	NC_021182.1_3330	vnfH	36	272	42	2	1	140	1	272	6.79e-46	394
AB011897_1	nifH	NC_009706.1_1010	vnfH	43	272	22	2	1	140	1	272	8.27e-56	467
AB011898_1	nifH	PQAS01000057.1_90	nflH	29	304	33	2	1	122	1	304	5.06e-29	275
AB011900_1	nifH	CADAOK010000093.1_5	nflH	23	231	23	2	1	76	1	231	6e-10	120
AB011901_1	nifH	OMUY01000016.1_113	nflH	37	251	49	2	1	141	1	251	3.25e-44	387
AB011903_1	nifH	PQAS01000057.1_90	nflH	34	304	37	2	1	140	1	304	1.22e-39	356
AB011904_1	nifH	JAATFW010000087.1_1	anfH	24	243	19	2	1	77	1	243	4.18e-12	133
AB011905_1	nifH	NZ_PVXP01000020.1_32	vnfH	44	278	19	2	1	140	1	278	6.87e-59	490
AB011906_1	nifH	LR991653.1_116	nflH	31	277	54	2	1	140	1	277	1.58e-35	324
AB011907_1	nifH	JAEYKI010000006.1_109	anfH	50	275	4	2	1	142	1	275	6.93e-70	573
AB011909_1	nifH	MUZZ01000184.1_14	nflH	23	228	31	2	1	83	1	228	5.06e-11	129
AB011915_1	nifH	NZ_AEEA01000019.1_78	anfH	34	274	5	2	1	99	1	274	1.79e-33	301
AB011918_1	nifH	NZ_MZGX01000024.1_42	vnfH	48	273	8	2	1	140	1	273	4.53e-65	535
AB011925_1	nifH	NZ_SNYS01000005.1_389	nflH	50	266	5	2	1	139	1	266	3.21e-68	564
AB011926_1	nifH	PMBV01000232.1_5	vnfH	23	226	44	4	1	95	1	226	7.15e-09	106
AB011927_1	nifH	NC_000916.1_622	nflH	24	268	40	4	1	108	1	265	4.76e-16	172
AB011928_1	nifH	MUZZ01000184.1_14	nflH	26	228	41	3	1	100	1	228	1.93e-15	166
AB011931_1	nifH	NC_000916.1_622	nflH	25	268	38	4	1	108	1	265	2.02e-17	183
AB011932_1	nifH	PQAS01000057.1_90	nflH	36	304	30	2	1	140	1	304	4.36e-44	389
AB011934_1	nifH	SUTA01000003.1_8	nflH	34	275	48	2	1	141	1	275	8.46e-36	326
AB011937_1	nifH	JAAYKC010000061.1_5	nflH	32	375	22	2	1	141	1	375	7.76e-44	391
AB011938_1	nifH	JALNZQ010000139.1_2	nflH	31	275	48	6	1	138	1	271	6.39e-27	259
AB011939_1	nifH	CACWGK010000003.1_46	nflH	35	252	51	5	1	140	1	251	5.98e-32	296
AB011940_1	nifH	CABMIH010000074.1_51	nflH	29	246	10	2	1	82	1	246	1.8e-21	212
AB011941_1	nifH	JAAYKC010000061.1_5	nflH	32	375	20	2	1	141	1	375	1.21e-44	397
AB011943_1	nifH	DBTU01000011.1_44	vnfH	47	272	13	2	1	140	1	272	3.26e-62	514
AB011945_1	nifH	JAEZKS010000250.1_8	nflH	34	316	33	2	1	140	1	316	8.77e-43	380
AB011946_1	nifH	SUTA01000003.1_8	nflH	26	275	39	3	1	110	1	275	2.12e-15	167
AB011949_1	nifH	JAGSYV010000023.1_39	anfH	23	223	47	2	1	99	1	223	4.9e-13	142
AB011952_1	nifH	WRNK01000006.1_12	nflH	27	266	0	2	1	72	1	266	2.72e-16	171
AB011954_1	nifH	LGFT01000025.1_50	nflH	26	259	22	2	1	89	1	259	3.02e-16	172
AB011956_1	nifH	NZ_JONQ01000007.1_321	nflH	31	270	57	3	1	140	1	270	5.89e-30	282
AB011957_1	nifH	LGFT01000025.1_50	nflH	22	259	17	2	1	75	1	259	1.01e-09	119
AB011958_1	nifH	PMBV01000232.1_5	vnfH	23	226	35	3	1	86	1	226	2.43e-09	109
AB011960_1	nifH	MUZZ01000184.1_14	nflH	25	228	29	2	1	86	1	228	1.38e-13	150
AB011963_1	nifH	SUTA01000003.1_8	nflH	25	275	39	3	1	109	1	275	3.84e-17	181
AB011964_1	nifH	SUTP01000040.1_3	nflH	24	264	44	3	1	109	1	262	1.15e-16	177
AB019137_1	nifH	NC_013790.1_1456	nflH	45	267	0	2	1	120	1	267	1.8e-55	469
AB019139_1	nifH	DHWU01000017.1_21	anfH	21	247	45	4	1	96	1	247	2.37e-09	113
AB079631_1	nifH	PMBV01000232.1_5	vnfH	61	226	15	2	1	152	1	226	1.58e-77	624
AB083569_1	nifH	NC_009706.1_1010	vnfH	39	272	35	3	1	140	1	272	6.29e-48	409
AB083570_1	nifH	NC_009706.1_1010	vnfH	43	272	24	2	1	140	1	272	6.05e-56	468
AB083573_1	nifH	NC_009706.1_1010	vnfH	41	272	28	2	1	140	1	272	2.08e-52	442
AB083574_1	nifH	NC_009706.1_1010	vnfH	45	272	18	2	1	140	1	272	4.46e-59	491
AB083576_1	nifH	JAEEOJ010000117.1_3	nflH	36	255	47	5	1	140	1	254	6.68e-37	333
AB083578_1	nifH	PQAS01000057.1_90	nflH	34	304	38	2	1	140	1	304	1.22e-39	356
AB083579_1	nifH	CABMIH010000074.1_51	nflH	33	246	59	2	1	141	1	246	1.02e-33	309
AB094963_1	nifH	NZ_AJTV01000023.1_11	vnfH	82	291	22	2	1	260	1	291	1.34e-153	1192
AB100834_1	nifH	NZ_WXEX01000005.1_221	anfH	35	283	0	2	1	99	1	283	2.73e-35	315
AB113957_1	nifH	QKFD01000024.1_189	vnfH	22	259	15	2	1	71	1	259	2.2e-07	94
AB182910_1	nifH	PMBV01000232.1_5	vnfH	52	226	18	3	1	136	1	226	2.67e-61	504
AB184887_1	nifH	NZ_JAFFQA010000017.1_82	vnfH	42	275	14	2	1	130	1	275	2.06e-51	434
AB184888_2	nifH	PMBV01000232.1_5	vnfH	18	228	25	4	1	69	1	226	0.89	40
AB184890_1	nifH	NZ_JAFFQA010000017.1_82	vnfH	39	276	21	3	1	131	1	275	3.84e-48	410
AB184892_1	nifH	PMBV01000232.1_5	vnfH	49	226	18	2	1	129	1	226	3.41e-56	466
AB184894_1	nifH	PMCK01000495.1_5	vnfH	41	293	11	2	1	130	1	293	1.16e-54	459
AB184895_2	nifH	JAGSYV010000023.1_39	anfH	30	223	13	2	1	79	1	223	7.14e-18	179
AB184896_2	nifH	PMBV01000232.1_5	vnfH	29	227	14	3	1	80	1	226	1.93e-18	181
AB184898_1	nifH	NZ_VLKG01000008.1_8	vnfH	43	290	6	2	1	130	1	290	1.23e-55	466
AB184900_1	nifH	QKFD01000024.1_189	vnfH	27	259	10	2	1	80	1	259	4.19e-18	179
AB184911_1	nifH	NZ_CP045302.1_671	vnfH	42	290	9	2	1	130	1	290	1.5e-54	458
AB184912_1	nifH	DNPP01000068.1_28	vnfH	42	274	15	2	1	130	1	274	3.87e-54	454
AB184914_1	nifH	PMCK01000495.1_5	vnfH	41	293	10	2	1	130	1	293	8.49e-55	460
AB184916_1	nifH	DBTT01000042.1_12	anfH	32	274	1	2	1	90	1	274	3.59e-29	268
AB184920_1	nifH	DHWU01000017.1_21	anfH	34	249	18	3	1	104	1	247	4.77e-31	282
AB184924_1	nifH	PMBV01000232.1_5	vnfH	48	226	20	2	1	129	1	226	2.24e-55	460
AB184928_1	nifH	DNPP01000068.1_28	vnfH	41	274	19	2	1	130	1	274	1.48e-51	435
AB184933_1	nifH	NZ_JAFFQA010000017.1_82	vnfH	40	275	16	2	1	127	1	275	1.65e-47	405
AB184934_1	nifH	DNPP01000068.1_28	vnfH	28	274	13	2	1	91	1	274	1.55e-22	215
AB184936_1	nifH	PMBV01000232.1_5	vnfH	46	226	24	2	1	129	1	226	2.49e-53	445
AB184940_1	nifH	NZ_AP024469.1_3341	anfH	27	275	4	2	1	79	1	275	9.3e-19	187
AB184941_1	nifH	PMBV01000232.1_5	vnfH	49	226	18	2	1	129	1	226	9.7e-57	470
AB184943_1	nifH	NC_021149.1_128	vnfH	42	290	8	2	1	130	1	290	3.14e-55	463
AB184945_1	nifH	NZ_UPPP01000074.1_60	vnfH	42	275	12	2	1	128	1	275	2.19e-52	441
AB184946_1	nifH	PMBV01000232.1_5	vnfH	26	227	21	3	1	80	1	226	2.07e-14	149
AB184949_1	nifH	DBMP01000029.1_90	vnfH	42	274	16	2	1	130	1	274	5.79e-52	438
AB184952_1	nifH	NZ_JAFFQA010000017.1_82	vnfH	41	275	16	2	1	130	1	275	1.51e-51	435
AB184955_1	nifH	PMIH01000030.1_57	vnfH	42	295	6	2	1	130	1	295	1.65e-54	458
AB188123_1	nifH	PLZT01000187.1_7	vnfH	67	297	39	7	1	238	1	297	2.11e-113	898
AB189641_1	nifH	NZ_SJZB01000053.1_50	vnfH	84	293	43	1	1	290	1	293	1.95e-162	1259
AB196476_1	nifH	NZ_AJTV01000023.1_11	vnfH	88	292	32	2	1	291	1	291	8.44e-172	1327
AB196525_1	nifH	NZ_AP018449.1_2668	vnfH	85	284	41	1	1	283	1	284	1.64e-161	1251
AB198370_1	nifH	PMBV01000232.1_5	vnfH	29	226	17	2	1	83	1	226	3.24e-20	195
AB198376_1	nifH	DHWU01000017.1_21	anfH	28	250	13	3	1	85	1	247	2.3e-15	160
AB208251_1	nifH	PMCK01000495.1_5	vnfH	39	293	15	2	1	130	1	293	4.43e-52	440
AB208255_2	nifH	NZ_AP018449.1_2668	vnfH	24	284	11	2	1	80	1	284	4.37e-15	155
AB208258_1	nifH	DNPP01000068.1_28	vnfH	41	274	15	2	1	127	1	274	1.09e-49	421
AB208262_2	nifH	PMBV01000232.1_5	vnfH	26	227	19	3	1	80	1	226	1.57e-15	158
AB208264_1	nifH	PMCK01000495.1_5	vnfH	39	293	16	2	1	130	1	293	6.05e-52	439
AB208267_1	nifH	NZ_BAEV01000114.1_9	vnfH	39	272	21	2	1	128	1	272	2.19e-47	404
AB208269_2	nifH	NZ_AP018449.1_2668	vnfH	25	284	10	2	1	80	1	284	4.43e-16	163
AB208271_1	nifH	PMBV01000232.1_5	vnfH	48	226	20	2	1	129	1	226	4.2e-55	458
AB208274_1	nifH	PMBV01000232.1_5	vnfH	48	226	21	2	1	129	1	226	4.2e-55	458
AB208284_1	nifH	PMCK01000495.1_5	vnfH	39	293	15	2	1	130	1	293	1.55e-51	436
AB208304_1	nifH	PMCK01000495.1_5	vnfH	38	293	18	2	1	130	1	293	2.57e-50	427
AB208316_1	nifH	FR892828.1_9	nflH	35	270	31	3	1	128	1	268	8.06e-39	347
AB208319_1	nifH	PMCK01000495.1_5	vnfH	38	293	18	2	1	130	1	293	1.38e-50	429
AB208322_1	nifH	PMBV01000232.1_5	vnfH	43	227	32	3	1	130	1	226	9.77e-48	404
AB208323_1	nifH	PMCK01000495.1_5	vnfH	36	293	18	2	1	124	1	293	6.93e-44	379
AB208324_1	nifH	DNPP01000068.1_28	vnfH	42	274	16	2	1	130	1	274	7.08e-51	430
AB208328_1	nifH	PMCK01000495.1_5	vnfH	26	293	4	2	1	80	1	293	8.36e-18	177
AB208333_1	nifH	DBMP01000029.1_90	vnfH	41	274	17	2	1	130	1	274	2.03e-51	434
AB208338_1	nifH	PMCK01000495.1_5	vnfH	38	293	19	2	1	130	1	293	2.57e-50	427
AB208340_1	nifH	PMCK01000495.1_5	vnfH	39	293	15	2	1	130	1	293	2.37e-52	442
AB208341_1	nifH	PMCK01000495.1_5	vnfH	38	293	18	2	1	130	1	293	6.57e-50	424
AB208343_1	nifH	NZ_JAFFQA010000017.1_82	vnfH	39	275	17	2	1	124	1	275	1.52e-47	405
AB208344_1	nifH	DBMP01000029.1_90	vnfH	41	274	19	2	1	130	1	274	2.69e-48	411
AB208347_1	nifH	DBMP01000029.1_90	vnfH	42	274	15	2	1	130	1	274	2.77e-51	433
AB208348_1	nifH	PMBV01000232.1_5	vnfH	47	226	23	2	1	129	1	226	4.66e-53	443
AB208351_1	nifH	PMCK01000495.1_5	vnfH	39	293	17	2	1	130	1	293	1.88e-50	428
AB208354_2	nifH	PMCK01000495.1_5	vnfH	24	293	7	3	1	76	1	293	1.11e-12	136
AB208356_1	nifH	NZ_SSOD01000019.1_89	vnfH	37	295	4	2	1	113	1	295	3.05e-42	366
AB208365_1	nifH	PMBV01000232.1_5	vnfH	49	226	19	2	1	129	1	226	9.7e-57	470
AB208373_1	nifH	PMBV01000232.1_5	vnfH	52	226	12	2	1	129	1	226	1.07e-60	499
AB208374_1	nifH	JAEXAS010000034.1_8	anfH	47	275	1	2	1	130	1	275	1.79e-63	525
AB208376_1	nifH	PMCK01000495.1_5	vnfH	40	293	12	2	1	130	1	293	1.04e-53	452
AB208384_1	nifH	PMBV01000232.1_5	vnfH	50	226	15	2	1	129	1	226	8.7e-59	485
AB208391_1	nifH	JAJTBJ010000005.1_4	anfH	46	275	3	2	1	130	1	275	1.46e-61	511
AB208393_1	nifH	NZ_JAFFQA010000017.1_82	vnfH	42	275	15	2	1	130	1	275	6.6e-53	445
AB208396_1	nifH	PMCK01000495.1_5	vnfH	39	293	17	2	1	130	1	293	3.13e-49	419
AB208398_1	nifH	JAJTBJ010000005.1_4	anfH	46	275	3	2	1	130	1	275	3.03e-62	516
AB208403_1	nifH	PMCK01000495.1_5	vnfH	39	293	17	2	1	130	1	293	2.57e-50	427
AB208425_1	nifH	PMCK01000495.1_5	vnfH	40	293	13	2	1	130	1	293	2.65e-53	449
AB233495_1	nifH	CAIZGR010000378.1_10	vnfH	76	298	29	2	1	254	1	298	1.42e-139	1090
AB236340_1	nifH	LGFT01000025.1_50	nflH	30	260	37	3	1	115	1	259	1.54e-23	231
AB273199_1	nifH	DBTU01000011.1_44	vnfH	47	272	12	2	1	140	1	272	9.28e-63	518
AB273203_1	nifH	NC_009706.1_1010	vnfH	44	272	20	2	1	140	1	272	1.56e-58	487
AB273210_1	nifH	JAGSYV010000023.1_39	anfH	29	223	18	2	1	82	1	223	2.43e-21	206
AB273216_1	nifH	DBTU01000011.1_44	vnfH	47	272	11	2	1	140	1	272	1.93e-63	523
AB273217_1	nifH	PQAS01000057.1_90	nflH	35	304	35	2	1	140	1	304	1.17e-41	371
AB273218_1	nifH	NC_021182.1_3330	vnfH	44	272	19	2	1	140	1	272	1.14e-58	488
AB273224_1	nifH	NC_021182.1_3330	vnfH	45	272	17	2	1	140	1	272	3.26e-59	492
AB273225_1	nifH	NC_021182.1_3330	vnfH	39	272	16	2	1	122	1	272	1.08e-45	391
AB273226_1	nifH	NC_021182.1_3330	vnfH	39	272	16	2	1	122	1	272	4.23e-46	394
AB273232_1	nifH	DBTU01000011.1_44	vnfH	46	272	15	2	1	140	1	272	5.5e-61	505
AB273234_1	nifH	PMBV01000232.1_5	vnfH	20	228	25	3	1	73	1	226	1.47e-05	79
AB273236_1	nifH	DBTU01000011.1_44	vnfH	36	272	10	2	1	109	1	272	6e-39	340
AB273242_1	nifH	DBTU01000011.1_44	vnfH	47	272	13	2	1	140	1	272	8.36e-62	511
AB273244_1	nifH	JAEZKS010000250.1_8	nflH	34	316	34	2	1	140	1	316	3.03e-42	376
AB273245_1	nifH	DBTU01000011.1_44	vnfH	36	272	11	2	1	109	1	272	3.38e-37	327
AB273257_1	nifH	JAEZKS010000250.1_8	nflH	34	316	34	2	1	140	1	316	1.2e-42	379
AB273263_1	nifH	DBTU01000011.1_44	vnfH	47	272	13	2	1	140	1	272	1.57e-61	509
AB273269_1	nifH	JAEZKS010000250.1_8	nflH	34	316	34	2	1	140	1	316	1.95e-41	370
AB273270_1	nifH	DBTU01000011.1_44	vnfH	47	272	13	2	1	140	1	272	2.38e-62	515
AB273278_1	nifH	JAGSYV010000023.1_39	anfH	19	224	30	3	1	73	1	223	0.000232	72
AB273287_1	nifH	NC_009706.1_1010	vnfH	39	273	15	3	1	123	1	272	1.83e-44	382
AB273300_1	nifH	DBTU01000011.1_44	vnfH	47	272	12	2	1	140	1	272	9.28e-63	518
AB273305_1	nifH	DBTU01000011.1_44	vnfH	47	272	13	2	1	140	1	272	6.11e-62	512
AB273306_1	nifH	LR991653.1_116	nflH	23	277	25	3	1	89	1	277	1.28e-12	143
AB273311_1	nifH	JAEZKS010000250.1_8	nflH	33	316	35	2	1	140	1	316	1.05e-41	372
AB273315_1	nifH	JAEZKS010000250.1_8	nflH	33	316	35	2	1	140	1	316	3.62e-41	368
AB273317_1	nifH	JAEWSD010000176.1_20	vnfH	46	273	15	2	1	140	1	273	3.69e-60	499
AB273320_1	nifH	NZ_CP009268.1_1381	vnfH	44	273	20	3	1	141	1	272	5.06e-57	476
AB273322_1	nifH	DBTU01000011.1_44	vnfH	46	272	14	2	1	140	1	272	4.46e-62	513
AB273326_1	nifH	DBMP01000029.1_90	vnfH	46	276	16	3	1	144	1	274	5.74e-60	498
AB273327_1	nifH	NZ_BAEV01000114.1_9	vnfH	45	272	18	2	1	140	1	272	3.62e-60	499
AB273330_1	nifH	NC_021182.1_3330	vnfH	45	272	18	2	1	140	1	272	8.35e-59	489
AB273331_1	nifH	JAEZKS010000250.1_8	nflH	33	316	35	2	1	140	1	316	2.32e-40	362
AB273339_1	nifH	NC_009706.1_1010	vnfH	41	272	28	2	1	140	1	272	9.95e-52	437
AB273340_1	nifH	NZ_JAFFQA010000017.1_82	vnfH	44	275	22	2	1	142	1	275	1.75e-58	487
AB273344_1	nifH	DNPP01000068.1_28	vnfH	44	274	22	2	1	142	1	274	3.21e-58	485
AB273347_1	nifH	NZ_JAFFQA010000017.1_82	vnfH	45	275	19	2	1	142	1	275	7.59e-60	497
AB273349_1	nifH	DBMP01000029.1_90	vnfH	45	276	17	3	1	144	1	274	5.74e-60	498
AB273354_1	nifH	NZ_MZGX01000024.1_42	vnfH	39	273	15	2	1	122	1	273	2.59e-47	403
AB273356_1	nifH	PQAS01000057.1_90	nflH	35	304	33	2	1	140	1	304	9.76e-43	379
AB273357_1	nifH	DBTU01000011.1_44	vnfH	47	272	12	2	1	140	1	272	4.95e-63	520
AB273359_1	nifH	NZ_JAFFQA010000017.1_82	vnfH	43	275	24	2	1	142	1	275	2.37e-55	464
AB273361_1	nifH	PQAS01000057.1_90	nflH	34	304	36	2	1	140	1	304	2.6e-40	361
AB273365_1	nifH	JAGSYV010000023.1_39	anfH	39	223	13	2	1	99	1	223	9.08e-35	308
AB273366_1	nifH	KV441839.1_711	anfH	34	274	6	2	1	99	1	274	1.79e-33	301
AB273367_1	nifH	DNPP01000068.1_28	vnfH	45	274	20	2	1	142	1	274	3.57e-59	492
AB273369_1	nifH	DHWU01000017.1_21	anfH	40	249	22	3	1	124	1	247	2.3e-43	375
AB273372_1	nifH	NZ_MZGX01000024.1_42	vnfH	30	273	12	2	1	95	1	273	5.13e-26	242
AB273373_1	nifH	NZ_JAGGMN010000001.1_1167	nflH	32	274	50	3	1	141	1	272	4.34e-36	328
AB273377_1	nifH	DHWU01000017.1_21	anfH	25	248	38	3	1	100	1	247	9.33e-12	132
AB273378_1	nifH	JAGSYV010000023.1_39	anfH	39	223	11	2	1	99	1	223	5.52e-36	317
AB273385_1	nifH	PQAS01000057.1_90	nflH	35	304	34	2	1	140	1	304	1.6e-41	370
AB273387_1	nifH	NC_009706.1_1010	vnfH	46	272	16	2	1	140	1	272	2.38e-59	493
AB273388_1	nifH	NC_009706.1_1010	vnfH	46	272	15	2	1	140	1	272	6.78e-60	497
AB273391_1	nifH	DBTU01000011.1_44	vnfH	47	272	13	2	1	140	1	272	1.27e-62	517
AB273392_1	nifH	NZ_CP009268.1_1381	vnfH	42	274	25	4	1	141	1	272	1.4e-51	436
AB273394_1	nifH	NZ_CP009268.1_1381	vnfH	39	272	17	2	1	122	1	272	5.13e-45	386
AB273396_1	nifH	DBMP01000029.1_90	vnfH	43	274	24	2	1	142	1	274	5.94e-55	461
AB273399_1	nifH	DNPP01000068.1_28	vnfH	45	274	19	2	1	142	1	274	6.04e-61	505
AB273402_1	nifH	LR991653.1_116	nflH	32	277	52	2	1	140	1	277	3.86e-37	336
AB273406_1	nifH	NC_009706.1_1010	vnfH	41	273	27	3	1	141	1	272	4.88e-51	432
AB273409_1	nifH	NZ_JAFFQA010000017.1_82	vnfH	44	275	22	2	1	142	1	275	2.94e-57	478
AB273412_1	nifH	LR991653.1_116	nflH	31	278	37	3	1	123	1	277	9.23e-31	287
AB273420_1	nifH	NZ_BAEV01000114.1_9	vnfH	36	272	10	2	1	109	1	272	3.22e-39	342
AB273421_1	nifH	NC_009706.1_1010	vnfH	45	272	18	2	1	140	1	272	9.28e-60	496
AB273423_1	nifH	LT608329.1_1001	nflH	24	270	30	4	1	99	1	267	2.04e-13	150
