MiseID	MiseSeq	NFixDBID	NFixDBSeq	PercIdentity	AlnLength	Mismatches	GapOpens	QueryStart	QueryEnd	SeqStart	SeqEnd	EValue	Score
WP_005813529.1	nifH_T1	NZ_AP018449.1_2668	vnfH	82	284	41	1	1	275	1	284	4.43e-153	1189
WP_005986594.1	nifH_T1	DNPP01000068.1_28	vnfH	84	274	45	0	1	274	1	274	9.02e-157	1215
WP_005991910.1	nifH_T1	DNPP01000068.1_28	vnfH	80	274	55	0	1	274	1	274	5.88e-152	1180
WP_005994097.1	nifH_T2	DNPP01000068.1_28	vnfH	78	274	60	0	1	274	1	274	3.82e-147	1145
WP_006099029.1	nifH_T1	NZ_JAFFQA010000017.1_82	vnfH	81	275	52	1	1	274	1	275	2.08e-147	1147
WP_006195291.1	nifH_T2	JABXKI010000170.1_15	vnfH	96	298	12	1	1	298	1	297	5.39e-189	1453
WP_006199559.1	nifH_T1	CAJATU010000063.1_25	vnfH	90	298	28	1	1	297	1	298	3.69e-177	1367
WP_006281725.1	nifH_T3	JAEWDM010000040.1_232	vnfH	81	285	50	2	1	283	1	284	2.13e-153	1192
WP_006457679.1	nifH_T1	JAHHHC010000005.1_41	vnfH	82	296	47	1	1	291	1	296	8.84e-160	1240
WP_006512070.1	nifH_T1	NZ_JACJRQ010000032.1_53	vnfH	77	297	60	3	1	290	1	297	2.49e-149	1164
WP_006514484.1	nifH_T1	NZ_JACJRQ010000032.1_53	vnfH	81	297	50	1	1	292	1	297	9.31e-160	1240
WP_006523084.1	nifH_T1	JAJXWJ010000032.1_21	vnfH	80	274	54	1	1	274	1	273	6.09e-149	1158
WP_006540889.1	nifH_T1	NZ_JACJRU010000003.1_292	vnfH	75	296	65	2	1	288	1	296	1.93e-147	1150
WP_006560621.1	nifH_T1	NZ_BAEV01000114.1_9	vnfH	67	273	88	1	1	273	1	272	1.68e-124	980
WP_006609655.1	nifH_T1	PLZT01000187.1_7	vnfH	90	297	28	1	1	295	1	297	4.68e-177	1366
WP_006609699.1	nifH_T2	PLZT01000187.1_7	vnfH	89	297	30	1	1	295	1	297	3.13e-176	1360
WP_006786686.1	nifH_T1	NZ_SJZB01000053.1_50	vnfH	88	297	32	1	1	297	1	293	4.04e-172	1330
WP_006860741.1	nifH_T3	NZ_JAFFQA010000017.1_82	vnfH	68	276	84	2	1	274	1	275	1.85e-124	980
WP_007041619.1	nifH_T1	NZ_SMAO01000007.1_113	vnfH	96	293	11	1	1	291	1	293	1.41e-184	1420
WP_007044798.1	nifH_T2	NZ_AGJL01000035.1_12	nflH	100	290	0	0	1	290	1	290	5.84e-193	1487
WP_007192139.1	nifH_T1	NZ_SMAO01000007.1_113	vnfH	97	294	8	1	1	294	1	293	2.14e-188	1448
WP_007311041.1	nifH_T1	NZ_JACJRQ010000032.1_53	vnfH	75	301	65	3	1	296	1	297	9.52e-148	1153
WP_007526558.1	nifH_T1	NZ_JAFFQA010000017.1_82	vnfH	84	276	43	1	1	276	1	275	1.04e-153	1193
WP_007959965.1	nifH_T1	NZ_UPPP01000074.1_60	vnfH	87	275	34	1	1	273	1	275	1.26e-160	1243
WP_008029927.1	nifH_T1	CAIZGR010000378.1_10	vnfH	87	298	37	1	1	295	1	298	1.41e-170	1319
WP_008065016.1	nifH_T1	NZ_AJTV01000023.1_11	vnfH	89	292	30	2	1	291	1	291	3.86e-174	1344
WP_008319411.1	nifH_T1	JAHHHC010000005.1_41	vnfH	82	296	48	1	1	291	1	296	2.29e-159	1237
WP_008410403.1	nifH_T1	NZ_AUUU01000066.1_15	vnfH	82	273	48	1	1	272	1	273	8.62e-150	1164
WP_008418121.1	nifH_T2	NC_009706.1_1010	vnfH	85	277	36	1	1	277	1	272	1.62e-155	1206
WP_008425087.1	nifH_T2	NZ_AUUU01000066.1_15	vnfH	83	278	41	1	1	278	1	273	1.14e-154	1200
WP_008518850.1	nifH_T1	JAJXWH010000032.1_49	vnfH	79	273	57	0	1	273	1	273	3.14e-149	1160
WP_008868625.1	nifH_T1	DNPP01000068.1_28	vnfH	82	276	48	1	1	276	1	274	1.27e-152	1185
WP_008994714.1	nifH_T1	NZ_CP019948.1_1310	vnfH	89	293	32	1	1	293	1	292	5.74e-174	1343
WP_009065146.1	nifH_T3	JAEWDM010000040.1_232	vnfH	79	285	58	1	1	285	1	284	4.12e-149	1161
WP_009172482.1	nifH_T2	NZ_AUUU01000066.1_15	vnfH	86	278	33	2	1	277	1	273	1.31e-156	1214
WP_009179931.1	nifH_T1	DNPP01000068.1_28	vnfH	81	274	52	0	1	274	1	274	1.11e-151	1178
WP_009540176.1	nifH_T1	NZ_LGQZ01000027.1_123	vnfH	90	301	22	2	1	294	1	301	1.78e-176	1362
WP_009546639.1	nifH_T1	NZ_AP018248.1_5100	vnfH	71	328	62	3	1	327	1	297	3.78e-146	1144
WP_009741523.1	nifH_T1	NZ_JACJRQ010000032.1_53	vnfH	77	297	58	3	1	287	1	297	1.33e-150	1173
WP_009762339.1	nifH_T1	CAJATU010000063.1_25	vnfH	91	298	27	1	1	297	1	298	1.96e-177	1369
WP_009987487.1	nifH_T3	JAEWDM010000040.1_232	vnfH	84	286	43	2	1	285	1	284	8.21e-157	1217
WP_010074632.1	nifH_T1	NZ_JAEEGC010000053.1_19	vnfH	89	272	30	0	1	272	1	272	2.72e-159	1233
WP_010235454.1	nifH_T2	NZ_BAEV01000114.1_9	vnfH	95	272	13	0	1	272	1	272	1.68e-172	1329
WP_010237229.1	nifH_T1	NZ_BAEV01000114.1_9	vnfH	92	273	21	1	1	273	1	272	2.13e-167	1292
WP_010240497.1	nifH_T1	NZ_BAEV01000114.1_9	vnfH	94	273	15	1	1	273	1	272	2.18e-171	1321
WP_010240511.1	nifH_T1	NZ_BAEV01000114.1_9	vnfH	100	272	0	0	1	272	1	272	2.39e-180	1386
WP_010251784.1	nifH_T1	JAEWSD010000176.1_20	vnfH	84	273	44	0	1	273	1	273	6.63e-154	1194
WP_010256281.1	nifH_T2	JAEWDM010000040.1_232	vnfH	79	285	58	1	1	285	1	284	3.78e-148	1154
WP_010260142.1	nifH_T1	DBMP01000029.1_90	vnfH	78	274	60	0	1	274	1	274	4.41e-145	1130
WP_010261159.1	nifH_T2	JAEZKS010000250.1_8	nflH	63	319	86	4	1	291	1	316	3.07e-123	982
WP_010870393.1	nifH_T3	NC_000909.1_942	nflH	100	279	0	0	1	279	1	279	1.23e-185	1432
WP_010933198.1	nifH_T1	DNPP01000068.1_28	vnfH	84	274	45	0	1	274	1	274	1.85e-157	1220
WP_010936850.1	nifH_T1	NZ_JAFFQA010000017.1_82	vnfH	80	275	55	1	1	274	1	275	7.58e-151	1172
WP_010959594.1	nifH_T1	PQAN01000100.1_14	vnfH	91	294	23	2	1	293	1	292	1.52e-177	1369
WP_010963576.1	nifH_T2	NZ_BAEV01000114.1_9	vnfH	85	272	40	0	1	272	1	272	3.97e-156	1210
WP_010995626.1	nifH_T1	JAHHHC010000005.1_41	vnfH	96	296	12	1	1	295	1	296	9.13e-189	1451
WP_011094487.1	nifH_T1	DIDB01000228.1_21	vnfH	85	293	43	0	1	293	1	293	5.28e-169	1307
WP_011139245.1	nifH_T1	NZ_FYDG01000006.1_10	vnfH	75	306	58	6	1	303	1	291	3.94e-141	1105
WP_011156939.1	nifH_T2	JACRJB010000068.1_113	vnfH	95	296	14	0	1	296	1	296	5.78e-187	1438
WP_011160152.1	nifH_T1	JACRJB010000068.1_113	vnfH	96	298	9	2	1	298	1	296	1.15e-186	1436
WP_011176593.1	nifH_T1	NZ_JAFFQA010000017.1_82	vnfH	84	277	41	2	1	277	1	275	4.49e-155	1203
WP_011287173.1	nifH_T1	NZ_SSOD01000019.1_89	vnfH	91	296	26	1	1	296	1	295	1.29e-177	1370
WP_011320742.1	nifH_T2	NZ_PJIZ01000014.1_19	vnfH	97	324	9	0	1	324	1	324	1.7e-208	1599
WP_011320927.1	nifH_T1	NZ_JACJRQ010000032.1_53	vnfH	84	297	47	1	1	296	1	297	3e-164	1273
WP_011358257.1	nifH_T1	DNPP01000068.1_28	vnfH	84	274	43	0	1	274	1	274	3.49e-157	1218
WP_011388553.1	nifH_T2	JAEZKS010000250.1_8	nflH	60	317	100	4	1	291	1	316	6.61e-121	965
WP_011388765.1	nifH_T1	NZ_JAAIYP010000011.1_68	vnfH	89	297	30	2	1	295	1	295	1.84e-174	1347
WP_011430651.1	nifH_T1	NZ_JACJRQ010000032.1_53	vnfH	84	298	42	3	1	292	1	297	5.07e-164	1271
WP_011474866.1	nifH_T1	JACRJB010000068.1_113	vnfH	95	300	12	2	1	300	1	296	6.33e-183	1409
WP_011613474.1	nifH_T1	NZ_AJLK01000041.1_8	vnfH	80	300	51	4	1	296	1	295	4.69e-155	1206
WP_011697884.1	nifH_T1	DBMP01000029.1_90	vnfH	83	274	46	0	1	274	1	274	2.86e-151	1175
WP_011712868.1	nifH_T1	NZ_SJZB01000053.1_50	vnfH	86	296	37	1	1	296	1	293	2.41e-170	1317
WP_011737276.1	nifH_T1	PMCK01000495.1_5	vnfH	81	293	50	1	1	288	1	293	6.96e-159	1233
WP_011744626.1	nifH_T1	DNPP01000068.1_28	vnfH	83	274	47	0	1	274	1	274	2.7e-154	1197
WP_011813091.1	nifH_T1	NZ_SJZB01000053.1_50	vnfH	84	293	45	1	1	291	1	293	4.12e-163	1264
WP_011879120.1	nifH_T1	NZ_UPPP01000074.1_60	vnfH	84	275	41	1	1	272	1	275	4.15e-152	1181
WP_011890578.1	nifH_T1	DNPP01000068.1_28	vnfH	82	274	48	0	1	274	1	274	1.97e-154	1198
WP_011938101.1	nifH_T1	PMCK01000495.1_5	vnfH	82	293	49	1	1	289	1	293	4.14e-160	1242
WP_011955961.1	nifH_T3	PQXF01000004.1_158	nflH	71	273	80	0	1	273	1	273	9.51e-131	1032
WP_011973224.1	nifH_T2	NC_009635.1_513	nflH	100	290	0	0	1	290	1	290	4.62e-194	1495
WP_011973932.1	nifH_T2	WAKW01000002.1_72	nflH	89	280	28	1	1	278	1	280	2.7e-168	1306
WP_011977525.1	nifH_T2	NZ_JACDUL010000003.1_318	nflH	88	331	0	1	1	292	1	331	7.39e-187	1446
WP_012035713.1	nifH_T1	NZ_UPPP01000074.1_60	vnfH	85	275	39	1	1	274	1	275	4.9e-157	1217
WP_012064614.1	nifH_T1	NZ_MZGX01000024.1_42	vnfH	84	273	44	1	1	272	1	273	3.14e-153	1189
WP_012065966.1	nifH_T2	NC_009634.1_1184	nflH	100	292	0	0	1	292	1	292	4.06e-195	1503
WP_012097841.1	nifH_T1	PMCK01000495.1_5	vnfH	85	293	39	1	1	288	1	293	6.17e-165	1277
WP_012106688.1	nifH_T1	NZ_UPPP01000074.1_60	vnfH	89	276	28	1	1	276	1	275	9.41e-164	1266
WP_012122497.1	nifH_T1	PQXF01000004.1_158	nflH	69	273	84	0	1	273	1	273	1.64e-129	1023
WP_012171966.1	nifH_T2	PLZT01000187.1_7	vnfH	89	297	33	1	1	296	1	297	1.05e-174	1349
WP_012193508.1	nifH_T2	NZ_CP026606.1_930	nflH	90	313	10	1	1	292	1	313	6.98e-184	1423
WP_012222808.1	nifH_T1	CAJATU010000063.1_25	vnfH	91	298	26	0	1	298	1	298	2.05e-181	1398
WP_012282218.1	nifH_T1	NZ_AP018449.1_2668	vnfH	87	284	38	0	1	284	1	284	4.85e-166	1284
WP_012333316.1	nifH_T1	CAJATU010000063.1_25	vnfH	92	299	23	1	1	299	1	298	1.94e-180	1391
WP_012346460.1	nifH_T1	PLZT01000187.1_7	vnfH	90	297	25	1	1	293	1	297	4.82e-178	1373
WP_012383484.1	nifH_T1	NZ_AJTV01000023.1_11	vnfH	91	291	24	1	1	290	1	291	1.15e-175	1355
WP_012406824.1	nifH_T2	NZ_AJTV01000023.1_11	vnfH	88	293	33	1	1	293	1	291	2.51e-172	1331
WP_012407220.1	nifH_T1	LXQE01000125.1_187	vnfH	99	297	2	0	1	297	1	297	3.35e-195	1498
WP_012407784.1	nifH_T2	JABXKI010000170.1_15	vnfH	97	297	10	0	1	297	1	297	5.7e-190	1460
WP_012468732.1	nifH_T1	PMCK01000495.1_5	vnfH	84	293	41	1	1	288	1	293	3.79e-163	1264
WP_012469288.1	nifH_T2	PMCK01000495.1_5	vnfH	81	293	50	1	1	288	1	293	8.05e-157	1218
WP_012475146.1	nifH_T1	DNPP01000068.1_28	vnfH	84	274	44	0	1	274	1	274	1.24e-156	1214
WP_012499583.1	nifH_T1	DNPP01000068.1_28	vnfH	84	274	45	0	1	274	1	274	1.35e-157	1221
WP_012506178.1	nifH_T1	DNPP01000068.1_28	vnfH	83	274	47	0	1	274	1	274	5.54e-155	1202
WP_012508646.1	nifH_T1	DNPP01000068.1_28	vnfH	81	274	52	0	1	274	1	274	1.66e-152	1184
WP_012546613.1	nifH_T1	NZ_AP018449.1_2668	vnfH	74	284	64	1	1	274	1	284	1.61e-138	1083
WP_012555968.1	nifH_T1	CAJATU010000063.1_25	vnfH	86	298	40	1	1	295	1	298	6.69e-166	1285
WP_012568805.1	nifH_T1	CAIZGR010000378.1_10	vnfH	90	300	26	2	1	299	1	298	2.84e-177	1368
WP_012595104.1	nifH_T1	NZ_AJLK01000041.1_8	vnfH	77	300	60	2	1	296	1	295	7.87e-150	1168
WP_012617253.1	nifH_T1	NZ_UPPP01000074.1_60	vnfH	88	276	31	1	1	276	1	275	4.58e-163	1261
WP_012627797.1	nifH_T1	NZ_JAIVFR010000244.1_3	vnfH	86	298	40	1	1	298	1	297	1.4e-173	1341
WP_012647540.1	nifH_T2	JAEZKS010000250.1_8	nflH	61	320	92	4	1	292	1	316	1.92e-121	969
WP_012647654.1	nifH_T1	PMCK01000495.1_5	vnfH	83	293	45	1	1	289	1	293	7.34e-163	1262
WP_012698831.1	nifH_T1	NC_021149.1_128	vnfH	100	290	0	0	1	290	1	290	3.41e-192	1475
WP_012698955.1	nifH_T1	NZ_FOFJ01000009.1_66	vnfH	97	290	9	0	1	290	1	290	7.98e-187	1436
WP_012728878.1	nifH_T1	NC_021149.1_128	vnfH	88	295	31	1	1	295	1	290	1.09e-173	1341
WP_012963773.1	nifH_T3	NZ_SJZB01000053.1_50	vnfH	75	293	58	2	1	279	1	293	1.49e-144	1128
WP_012971078.1	nifH_T1	NZ_SMAO01000007.1_113	vnfH	98	294	5	1	1	294	1	293	3.19e-189	1454
WP_012980864.1	nifH_T2	NC_013887.1_1302	nflH	100	279	0	0	1	279	1	279	1.23e-185	1432
WP_012991466.1	nifH_T1	NZ_AJLK01000041.1_8	vnfH	76	296	54	4	1	279	1	295	1.71e-145	1135
WP_013010353.1	nifH_T1	NZ_SJZB01000053.1_50	vnfH	82	293	50	1	1	290	1	293	3.58e-158	1228
WP_013029017.1	nifH_T1	NZ_SSOD01000019.1_89	vnfH	91	295	23	2	1	292	1	295	5.18e-176	1358
WP_013044574.1	nifH_T1	NZ_JAFFQA010000017.1_82	vnfH	86	276	37	1	1	276	1	275	1e-160	1244
WP_013119578.1	nifH_T1	NC_021182.1_3330	vnfH	82	272	50	0	1	272	1	272	2.37e-150	1168
WP_013133864.1	nifH_T1	NZ_FYDG01000006.1_10	vnfH	72	305	70	4	1	304	1	291	5.36e-137	1075
WP_013164631.1	nifH_T1	NZ_JAFFQA010000017.1_82	vnfH	91	275	26	0	1	275	1	275	1.28e-167	1294
WP_013180087.1	nifH_T3	NZ_JANUCR010000003.1_31	nflH	100	278	0	0	1	278	1	278	7.32e-188	1448
WP_013190628.1	nifH_T1	JAHHHC010000005.1_41	vnfH	96	297	9	2	1	296	1	296	1.63e-187	1442
WP_013192322.1	nifH_T2	JABXKM010000203.1_18	vnfH	93	299	19	2	1	299	1	296	2.38e-183	1412
WP_013192381.1	nifH_T2	NZ_JABXYX010000032.1_33	vnfH	89	327	31	2	1	326	1	322	1.46e-191	1476
WP_013234820.1	nifH_T2	NZ_FYDG01000006.1_10	vnfH	88	292	35	1	1	292	1	291	3.65e-173	1337
WP_013237172.1	nifH_T1	NC_021182.1_3330	vnfH	86	272	38	0	1	272	1	272	1.03e-155	1207
WP_013255569.1	nifH_T1	DNPP01000068.1_28	vnfH	83	275	46	1	1	275	1	274	2.55e-153	1190
WP_013257272.1	nifH_T1	NZ_JAFFQA010000017.1_82	vnfH	87	275	37	0	1	275	1	275	1.45e-161	1250
WP_013298321.1	nifH_T1	DNPP01000068.1_28	vnfH	80	274	53	1	1	272	1	274	8.83e-150	1164
WP_013313167.1	nifH_T1	DNPP01000068.1_28	vnfH	80	274	55	0	1	274	1	274	4.17e-148	1152
WP_013319646.1	nifH_T1	NZ_JACHXI010000010.1_82	vnfH	88	293	32	1	1	293	1	290	1.03e-173	1341
WP_013323681.1	nifH_T1	NZ_AJLK01000041.1_8	vnfH	78	302	56	3	1	298	1	295	4.04e-149	1163
WP_013328220.1	nifH_T1	NZ_UPPP01000074.1_60	vnfH	85	275	40	1	1	273	1	275	5.52e-155	1202
WP_013387857.1	nifH_T1	NZ_AUUU01000066.1_15	vnfH	75	279	65	1	1	279	1	273	9.84e-142	1106
WP_013419575.1	nifH_T1	NC_014664.1_1948	vnfH	100	292	0	0	1	292	1	292	4.47e-194	1489
WP_013421120.1	nifH_T2	JAEZKS010000250.1_8	nflH	59	317	95	3	1	284	1	316	4.58e-119	951
WP_013444938.1	nifH_T1	DNPP01000068.1_28	vnfH	80	274	55	0	1	274	1	274	3.51e-146	1138
WP_013450808.1	nifH_T1	NZ_SSOD01000019.1_89	vnfH	79	295	56	2	1	289	1	295	9.19e-154	1196
WP_013460359.1	nifH_T1	NZ_FYDG01000006.1_10	vnfH	73	307	64	7	1	305	1	291	1.24e-138	1087
WP_013485458.1	nifH_T1	NZ_MZGX01000024.1_42	vnfH	79	274	56	1	1	274	1	273	5.42e-144	1122
WP_013513968.1	nifH_T1	NZ_JAFFQA010000017.1_82	vnfH	88	275	32	0	1	275	1	275	7.26e-165	1274
WP_013625894.1	nifH_T2	JAEZKS010000250.1_8	nflH	62	319	90	3	1	292	1	316	2.01e-125	998
WP_013625931.1	nifH_T1	NZ_AP018449.1_2668	vnfH	89	284	30	0	1	284	1	284	6.4e-173	1334
WP_013655494.1	nifH_T1	DBTU01000011.1_44	vnfH	90	272	26	0	1	272	1	272	2.26e-168	1299
WP_013705354.1	nifH_T1	DNPP01000068.1_28	vnfH	83	274	47	0	1	274	1	274	2.27e-152	1183
WP_013799344.1	nifH_T2	NC_015562.1_1438	nflH	94	290	14	2	1	288	1	290	1.47e-181	1404
WP_013799550.1	nifH_T2	NC_015562.1_1438	nflH	100	290	0	0	1	290	1	290	1.1e-192	1485
WP_013843403.1	nifH_T1	NZ_UPPP01000074.1_60	vnfH	83	275	44	1	1	272	1	275	4.8e-150	1166
WP_013866969.1	nifH_T2	NC_015636.1_828	nflH	100	280	0	0	1	280	1	280	1.41e-186	1439
WP_013874048.1	nifH_T1	NZ_JAIVFR010000244.1_3	vnfH	77	297	60	2	1	290	1	297	6.07e-152	1183
WP_013949240.1	nifH_T2	PLZT01000187.1_7	vnfH	90	297	27	1	1	294	1	297	3.05e-176	1360
WP_014187222.1	nifH_T1	NZ_AP018449.1_2668	vnfH	79	284	50	1	1	275	1	284	1.02e-147	1150
WP_014239786.1	nifH_T2	NZ_CP022253.1_2290	vnfH	100	293	0	0	1	293	1	293	2.3e-193	1484
WP_014247088.1	nifH_T1	NZ_CP022253.1_2290	vnfH	93	298	17	2	1	298	1	293	5.94e-180	1387
WP_014255313.1	nifH_T2	JAEWSD010000176.1_20	vnfH	84	273	45	0	1	273	1	273	1.15e-152	1185
WP_014255458.1	nifH_T2	JAEZKS010000250.1_8	nflH	64	319	85	3	1	292	1	316	7.43e-129	1023
WP_014321935.1	nifH_T1	NZ_JAFFQA010000017.1_82	vnfH	89	275	31	0	1	275	1	275	7.26e-165	1274
WP_014355191.1	nifH_T1	JAEWSD010000176.1_20	vnfH	85	273	42	0	1	273	1	273	2.22e-156	1212
WP_014404752.1	nifH_T1	NZ_UPPP01000074.1_60	vnfH	85	275	39	1	1	272	1	275	1.01e-154	1200
WP_014430473.1	nifH_T1	NZ_CP064782.1_76	vnfH	90	293	26	1	1	293	1	291	2.56e-176	1360
WP_014450550.1	nifH_T1	PLZT01000187.1_7	vnfH	84	297	41	2	1	291	1	297	7.38e-165	1277
WP_014545823.1	nifH_T3	JAEWDM010000040.1_232	vnfH	75	284	69	2	1	281	1	284	1.69e-140	1098
WP_014813165.1	nifH_T1	DNPP01000068.1_28	vnfH	80	274	56	0	1	274	1	274	1.39e-150	1170
WP_014892102.1	nifH_T2	PLZT01000187.1_7	vnfH	90	297	27	1	1	295	1	297	2.48e-177	1368
WP_014904758.1	nifH_T1	NZ_AP018449.1_2668	vnfH	80	284	49	1	1	275	1	284	1.53e-148	1156
WP_015044056.1	nifH_T1	NZ_AP018449.1_2668	vnfH	90	284	29	0	1	284	1	284	1.43e-174	1346
WP_015122246.1	nifH_T2	NZ_CP040272.1_833	vnfH	85	293	27	1	1	276	1	293	1.22e-161	1252
WP_015131644.1	nifH_T2	JABXKI010000170.1_15	vnfH	94	301	14	1	1	301	1	297	1.39e-187	1443
WP_015141658.1	nifH_T2	NZ_JABXYX010000032.1_33	vnfH	84	325	47	2	1	324	1	322	1.03e-180	1397
WP_015145430.1	nifH_T1	DNPP01000068.1_28	vnfH	80	274	56	0	1	274	1	274	4.54e-149	1159
WP_015156515.1	nifH_T2	NZ_JACJRQ010000032.1_53	vnfH	87	297	39	1	1	296	1	297	1.54e-171	1326
WP_015181338.1	nifH_T1	NZ_JACJRQ010000032.1_53	vnfH	85	299	43	1	1	299	1	297	1.41e-169	1312
WP_015205670.1	nifH_T2	JAHHHH010000012.1_74	vnfH	88	326	38	1	1	325	1	326	7.04e-190	1464
WP_015206159.1	nifH_T2	JABXKI010000170.1_15	vnfH	95	297	14	1	1	296	1	297	5.45e-186	1431
WP_015225829.1	nifH_T1	AP018233.1_3456	vnfH	78	299	56	3	1	292	1	297	9.6e-153	1189
WP_015282051.1	nifH_T1	NZ_SSOD01000019.1_89	vnfH	92	295	23	2	1	293	1	295	1.38e-175	1355
WP_015359640.1	nifH_T3	JAEWDM010000040.1_232	vnfH	80	284	55	2	1	282	1	284	7.8e-150	1166
WP_015391518.1	nifH_T2	JAEWDM010000040.1_232	vnfH	82	284	51	0	1	284	1	284	1.38e-155	1208
WP_015393155.1	nifH_T1	NZ_AUUU01000066.1_15	vnfH	96	273	12	0	1	273	1	273	2.64e-173	1335
WP_015416172.1	nifH_T1	NZ_JAFFQA010000017.1_82	vnfH	87	276	35	1	1	276	1	275	5.78e-162	1253
WP_015437658.1	nifH_T1	NZ_CP064782.1_76	vnfH	89	293	31	1	1	293	1	291	1.99e-173	1339
WP_015616539.1	nifH_T1	NC_021182.1_3330	vnfH	100	272	0	0	1	272	1	272	4.9e-181	1391
WP_015616548.1	nifH_T1	NZ_CP009268.1_1381	vnfH	91	273	24	1	1	273	1	272	1.31e-165	1279
WP_015687117.1	nifH_T1	PQAN01000100.1_14	vnfH	91	296	24	2	1	296	1	292	3.92e-176	1359
WP_015710526.1	nifH_T2	JAEZKS010000250.1_8	nflH	62	319	91	3	1	292	1	316	2.01e-125	998
WP_015712346.1	nifH_T1	DNPP01000068.1_28	vnfH	78	274	60	0	1	274	1	274	1.05e-143	1120
WP_015725710.1	nifH_T1	NZ_JAFFQA010000017.1_82	vnfH	94	275	16	0	1	275	1	275	7.1e-176	1354
WP_015732962.1	nifH_T2	NC_013407.1_882	nflH	100	277	0	0	1	277	1	277	1.92e-184	1423
WP_015740208.1	nifH_T1	CAJATU010000063.1_25	vnfH	90	298	28	1	1	295	1	298	3.21e-176	1360
WP_015756624.1	nifH_T1	NZ_UPPP01000074.1_60	vnfH	83	275	48	0	1	275	1	275	7.35e-154	1194
WP_015768824.1	nifH_T1	NZ_SSOD01000019.1_89	vnfH	90	302	23	1	1	302	1	295	4.66e-179	1381
WP_015773052.1	nifH_T1	NZ_JAFFQA010000017.1_82	vnfH	87	276	35	1	1	276	1	275	6.29e-163	1260
WP_015791684.1	nifH_T3	NC_013156.1_1160	nflH	100	279	0	0	1	279	1	279	6.53e-186	1434
WP_015818692.1	nifH_T1	NZ_SJZB01000053.1_50	vnfH	89	293	30	1	1	292	1	293	2.21e-174	1346
WP_015902868.1	nifH_T1	DNPP01000068.1_28	vnfH	80	274	54	1	1	273	1	274	6.07e-149	1158
WP_015930533.1	nifH_T1	CAINOE010000073.1_13	vnfH	93	299	21	0	1	299	1	299	6.09e-182	1402
WP_015943375.1	nifH_T2	JAEZKS010000250.1_8	nflH	62	319	92	4	1	292	1	316	1.12e-122	978
WP_015954153.1	nifH_T1	NZ_AJLK01000041.1_8	vnfH	76	303	61	2	1	299	1	295	1.85e-147	1151
WP_016195754.1	nifH_T1	DNPP01000068.1_28	vnfH	81	275	49	2	1	274	1	274	2.63e-150	1168
WP_016403298.1	nifH_T1	JAAUTD010000083.1_4	vnfH	86	295	37	2	1	292	1	295	5.87e-170	1314
