	Database	OrgGene	Gene	SeqID	EValue	Bitscore	AlnLength
3340	FunGene	nifD	nifD	C6B4Z1	2.8e-257	847.4	484
3341	FunGene	nifD	nifD	Q2JTL8	3e-257	847.3	480
3342	FunGene	nifD	nifD	A2V8A0	4e-257	846.9	477
3343	FunGene	nifD	nifD	Q6D2Y9	4.2e-257	846.8	482
3344	FunGene	nifD	nifD	A1Z1X8	6.1e-257	846.3	483
3345	FunGene	nifD	nifD	Q5NLG2	6.1e-257	846.3	481
3346	FunGene	nifD	nifD	A1Z1W0	7.1e-257	846.0	485
3347	FunGene	nifD	nifD	Q44045	9.8e-257	845.6	486
3348	FunGene	nifD	nifD	B7TB35	1.2e-256	845.3	478
3349	FunGene	nifD	nifD	P00466	5.4e-256	843.1	482
3350	FunGene	nifD	nifD	O84929	6.5e-256	842.9	484
3351	FunGene	nifD	nifD	B3F2I3	8.4e-256	842.5	479
3352	FunGene	nifD	nifD	B6A0Y7	1.2e-255	842.0	482
3353	FunGene	nifD	nifD	B3F2I0	2.9e-255	840.7	478
3354	FunGene	nifD	nifD	B3F2H8	2e-254	837.9	478
3355	FunGene	nifD	nifD	Q589A1	2.1e-254	837.9	483
3356	FunGene	nifD	nifD	A1WTQ5	5.5e-254	836.5	483
3357	FunGene	nifD	nifD	B4WRV2	4.8e-252	830.1	479
3358	FunGene	nifD	nifD	Q7MRF8	3.2e-250	824.1	478
3359	FunGene	nifD	nifD	P25313	5.2e-247	813.5	477
3360	FunGene	nifD	nifD	Q53UA0	5.7e-247	813.4	473
3361	FunGene	nifD	nifD	Q0RAV5	1.9e-246	811.7	476
3362	FunGene	nifD	nifD	A1AUP0	2.6e-246	811.2	471
3363	FunGene	nifD	nifD	B0TAP4	4.1e-246	810.5	473
3364	FunGene	nifD	nifD	A8L2C3	5.6e-246	810.1	475
3365	FunGene	nifD	nifD	P06662	2.1e-245	808.2	472
3367	FunGene	nifD	nifD	A5GAL1	2.7e-245	807.9	471
3366	FunGene	nifD	nifD	Q24PI3	2.7e-245	807.9	472
3368	FunGene	nifD	nifD	A7HET0	3e-245	807.7	471
3369	FunGene	nifD	nifD	Q39XW9	5.4e-245	806.8	471
3370	FunGene	nifD	nifD	Q2J4F9	5.4e-245	806.8	474
3371	FunGene	nifD	nifD	B9M0S3	6.3e-245	806.6	471
3372	FunGene	nifD	nifD	A0ZAV9	6.8e-245	806.5	455
3373	FunGene	nifD	nifD	B5ECQ3	1.4e-244	805.5	471
3374	FunGene	nifD	nifD	Q749C3	2.8e-244	804.5	471
3375	FunGene	nifD	nifD	Q6QF63	3.6e-244	804.1	496
3376	FunGene	nifD	nifD	Q3M664	3.8e-244	804.1	454
3377	FunGene	nifD	nifD	Q47927	5.6e-244	803.5	480
3378	FunGene	nifD	nifD	B9X243	7.7e-244	803.0	474
3379	FunGene	nifD	nifD	Q3A2R8	1.4e-243	802.2	471
3380	FunGene	nifD	nifD	B9X2C0	1.5e-243	802.1	473
3381	FunGene	nifD	nifD	B3E3W1	5.6e-243	800.2	471
3382	FunGene	nifD	nifD	C6MRS8	1.4e-242	798.9	471
3383	FunGene	nifD	nifD	B9X2A1	3.3e-242	797.7	471
3384	FunGene	nifD	nifD	B4ULZ0	5.9e-242	796.8	471
3385	FunGene	nifD	nifD	B5YH17	4.7e-241	793.9	470
3386	FunGene	nifD	nifD	Q1K0I7	5.7e-240	790.3	471
3387	FunGene	nifD	nifD	C1SID1	1.2e-237	782.6	476
3388	FunGene	nifD	nifD	Q47923	1.4e-237	782.4	475
3389	FunGene	nifD	nifD	A5N1U0	2.2e-233	768.6	528
4094	FunGene	vnfD	anfD	ADU27824;size=1;/1-460	4e-231	758.0	459
3390	FunGene	nifD	nifD	Q56JU4	9.7e-230	756.5	436
3391	FunGene	nifD	nifD	Q8TJ90	1.3e-229	756.1	525
3392	FunGene	nifD	nifD	Q8PYX7	8.6e-228	750.1	523
3393	FunGene	nifD	nifD	Q46G39	3.6e-227	748.1	525
3394	FunGene	nifD	nifD	P08717	8.6e-227	746.8	489
4095	FunGene	vnfD	anfD	OBQ03851;size=4;/1-460	1.5e-226	742.9	459
4096	FunGene	vnfD	anfD	AKG34370;size=1;/1-460	7.2e-226	740.7	459
3395	FunGene	nifD	nifD	Q8KC89	1e-225	743.2	526
3396	FunGene	nifD	nifD	C0A2R7	6.9e-225	740.5	524
4097	FunGene	vnfD	anfD	EKF04224;size=1;/1-460	9.2e-225	737.0	459
3397	FunGene	nifD	nifD	P55170	1.6e-224	739.4	525
4098	FunGene	vnfD	anfD	OIQ93815;size=1;/1-460	3.6e-224	735.1	458
3398	FunGene	nifD	nifD	A1BEG7	3.7e-224	738.1	525
3399	FunGene	nifD	nifD	Q3B2P3	7.7e-224	737.1	526
3400	FunGene	nifD	nifD	B3QQ15	1.1e-223	736.6	526
3401	FunGene	nifD	nifD	B3EH85	2.5e-223	735.4	525
3402	FunGene	nifD	nifD	B8DR77	5e-223	734.4	534
3403	FunGene	nifD	nifD	C6BX31	7.5e-223	733.8	533
3404	FunGene	nifD	nifD	C4XRJ9	7.7e-223	733.8	529
3405	FunGene	nifD	nifD	B4S9H8	7.8e-223	733.8	526
3406	FunGene	nifD	nifD	C8R0M9	8e-223	733.7	532
4099	FunGene	vnfD	anfD	AHA37825;size=1;/1-460	8.6e-223	730.5	459
3407	FunGene	nifD	nifD	C0GKD5	1e-222	733.3	522
3408	FunGene	nifD	nifD	A4J8B9	1.4e-222	732.9	525
3409	FunGene	nifD	nifD	A4SFU9	2e-222	732.4	529
4100	FunGene	vnfD	anfD	BAH06671;size=2;/1-460	4.8e-222	728.1	459
4101	FunGene	vnfD	anfD	AKB51721;size=2;/1-460	7.7e-222	727.4	458
4102	FunGene	vnfD	anfD	CAE26821;size=1;/1-460	8.7e-222	727.2	459
3410	FunGene	nifD	nifD	Q1NW43	9.1e-222	730.2	531
3411	FunGene	nifD	nifD	C7LPB2	1e-221	730.1	532
3412	FunGene	nifD	nifD	C8W444	1.8e-221	729.3	527
3413	FunGene	nifD	nifD	Q0YUY7	6.3e-221	727.5	525
4103	FunGene	vnfD	anfD	AKB81589;size=1;/1-460	6.5e-221	724.3	458
3414	FunGene	nifD	nifD	B3EL84	8e-221	727.1	530
4104	FunGene	vnfD	anfD	EKQ52376;size=1;/1-460	1.1e-220	723.6	459
3415	FunGene	nifD	nifD	Q97ME2	1.5e-220	726.3	528
4105	FunGene	vnfD	anfD	AGK98263;size=1;/1-460	1.9e-220	722.8	459
3416	FunGene	nifD	nifD	B4SC62	2.1e-220	725.7	525
3417	FunGene	nifD	nifD	C0GSM9	2.7e-220	725.4	528
4106	FunGene	vnfD	anfD	EXJ15821;size=1;/1-460	4e-220	721.7	459
4107	FunGene	vnfD	anfD	OMH20013;size=6;/1-460	6.4e-220	721.0	459
3418	FunGene	nifD	nifD	Q3AR67	7.2e-220	724.0	526
4108	FunGene	vnfD	anfD	SEH51093;size=1;/1-460	7.9e-220	720.7	459
4109	FunGene	vnfD	anfD	AKB48005;size=2;/1-460	1.3e-219	720.1	458
4110	FunGene	vnfD	anfD	AAM04635;size=1;/1-460	1.5e-219	719.9	458
3419	FunGene	nifD	nifD	B8FAC1	7.4e-219	720.7	533
3420	FunGene	nifD	nifD	B8GEW4	9.2e-219	720.3	532
3421	FunGene	nifD	nifD	A0LH08	1.6e-218	719.6	531
3422	FunGene	nifD	nifD	C6PCX3	1.7e-218	719.4	525
3423	FunGene	nifD	nifD	B3QXW8	4.8e-218	718.0	528
4111	FunGene	vnfD	anfD	ADP69796;size=1;/1-460	2.3e-217	712.6	459
4112	FunGene	vnfD	anfD	SFX09986;size=5;/1-460	2.8e-217	712.4	459
3424	FunGene	nifD	nifD	B5JMT9	2.9e-217	715.4	529
3425	FunGene	nifD	nifD	C5RN63	3e-217	715.3	523
4113	FunGene	vnfD	anfD	CCD03004;size=1;/1-460	3.5e-217	712.0	459
3426	FunGene	nifD	nifD	C7IGE7	1.4e-215	709.9	525
3427	FunGene	nifD	nifD	A6TTY0	4.7e-215	708.1	525
3428	FunGene	nifD	nifD	C0QKL1	3.2e-214	705.4	531
3429	FunGene	nifD	nifD	B4VJP5	3.3e-214	705.3	521
3430	FunGene	nifD	nifD	Q0W440	4.5e-214	704.9	530
3431	FunGene	nifD	nifD	Q72WS7	2.5e-213	702.4	528
3432	FunGene	nifD	nifD	A7I7F2	5e-211	694.8	530
3433	FunGene	nifD	nifD	Q6DQY7	8.9e-211	694.0	524
3434	FunGene	nifD	nifD	B6YRI9	4.1e-210	691.8	534
3435	FunGene	nifD	nifD	Q3Z7D0	1e-209	690.5	534
3436	FunGene	nifD	nifD	P00467	2.4e-208	686.0	529
3437	FunGene	nifD	nifD	Q02452	5.7e-206	678.1	477
3438	FunGene	nifD	nifD	B1QUW1	5.2e-205	675.0	526
11335	Zehr	nifH	anfH	EIG54448.1|Desulfovibrio_sp._1	4.2e-182	602.2	275
11336	Zehr	nifH	anfH	ACF00152.1|Rhodopseudomonas_palustris_1	3.2e-180	596.0	275
11337	Zehr	nifH	anfH	EFC24679.1|Rhodopseudomonas_palustris_1	6e-180	595.1	275
11338	Zehr	nifH	anfH	ACS86387.1|Dickeya_dadantii_1	9.4e-180	594.5	275
11339	Zehr	nifH	anfH	ABJ07810.1|Rhodopseudomonas_palustris_1	1.1e-179	594.2	275
11340	Zehr	nifH	anfH	EPY00584.1|Phaeospirillum_fulvum_1	1.3e-179	594.1	275
0	Buckley	nifH	anfH	2NC_005296_1	1.8e-179	593.6	274
9924	Mise	nifH	vnfH	WP_039801084.1	2.2e-179	589.2	287
11341	Zehr	nifH	anfH	AFA47495.1|Acetobacterium_woodii_1	2.8e-179	592.9	274
11342	Zehr	nifH	anfH	ADP72548.1|Rhodomicrobium_vannielii_1	3.6e-179	592.6	275
11343	Zehr	nifH	anfH	CAA49624.1|Rhodobacter_capsulatus_1	3.8e-179	592.5	275
11344	Zehr	nifH	anfH	ABC22196.1|Rhodospirillum_rubrum_1	5.7e-179	591.9	275
1	Buckley	nifH	anfH	CP0004631_1	6.3e-179	591.8	274
9925	Mise	nifH	vnfH	WP_144571912.1	2e-178	586.0	287
11345	Zehr	nifH	anfH	ZP_09716421.1|Treponema_primitia_1	2e-178	590.1	274
11346	Zehr	nifH	anfH	EJW10892.1|Rhodovulum_sp._1	2e-178	590.1	274
2	Buckley	nifH	anfH	X70033_1	2.2e-178	590.0	274
11347	Zehr	nifH	anfH	EEG18913.1|Opitutaceae_bacterium_1	2.3e-178	589.9	273
6257	Mise	nifH	vnfH	WP_090943799.1	2.5e-178	587.4	287
11348	Zehr	nifH	anfH	ACM03752.1|Rhodobacter_sphaeroides_1	1.2e-177	587.5	275
6258	Mise	nifH	vnfH	WP_012698955.1	3.6e-177	583.5	287
3	Buckley	nifH	anfH	NC_011958_1	7.3e-177	585.0	274
13305	Zehr	nifH	vnfH	CAA27553.1|Azotobacter_chroococcum_1	1.7e-176	584.1	287
1242	Buckley	nifH	vnfH	M24596X03916_1	2e-176	583.9	287
9926	Mise	nifH	vnfH	WP_183166011.1	5.2e-176	578.1	287
11349	Zehr	nifH	anfH	AAA82508.1|Azotobacter_vinelandii_1	1.2e-175	581.0	275
6259	Mise	nifH	vnfH	WP_026687661.1	1.4e-175	578.3	287
10963	Mise	nifH	nifH	WP_004203553.1	1.5e-175	574.5	289
9927	Mise	nifH	vnfH	WP_024873197.1	1.5e-175	576.6	287
5246	Mise	nifH	nifH	WP_090899895.1	1.7e-175	577.8	288
5247	Mise	nifH	nifH	WP_012698831.1	2e-175	577.6	289
13306	Zehr	nifH	vnfH	AAA22170.1|Azotobacter_vinelandii_1	2.2e-175	580.4	287
1243	Buckley	nifH	vnfH	M32371_1	2.6e-175	580.2	287
6260	Mise	nifH	vnfH	WP_166271360.1	3.3e-175	577.1	287
11350	Zehr	nifH	anfH	EKO38948.1|Desulfovibrio_magneticus_1	4.9e-175	579.0	266
6261	Mise	nifH	vnfH	WP_012698831.1	5e-175	576.5	287
6262	Mise	nifH	vnfH	WP_077300426.1	5.1e-175	576.5	287
6263	Mise	nifH	vnfH	WP_144570098.1	5.3e-175	576.4	287
9607	Mise	nifH	nifH	WP_004203553.1	5.5e-175	574.5	289
4	Buckley	nifH	anfH	M23528_1	7e-175	578.5	274
6264	Mise	nifH	vnfH	WP_172202846.1	7.3e-175	576.0	287
6265	Mise	nifH	vnfH	WP_153108757.1	8.4e-175	575.8	287
4001	FunGene	nifH	vnfH	gi|71907047|ref|YP_284634.1|	1.2e-174	570.3	287
6266	Mise	nifH	vnfH	WP_203388507.1	1.8e-174	574.7	287
5248	Mise	nifH	nifH	WP_131183834.1	1.8e-174	574.5	289
6267	Mise	nifH	vnfH	WP_138149724.1	1.9e-174	574.6	287
6268	Mise	nifH	vnfH	WP_018607902.1	2.4e-174	574.3	287
6269	Mise	nifH	vnfH	WP_210394708.1	2.4e-174	574.3	287
621	Buckley	nifH	nifH	3951840390NZ_AAAU03000003_1	2.5e-174	576.8	288
5249	Mise	nifH	nifH	WP_172148988.1	2.5e-174	574.0	289
5250	Mise	nifH	nifH	WP_090349186.1	2.8e-174	573.9	289
6270	Mise	nifH	vnfH	WP_136387018.1	3e-174	574.0	287
5251	Mise	nifH	nifH	WP_104002709.1	3.3e-174	573.6	289
5252	Mise	nifH	nifH	WP_036190066.1	3.6e-174	573.5	289
6271	Mise	nifH	vnfH	WP_153975375.1	3.8e-174	573.6	286
6272	Mise	nifH	vnfH	WP_127477635.1	3.9e-174	573.6	287
6273	Mise	nifH	vnfH	WP_090899895.1	4.1e-174	573.5	286
1244	Buckley	nifH	vnfH	3951840390NZ_AAAU03000003_1	4.1e-174	576.3	287
5253	Mise	nifH	nifH	WP_035885754.1	4.4e-174	573.2	289
5254	Mise	nifH	nifH	WP_200535621.1	4.4e-174	573.2	289
5255	Mise	nifH	nifH	WP_144570098.1	4.7e-174	573.1	289
5256	Mise	nifH	nifH	WP_188748037.1	4.9e-174	573.1	289
5257	Mise	nifH	nifH	WP_013319646.1	5e-174	573.0	289
6274	Mise	nifH	vnfH	WP_183166805.1	5.2e-174	573.2	287
5258	Mise	nifH	nifH	WP_027854782.1	5.2e-174	573.0	289
6275	Mise	nifH	vnfH	WP_131183834.1	5.7e-174	573.0	287
5259	Mise	nifH	nifH	WP_003294714.1	6e-174	572.8	289
5260	Mise	nifH	nifH	WP_110202393.1	6.1e-174	572.7	289
6276	Mise	nifH	vnfH	WP_153117593.1	6.4e-174	572.9	287
6277	Mise	nifH	vnfH	WP_090068485.1	6.5e-174	572.9	286
5261	Mise	nifH	nifH	WP_090444295.1	6.9e-174	572.6	289
6278	Mise	nifH	vnfH	WP_104002709.1	7.1e-174	572.7	287
3970	FunGene	nifH	nifH	gi|289474534|gb|ADC97878.1|	7.1e-174	567.6	288
6279	Mise	nifH	vnfH	WP_044616592.1	7.3e-174	572.7	287
12313	Zehr	nifH	nifH	AAA22142.1|Azotobacter_vinelandii_1	8e-174	575.1	289
6280	Mise	nifH	vnfH	WP_090349186.1	8.1e-174	572.5	287
5262	Mise	nifH	nifH	WP_026687661.1	8.1e-174	572.3	288
5263	Mise	nifH	nifH	WP_138149724.1	8.8e-174	572.2	288
6281	Mise	nifH	vnfH	WP_024872641.1	8.9e-174	572.4	287
6282	Mise	nifH	vnfH	WP_036190066.1	9.5e-174	572.3	287
5264	Mise	nifH	nifH	WP_079432933.1	9.6e-174	572.1	289
5265	Mise	nifH	nifH	WP_045682609.1	9.8e-174	572.1	289
6283	Mise	nifH	vnfH	WP_102041594.1	1.1e-173	572.2	287
6284	Mise	nifH	vnfH	WP_207894684.1	1.1e-173	572.1	287
5266	Mise	nifH	nifH	WP_084879064.1	1.1e-173	571.9	289
6286	Mise	nifH	vnfH	WP_027854782.1	1.2e-173	571.9	287
12314	Zehr	nifH	nifH	ACI11459.1|Klebsiella_pneumoniae_1	1.2e-173	574.5	289
6285	Mise	nifH	vnfH	WP_125017136.1	1.2e-173	572.0	287
5267	Mise	nifH	nifH	WP_024872641.1	1.3e-173	571.7	289
5268	Mise	nifH	nifH	WP_202054002.1	1.3e-173	571.6	289
5269	Mise	nifH	nifH	WP_183166805.1	1.4e-173	571.6	289
6289	Mise	nifH	vnfH	WP_035885754.1	1.4e-173	571.7	287
6287	Mise	nifH	vnfH	WP_102654332.1	1.4e-173	571.8	287
6288	Mise	nifH	vnfH	WP_110523397.1	1.4e-173	571.8	287
5270	Mise	nifH	nifH	WP_160965928.1	1.5e-173	571.5	289
6290	Mise	nifH	vnfH	WP_045682609.1	1.5e-173	571.7	287
6291	Mise	nifH	vnfH	WP_153163571.1	1.5e-173	571.6	287
5271	Mise	nifH	nifH	WP_207894684.1	1.6e-173	571.4	289
5272	Mise	nifH	nifH	WP_110523397.1	1.7e-173	571.3	288
6292	Mise	nifH	vnfH	WP_172148988.1	1.7e-173	571.5	287
6293	Mise	nifH	vnfH	WP_188748037.1	1.8e-173	571.4	287
5273	Mise	nifH	nifH	WP_203388507.1	1.8e-173	571.2	288
13307	Zehr	nifH	vnfH	AAA22142.1|Azotobacter_vinelandii_1	1.9e-173	574.0	287
6294	Mise	nifH	vnfH	WP_072326547.1	1.9e-173	571.3	287
6295	Mise	nifH	vnfH	WP_003294714.1	2.1e-173	571.2	287
5274	Mise	nifH	nifH	WP_200345179.1	2.1e-173	571.0	289
6296	Mise	nifH	vnfH	WP_160965928.1	2.1e-173	571.2	287
622	Buckley	nifH	nifH	CP0009641_1	2.1e-173	573.7	287
6297	Mise	nifH	vnfH	WP_212786955.1	2.2e-173	571.1	286
3971	FunGene	nifH	nifH	gi|221639975|ref|YP_002526237.1|	2.2e-173	565.9	289
11051	Mise	nifH	vnfH	WP_004203553.1	2.3e-173	567.6	287
5275	Mise	nifH	nifH	WP_014430473.1	2.4e-173	570.8	289
5276	Mise	nifH	nifH	WP_209872947.1	2.4e-173	570.8	290
6298	Mise	nifH	vnfH	WP_212594383.1	2.4e-173	571.0	287
3972	FunGene	nifH	nifH	gi|254785645|ref|YP_003073074.1|	2.5e-173	565.8	289
6299	Mise	nifH	vnfH	WP_207355363.1	2.6e-173	570.9	287
12315	Zehr	nifH	nifH	ACS84302.1|Dickeya_dadantii_1	2.7e-173	573.3	289
9928	Mise	nifH	vnfH	WP_190982866.1	2.8e-173	569.1	288
9608	Mise	nifH	nifH	WP_014239786.1	2.9e-173	568.9	290
6300	Mise	nifH	vnfH	WP_018294621.1	3e-173	570.7	287
5277	Mise	nifH	nifH	WP_195313598.1	3.3e-173	570.4	289
6301	Mise	nifH	vnfH	WP_107492233.1	3.3e-173	570.6	287
5278	Mise	nifH	nifH	WP_212786955.1	3.4e-173	570.3	288
6302	Mise	nifH	vnfH	WP_091932041.1	3.4e-173	570.5	287
11351	Zehr	nifH	anfH	ADY57123.1|Syntrophobotulus_glycolicus_1	3.4e-173	572.9	274
6303	Mise	nifH	vnfH	WP_054761838.1	3.5e-173	570.5	287
6304	Mise	nifH	vnfH	WP_090444295.1	3.6e-173	570.4	286
5279	Mise	nifH	nifH	WP_077300426.1	3.6e-173	570.2	288
6305	Mise	nifH	vnfH	WP_153472808.1	3.7e-173	570.4	287
5280	Mise	nifH	nifH	WP_036108787.1	3.8e-173	570.1	289
6306	Mise	nifH	vnfH	WP_011287173.1	3.9e-173	570.3	287
12316	Zehr	nifH	nifH	AAA22140.1|Azotobacter_chroococcum_1	4e-173	572.8	290
12317	Zehr	nifH	nifH	EKN58682.1|Pseudomonas_stutzeri_1	4.1e-173	572.8	289
6307	Mise	nifH	vnfH	WP_153150728.1	4.3e-173	570.2	287
623	Buckley	nifH	nifH	CP001654_1	5e-173	572.5	288
6308	Mise	nifH	vnfH	WP_012728878.1	5.2e-173	569.9	287
6309	Mise	nifH	vnfH	WP_193494679.1	5.4e-173	569.9	286
