ZehrID	ZehrSeq	NFixDBID	NFixDBSeq	PercIdentity	AlnLength	Mismatches	GapOpens	QueryStart	QueryEnd	SeqStart	SeqEnd	EValue	Score
AAK91173.1|uncultured_bacterium_1	nifH	PMBV01000232.1_5	vnfH	52	226	21	2	1	138	1	226	5.85e-62	509
AAK91175.1|uncultured_bacterium_1	nifH	PMBV01000232.1_5	vnfH	54	226	16	2	1	138	1	226	6.36e-66	538
AAK91178.1|uncultured_bacterium_1	nifH	PMBV01000232.1_5	vnfH	53	226	18	2	1	138	1	226	1.84e-63	520
AAK91180.1|uncultured_bacterium_1	nifH	PMBV01000232.1_5	vnfH	54	226	16	2	1	138	1	226	1.48e-64	528
AAK91182.1|uncultured_bacterium_1	nifH	PMBV01000232.1_5	vnfH	55	226	14	2	1	138	1	226	2.47e-66	541
AAK91187.1|uncultured_bacterium_1	nifH	PMBV01000232.1_5	vnfH	53	226	18	2	1	138	1	226	6.47e-63	516
AAK91191.1|uncultured_bacterium_1	nifH	PMBV01000232.1_5	vnfH	54	226	16	2	1	138	1	226	2.24e-65	534
AAK91196.1|uncultured_bacterium_1	nifH	PMBV01000232.1_5	vnfH	53	226	18	2	1	138	1	226	3.45e-63	518
AAK91198.1|uncultured_bacterium_1	nifH	PMBV01000232.1_5	vnfH	50	226	26	2	1	138	1	226	9.92e-61	500
AAK91204.1|uncultured_bacterium_1	nifH	PMBV01000232.1_5	vnfH	51	226	22	2	1	138	1	226	1.86e-60	498
AAK91205.1|uncultured_bacterium_1	nifH	PMBV01000232.1_5	vnfH	54	226	16	2	1	138	1	226	1.84e-63	520
AAK91207.1|uncultured_bacterium_1	nifH	PMBV01000232.1_5	vnfH	54	226	16	2	1	138	1	226	1.19e-65	536
AAK91210.1|uncultured_bacterium_1	nifH	PMBV01000232.1_5	vnfH	54	226	16	2	1	138	1	226	1.48e-64	528
AAK91216.1|uncultured_bacterium_1	nifH	PMBV01000232.1_5	vnfH	52	226	21	2	1	138	1	226	6.47e-63	516
AAK91222.1|uncultured_bacterium_1	nifH	PMBV01000232.1_5	vnfH	54	226	16	2	1	138	1	226	1.64e-65	535
AAK91224.1|uncultured_bacterium_1	nifH	PMBV01000232.1_5	vnfH	56	226	11	2	1	138	1	226	7.74e-68	552
AAK91233.1|uncultured_bacterium_1	nifH	PMBV01000232.1_5	vnfH	56	226	12	2	1	138	1	226	5.12e-67	546
AAK91244.1|uncultured_bacterium_1	nifH	PMBV01000232.1_5	vnfH	54	226	16	2	1	138	1	226	2.52e-63	519
AAK91254.1|uncultured_bacterium_1	nifH	PMBV01000232.1_5	vnfH	56	226	12	2	1	138	1	226	5.12e-67	546
AAK91255.1|uncultured_bacterium_1	nifH	PMBV01000232.1_5	vnfH	55	226	13	2	1	138	1	226	1.32e-66	543
AAK91258.1|uncultured_bacterium_1	nifH	PMBV01000232.1_5	vnfH	54	226	16	2	1	138	1	226	2.78e-64	526
AAK91261.1|uncultured_bacterium_1	nifH	PMBV01000232.1_5	vnfH	55	226	14	2	1	138	1	226	1.48e-64	528
AAK91278.1|uncultured_bacterium_1	nifH	PMBV01000232.1_5	vnfH	54	226	16	2	1	138	1	226	3.39e-66	540
AAK91280.1|uncultured_bacterium_1	nifH	PMBV01000232.1_5	vnfH	54	226	17	2	1	138	1	226	9.79e-64	522
AAK91286.1|uncultured_bacterium_1	nifH	PMBV01000232.1_5	vnfH	53	226	18	2	1	138	1	226	1.21e-62	514
AAL27275.1|Xanthobacter_autotrophicus_1	nifH	PMBV01000232.1_5	vnfH	50	226	21	2	1	134	1	226	1.11e-56	470
AAM02629.1|Methanopyrus_kandleri_1	nifH	NC_003551.1_1529	nflH	100	266	1	0	1	266	1	266	3.43e-175	1354
AAM04624.1|Methanosarcina_acetivorans_1	nifH	NC_003552.1_1240	anfH	83	275	0	1	1	228	1	275	4.75e-144	1121
AAM05043.1|Methanosarcina_acetivorans_1	nifH	PMIN01000214.1_8	nflH	77	284	65	1	1	283	1	284	1.78e-142	1119
AAM05435.1|Methanosarcina_acetivorans_1	nifH	NZ_CP009528.1_2385	nflH	75	772	148	3	1	755	1	745	0.0	2901
AAM06982.1|Methanosarcina_acetivorans_1	nifH	NZ_CP009512.1_828	nflH	83	265	11	1	1	230	1	265	1.26e-138	1085
AAM07246.1|Methanosarcina_acetivorans_1	nifH	JAJXWH010000032.1_49	vnfH	61	274	60	3	1	228	1	273	1.06e-104	832
AAM30210.1|Methanosarcina_mazei_1	nifH	NZ_CP009512.1_828	nflH	86	265	1	1	1	230	1	265	8.19e-145	1130
AAM30415.1|Methanosarcina_mazei_1	nifH	JAJXWH010000032.1_49	vnfH	61	274	61	3	1	228	1	273	5.64e-105	834
AAQ12257.1|Leptospirillum_ferrooxidans_1	nifH	PLZT01000187.1_7	vnfH	76	297	44	2	1	270	1	297	3.94e-146	1139
AAQ17231.2|Mesorhizobium_ciceri_1	nifH	CAINOE010000073.1_13	vnfH	82	304	32	2	1	287	1	299	3.29e-160	1243
AAR36215.1|Geobacter_sulfurreducens_1	nifH	PMCK01000495.1_5	vnfH	83	293	47	1	1	289	1	293	4.91e-162	1256
AAS86752.1|uncultured_bacterium_1	nifH	PMBV01000232.1_5	vnfH	51	226	37	2	1	152	1	226	3.27e-65	534
AAT48472.1|uncultured_bacterium_1	nifH	PMBV01000232.1_5	vnfH	50	226	38	2	1	152	1	226	2.68e-63	520
AAT48478.1|uncultured_bacterium_1	nifH	PMBV01000232.1_5	vnfH	54	226	31	2	1	152	1	226	6.03e-68	554
AAT48481.1|uncultured_bacterium_1	nifH	PMBV01000232.1_5	vnfH	51	226	37	2	1	152	1	226	8.41e-65	531
AAT48897.1|uncultured_bacterium_1	nifH	PMBV01000232.1_5	vnfH	58	226	23	2	1	153	1	226	2.08e-73	594
AAT48900.1|uncultured_bacterium_1	nifH	DBMP01000029.1_90	vnfH	51	274	14	2	1	153	1	274	1.65e-70	576
AAT48910.1|uncultured_bacterium_1	nifH	PMBV01000232.1_5	vnfH	58	226	20	2	1	152	1	226	1.48e-73	595
AAT48915.1|uncultured_bacterium_1	nifH	PMBV01000232.1_5	vnfH	60	226	17	2	1	152	1	226	6.32e-75	605
AAT77209.1|uncultured_bacterium_1	nifH	PMBV01000232.1_5	vnfH	54	230	18	4	1	146	1	226	2.55e-61	505
AAT77210.1|uncultured_bacterium_1	nifH	PMBV01000232.1_5	vnfH	54	230	23	4	1	152	1	226	1.17e-61	508
AAT77211.1|uncultured_bacterium_1	nifH	PMBV01000232.1_5	vnfH	53	226	32	2	1	152	1	226	1.03e-66	545
AAU05753.1|uncultured_nitrogen-fixing_1	nifH	PMBV01000232.1_5	vnfH	55	226	24	2	1	148	1	226	7.41e-68	553
AAU05757.1|uncultured_nitrogen-fixing_1	nifH	PMBV01000232.1_5	vnfH	58	226	18	2	1	148	1	226	7.98e-72	582
AAU90633.1|Methylococcus_capsulatus_1	nifH	PQAN01000100.1_14	vnfH	91	294	23	2	1	293	1	292	1.52e-177	1369
AAW39625.1|Dehalococcoides_ethenogenes_1	nifH	NZ_JAFFQA010000017.1_82	vnfH	80	275	55	1	1	274	1	275	7.58e-151	1172
AAW57049.1|cyanobacterium_endosymbiont_1	nifH	AP018180.1_6736	vnfH	78	297	59	2	1	290	1	297	2.28e-148	1157
AAX07130.1|Paenibacillus_massiliensis_1	nifH	NZ_CP009288.1_4446	vnfH	84	294	40	2	1	288	1	294	2.06e-163	1266
AAX39400.1|Bradyrhizobium_yuanmingense_1	nifH	NZ_AJTV01000023.1_11	vnfH	76	291	29	2	1	251	1	291	1.66e-140	1096
AAX39403.1|Sinorhizobium_sp._1	nifH	CAINOE010000073.1_13	vnfH	74	299	30	2	1	252	1	299	1.37e-139	1090
AAY59345.1|uncultured_bacterium_1	nifH	PMBV01000232.1_5	vnfH	50	226	14	2	1	127	1	226	1.02e-57	477
AAY59360.1|uncultured_bacterium_1	nifH	PMBV01000232.1_5	vnfH	51	226	12	2	1	127	1	226	2.34e-59	489
AAY59367.1|uncultured_bacterium_1	nifH	PMBV01000232.1_5	vnfH	50	226	15	2	1	127	1	226	6.71e-57	471
AAY78883.1|Lyngbya_majuscula_1	nifH	NZ_AJLK01000041.1_8	vnfH	74	304	65	2	1	300	1	295	8.49e-146	1139
AAZ46164.1|Dechloromonas_aromatica_1	nifH	NZ_SSOD01000019.1_89	vnfH	91	296	26	1	1	296	1	295	1.29e-177	1370
AAZ69331.1|Methanosarcina_barkeri_1	nifH	NZ_LMVP01000335.1_33	nflH	97	265	9	0	1	265	1	265	6.42e-168	1301
AAZ71607.1|Methanosarcina_barkeri_1	nifH	NZ_CP009526.1_2174	nflH	97	746	0	1	1	746	1	721	0.0	3653
ABA23651.1|Anabaena_variabilis_1	nifH	DNPP01000068.1_28	vnfH	68	275	88	1	1	275	1	274	1.7e-123	973
ABA23658.1|Anabaena_variabilis_1	nifH	NZ_PJIZ01000014.1_19	vnfH	97	324	9	0	1	324	1	324	1.7e-208	1599
ABA89338.1|Pelobacter_carbinolicus_1	nifH	PMCK01000495.1_5	vnfH	82	297	45	2	1	292	1	293	6.16e-160	1241
ABB28505.1|Chlorobium_chlorochromatii_1	nifH	DNPP01000068.1_28	vnfH	82	274	49	0	1	274	1	274	1.43e-154	1199
ABB30904.1|Geobacter_metallireducens_1	nifH	PMCK01000495.1_5	vnfH	82	293	49	1	1	289	1	293	1.07e-159	1239
ABC21599.1|Rhodospirillum_rubrum_1	nifH	JAEZKS010000250.1_8	nflH	60	317	100	4	1	291	1	316	6.61e-121	965
ABC22196.1|Rhodospirillum_rubrum_1	nifH	NC_007643.1_1429	anfH	100	275	0	0	1	275	1	275	9.94e-186	1428
ABC57502.1|Methanosphaera_stadtmanae_1	nifH	NC_007681.1_1091	nflH	100	262	0	0	1	262	1	262	1.48e-175	1356
ABC99975.1|Synechococcus_sp._1	nifH	NZ_JACJRQ010000032.1_53	vnfH	84	298	42	3	1	292	1	297	5.07e-164	1271
ABD13834.1|Frankia_sp._1	nifH	NC_021149.1_128	vnfH	78	290	60	2	1	287	1	290	3.99e-150	1169
ABD40545.1|Methanospirillum_hungatei_1	nifH	JAAYPD010000311.1_14	nflH	89	280	32	0	1	280	1	280	1.05e-160	1251
ABD74249.1|uncultured_nitrogen-fixing_1	nifH	PMBV01000232.1_5	vnfH	54	226	15	2	1	138	1	226	3.81e-64	525
ABD74306.1|uncultured_nitrogen-fixing_1	nifH	PMBV01000232.1_5	vnfH	53	226	16	2	1	136	1	226	1.58e-62	513
ABD74402.1|uncultured_nitrogen-fixing_1	nifH	PMBV01000232.1_5	vnfH	54	226	17	2	1	138	1	226	1.08e-64	529
ABD89986.1|Rhodopseudomonas_palustris_1	nifH	JACRJB010000068.1_113	vnfH	95	300	12	2	1	300	1	296	6.33e-183	1409
ABE34499.1|Burkholderia_xenovorans_1	nifH	PLZT01000187.1_7	vnfH	89	297	28	1	1	293	1	297	5.59e-176	1358
ABE51973.1|Methanococcoides_burtonii_1	nifH	NC_007955.1_1121	nflH	100	264	0	0	1	264	1	264	3.59e-173	1339
ABG53144.1|Trichodesmium_erythraeum_1	nifH	NZ_AJLK01000041.1_8	vnfH	80	300	51	4	1	296	1	295	4.69e-155	1206
ABI67746.1|Syntrophomonas_wolfei_1	nifH	CADAHS010000012.1_6	nflH	58	254	106	1	1	254	1	253	2.32e-98	793
ABJ07125.1|Rhodopseudomonas_palustris_1	nifH	DUGT01000062.1_16	nflH	55	306	120	3	1	291	1	304	8.38e-106	854
ABJ07810.1|Rhodopseudomonas_palustris_1	nifH	JACRJB010000068.1_88	anfH	99	275	2	0	1	275	1	275	1.26e-184	1420
ABK14960.1|Methanosaeta_thermophila_1	nifH	NC_008553.1_1229	nflH	97	271	0	1	1	264	1	271	5.82e-173	1338
ABK16713.1|Syntrophobacter_fumaroxidans_1	nifH	DBMP01000029.1_90	vnfH	83	274	46	0	1	274	1	274	2.86e-151	1175
ABK43713.1|Magnetococcus_sp._1	nifH	NZ_SJZB01000053.1_50	vnfH	86	296	37	1	1	296	1	293	2.41e-170	1317
ABL01060.1|Pelobacter_propionicus_1	nifH	QKFD01000024.1_189	vnfH	72	259	46	3	1	232	1	259	8.99e-116	912
ABL64797.1|Chlorobium_phaeobacteroides_1	nifH	DNPP01000068.1_28	vnfH	83	274	47	0	1	274	1	274	2.7e-154	1197
ABM30101.1|Desulfovibrio_vulgaris_1	nifH	NZ_JAFFQA010000017.1_82	vnfH	84	277	41	2	1	277	1	275	4.49e-155	1203
ABM37652.1|Polaromonas_naphthalenivorans_1	nifH	NZ_FYDG01000006.1_10	vnfH	87	296	34	1	1	296	1	291	8.35e-174	1342
ABM47382.1|Rhizobium_leguminosarum_1	nifH	CAJATU010000063.1_25	vnfH	87	298	39	1	1	297	1	298	7.69e-167	1292
ABM61068.1|Halorhodospira_halophila_1	nifH	NZ_SJZB01000053.1_50	vnfH	84	293	45	1	1	291	1	293	4.12e-163	1264
ABM90979.1|Bradyrhizobium_sp._1	nifH	PLZT01000187.1_7	vnfH	76	297	40	5	1	266	1	297	1.76e-138	1083
ABN06341.1|Methanocorpusculum_labreanum_1	nifH	NC_008942.1_168	nflH	100	268	0	0	1	268	1	268	8.62e-181	1395
ABN07210.1|Methanocorpusculum_labreanum_1	nifH	DAYM01000013.1_170	nflH	58	271	89	2	1	248	1	270	3.29e-96	778
ABN52799.1|Clostridium_thermocellum_1	nifH	JAEWDM010000040.1_232	vnfH	81	285	52	2	1	284	1	284	7.14e-152	1181
ABN57863.1|Methanoculleus_marisnigri_1	nifH	NC_009051.1_1916	nflH	100	272	0	0	1	272	1	272	8.98e-179	1381
ABO34969.1|Methanococcus_maripaludis_1	nifH	PLXT01000077.1_54	anfH	64	275	40	1	1	217	1	275	1.7e-114	905
ABO35825.1|Methanococcus_maripaludis_1	nifH	NC_009135.1_1571	nflH	100	313	0	0	1	313	1	313	1.39e-207	1597
ABO51325.1|Desulfotomaculum_reducens_1	nifH	NZ_UPPP01000074.1_60	vnfH	84	275	41	1	1	272	1	275	4.15e-152	1181
ABO58940.1|Burkholderia_vietnamiensis_1	nifH	NZ_CP046052.1_70	vnfH	90	294	26	2	1	293	1	292	3.31e-175	1352
ABO64210.1|Burkholderia_tropica_1	nifH	NZ_AJTV01000023.1_11	vnfH	87	291	30	1	1	284	1	291	1.18e-166	1289
ABO64213.1|Burkholderia_unamae_1	nifH	NZ_AJTV01000023.1_11	vnfH	79	299	54	2	1	299	1	291	5.66e-150	1169
ABO64216.1|Burkholderia_caryophylli_1	nifH	NZ_AJTV01000023.1_11	vnfH	87	291	29	1	1	283	1	291	3.23e-167	1293
ABO64217.1|Burkholderia_silvatlantica_1	nifH	NZ_CP046052.1_70	vnfH	86	292	28	2	1	280	1	292	5.27e-166	1284
ABO93287.1|Mesorhizobium_sp._1	nifH	CAINOE010000073.1_13	vnfH	70	299	25	2	1	234	1	299	1.79e-126	993
ABP37355.1|DSM_265)_1	nifH	DNPP01000068.1_28	vnfH	82	274	48	0	1	274	1	274	1.97e-154	1198
ABP49170.1|Bradyrhizobium_liaoningense_1	nifH	PLZT01000187.1_7	vnfH	59	297	18	3	1	192	1	297	1.74e-97	778
ABP68043.1|Caldicellulosiruptor_saccharolyticus_1	nifH	NZ_LMVP01000090.1_19	anfH	60	275	53	1	1	217	1	275	2.44e-104	831
ABP69680.1|Rhodobacter_sphaeroides_1	nifH	NZ_JTEO01000006.1_247	nflH	57	300	117	4	1	290	1	297	1.09e-103	838
ABP70147.1|Rhodobacter_sphaeroides_1	nifH	NZ_BJZO01000086.1_9	vnfH	84	312	28	1	1	312	1	291	5.33e-171	1323
ABQ01493.1|uncultured_soil_1	nifH	PQAN01000100.1_14	vnfH	54	292	8	2	1	165	1	292	7.96e-82	661
ABQ01512.1|uncultured_soil_1	nifH	PQAN01000100.1_14	vnfH	51	292	9	3	1	157	1	292	5.48e-74	603
ABQ01529.1|uncultured_soil_1	nifH	PMBV01000232.1_5	vnfH	54	226	27	3	1	148	1	226	1.42e-64	529
ABQ01540.1|uncultured_soil_1	nifH	NZ_AJTV01000023.1_11	vnfH	52	291	10	2	1	162	1	291	1.01e-78	638
ABQ25379.1|Geobacter_uraniireducens_1	nifH	PMCK01000495.1_5	vnfH	82	293	49	1	1	289	1	293	4.14e-160	1242
ABQ87912.1|Methanobrevibacter_smithii_1	nifH	NC_009515.1_1693	nflH	100	265	0	0	1	265	1	265	1.88e-176	1363
ABQ89608.1|Roseiflexus_sp._1	nifH	PQXF01000004.1_158	nflH	71	273	80	0	1	273	1	273	9.51e-131	1032
ABR01119.1|uncultured_Geobacter_1	nifH	PMCK01000495.1_5	vnfH	56	293	32	2	1	196	1	293	7.15e-95	759
ABR01120.1|uncultured_Geobacter_1	nifH	QKFD01000024.1_189	vnfH	50	259	26	2	1	155	1	259	8.56e-67	548
ABR01121.1|uncultured_Geobacter_1	nifH	QKFD01000024.1_189	vnfH	59	262	24	2	1	182	1	259	5.82e-88	705
ABR32810.1|Clostridium_beijerinckii_1	nifH	JAEWDM010000040.1_232	vnfH	83	284	48	0	1	284	1	284	3.89e-156	1212
ABR34169.1|Clostridium_beijerinckii_1	nifH	JAJXWH010000032.1_49	vnfH	98	273	6	0	1	273	1	273	4.02e-178	1370
ABR49651.1|Alkaliphilus_metalliredigens_1	nifH	NZ_MZGX01000024.1_42	vnfH	84	273	44	1	1	272	1	273	3.14e-153	1189
ABR53979.1|Methanococcus_vannielii_1	nifH	PLXT01000077.1_54	anfH	64	275	41	1	1	217	1	275	2.92e-113	896
ABR55051.1|Methanococcus_vannielii_1	nifH	NC_009634.1_1184	nflH	100	292	1	0	1	292	1	292	1.05e-194	1500
ABR56092.1|Methanococcus_aeolicus_1	nifH	NC_009635.1_513	nflH	81	290	0	1	1	234	1	290	4.65e-145	1134
ABR56800.1|Methanococcus_aeolicus_1	nifH	WAKW01000002.1_72	nflH	89	280	28	1	1	278	1	280	2.7e-168	1306
ABR57010.1|Methanococcus_aeolicus_1	nifH	JAGSYV010000023.1_39	anfH	70	223	62	1	1	217	1	223	7.9e-102	809
ABR65168.1|Methanococcus_maripaludis_1	nifH	PMGM01000034.1_5	anfH	65	275	39	1	1	217	1	275	8.25e-114	900
ABR66213.1|Methanococcus_maripaludis_1	nifH	NZ_JACDUL010000003.1_318	nflH	88	331	0	1	1	292	1	331	1.01e-186	1445
ABS27227.1|Anaeromyxobacter_sp._1	nifH	PMCK01000495.1_5	vnfH	85	293	39	1	1	288	1	293	6.17e-165	1277
ABS55660.1|Candidatus_Methanoregula_1	nifH	NZ_UPPP01000074.1_60	vnfH	89	276	28	1	1	276	1	275	9.41e-164	1266
ABS56522.1|Candidatus_Methanoregula_1	nifH	JAEZKS010000250.1_8	nflH	78	324	64	2	1	324	1	316	1.6e-163	1278
ABS56597.1|Candidatus_Methanoregula_1	nifH	NC_009712.1_2141	nflH	100	270	0	0	1	270	1	270	1.4e-177	1372
ABS65347.1|Xanthobacter_autotrophicus_1	nifH	PLZT01000187.1_7	vnfH	89	307	21	2	1	303	1	297	2.25e-177	1369
ABS76192.1|Mastigocladus_laminosus_1	nifH	NZ_AJLK01000041.1_8	vnfH	81	295	29	1	1	267	1	295	1.89e-150	1170
ABV44660.1|Bradyrhizobium_sp._1	nifH	PQAN01000100.1_14	vnfH	70	292	31	2	1	236	1	292	2.09e-129	1014
ABV44662.1|Bradyrhizobium_sp._1	nifH	PLZT01000187.1_7	vnfH	58	297	31	2	1	202	1	297	1.01e-95	766
ABV79890.1|Anabaena_siamensis_1	nifH	NZ_AJLK01000041.1_8	vnfH	96	296	11	2	1	295	1	295	1.79e-185	1427
ABW16215.1|Frankia_sp._1	nifH	JAHHHC010000005.1_41	vnfH	76	296	63	2	1	289	1	296	9.14e-150	1167
ABW17872.1|Alkaliphilus_oremlandii_1	nifH	LGFT01000025.1_50	nflH	59	259	94	1	1	248	1	259	1.65e-98	794
ABW84231.1|Bacillus_alkalidiazotrophicus_1	nifH	PMBV01000232.1_5	vnfH	50	227	34	3	1	149	1	226	2.5e-60	498
ABW90474.1|uncultured_nitrogen-fixing_1	nifH	PMBV01000232.1_5	vnfH	58	226	16	2	1	148	1	226	1.33e-73	595
ABW90475.1|uncultured_nitrogen-fixing_1	nifH	PMBV01000232.1_5	vnfH	58	226	16	2	1	148	1	226	9.67e-74	596
ABW90477.1|uncultured_nitrogen-fixing_1	nifH	PMBV01000232.1_5	vnfH	58	226	17	2	1	148	1	226	1.2e-72	588
ABW90480.1|uncultured_nitrogen-fixing_1	nifH	PMBV01000232.1_5	vnfH	59	226	15	2	1	148	1	226	2.74e-74	600
ABW90481.1|uncultured_nitrogen-fixing_1	nifH	PMBV01000232.1_5	vnfH	55	226	24	2	1	148	1	226	9.01e-70	567
ABW90482.1|uncultured_nitrogen-fixing_1	nifH	PMBV01000232.1_5	vnfH	56	226	21	2	1	148	1	226	9.93e-71	574
ABW90484.1|uncultured_nitrogen-fixing_1	nifH	PMBV01000232.1_5	vnfH	56	226	21	2	1	148	1	226	2.56e-70	571
ABW90485.1|uncultured_nitrogen-fixing_1	nifH	PMBV01000232.1_5	vnfH	57	226	20	2	1	148	1	226	3.86e-71	577
ABW90488.1|uncultured_nitrogen-fixing_1	nifH	PMBV01000232.1_5	vnfH	57	226	19	2	1	148	1	226	1.09e-71	581
ABW96183.1|Bradyrhizobium_elkanii_1	nifH	NZ_AJTV01000023.1_11	vnfH	78	291	22	11	1	250	1	291	1.9e-131	1030
ABW96184.1|Bradyrhizobium_japonicum_1	nifH	NZ_AJTV01000023.1_11	vnfH	77	291	25	12	1	249	1	291	2.44e-127	1000
ABW96185.1|Mesorhizobium_huakuii_1	nifH	CAINOE010000073.1_13	vnfH	77	299	23	8	1	254	1	299	2.1e-136	1067
ABW96188.1|Bradyrhizobium_elkanii_1	nifH	PLZT01000187.1_7	vnfH	73	297	26	4	1	242	1	297	4.54e-131	1027
ABW96189.1|Rhizobium_leguminosarum_1	nifH	CAJATU010000063.1_25	vnfH	74	298	30	10	1	252	1	298	2.27e-127	1001
ABW96192.1|Rhizobium_gallicum_1	nifH	NZ_CP022253.1_2290	vnfH	76	293	28	11	1	251	1	293	6.98e-127	997
ABX01620.1|Methanococcus_maripaludis_1	nifH	NZ_CP026606.1_930	nflH	90	313	10	1	1	292	1	313	9.58e-184	1422
ABX55787.1|Mesorhizobium_caraganae_1	nifH	NZ_CP022253.1_2290	vnfH	68	293	29	2	1	227	1	293	2.92e-121	954
