	GenomeID	NCBI_TaxID	GTDB_Tax	NCBI_Tax	nifH	nifD	nifK	vnfD	vnfH	vnfK	anfD	anfH	anfK	nflD	nflH	ChlN	ChIl	ChlB
14	GB_GCA_005843835.1	243904	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium sp005843835	d__Bacteria;x__FCB group;x__Bacteroidetes/Chlorobi group;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;x__environmental samples;s__uncultured Chlorobiaceae bacterium	SZXZ01000011.1_71	SZXZ01000084.1_4	SZXZ01000084.1_5									SZXZ01000009.1_15	SZXZ01000009.1_17	SZXZ01000009.1_16
15	GB_GCA_004557805.1	1898207	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__Aphodomonas;s__Aphodomonas sp004557805	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Clostridia;o__Eubacteriales;x__unclassified Eubacteriales;s__Clostridiales bacterium	SFFS01000131.1_3	SFFS01000001.1_40	SFFS01000067.1_4											
16	RS_GCF_017875625.1	2188	d__Archaea;p__Methanobacteriota_A;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus voltae_B	d__Archaea;p__Euryarchaeota;x__Methanomada group;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus voltae	NZ_JAGGMU010000002.1_121	NZ_JAGGMU010000001.1_35	NZ_JAGGMU010000001.1_36							NZ_JAGGMU010000003.1_193	NZ_JAGGMU010000001.1_52			
17	GB_GCA_017479085.1	1898203	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-590;s__CAG-590 sp017479085	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;x__unclassified Lachnospiraceae;s__Lachnospiraceae bacterium	JAFVCQ010000119.1_6	JAFVCQ010000235.1_9	JAFVCQ010000235.1_8											
18	GB_GCA_903942355.1	243904	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium sp903942355	d__Bacteria;x__FCB group;x__Bacteroidetes/Chlorobi group;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;x__environmental samples;s__uncultured Chlorobiaceae bacterium	CAJAOR010000055.1_1	CAJAOR010000051.1_1	CAJAOR010000051.1_2									CAJAOR010000041.1_5	CAJAOR010000122.1_20	CAJAOR010000182.1_2
19	GB_GCA_002419025.1	1948555	d__Bacteria;p__Desulfobacterota;c__Dissulfuribacteria;o__Dissulfuribacterales;f__UBA5754;g__UBA5754;s__UBA5754 sp002419025	d__Bacteria;p__Proteobacteria;x__delta/epsilon subdivisions;c__Deltaproteobacteria;x__unclassified Deltaproteobacteria;s__Deltaproteobacteria bacterium UBA5754	DIFG01000037.1_14	DIFG01000025.1_6	DIFG01000025.1_7											
20	GB_GCA_011051075.1	2026735	d__Bacteria;p__Desulfobacterota;c__DSM-4660;o__Desulfatiglandales;f__Desulfatiglandaceae;g__Desulfacyla;s__Desulfacyla sp011051075	d__Bacteria;p__Proteobacteria;x__delta/epsilon subdivisions;c__Deltaproteobacteria;x__unclassified Deltaproteobacteria;s__Deltaproteobacteria bacterium	DREN01000037.1_6	DREN01000079.1_2	DREN01000079.1_3											
21	GB_GCA_002297935.1	1946420	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister sp002297935	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Dialister;x__unclassified Dialister;s__Dialister sp. UBA734	DBLC01000017.1_13	DBLC01000050.1_10	DBLC01000050.1_11											
22	RS_GCF_000006175.1	456320	d__Archaea;p__Methanobacteriota_A;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus voltae_A	d__Archaea;p__Euryarchaeota;x__Methanomada group;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus voltae;x__Methanococcus voltae A3	NC_014222.1_140	NC_014222.1_679	NC_014222.1_680							NC_014222.1_1635	NC_014222.1_699			
23	GB_GCA_016235255.1	2026769	d__Bacteria;p__Nitrospinota;c__UBA7883;o__UBA7883;f__JACRLM01;g__JACRLM01;s__JACRLM01 sp016235255	d__Bacteria;x__Nitrospinae/Tectomicrobia group;p__Nitrospinae;x__unclassified Nitrospinae;s__Nitrospinae bacterium	JACRLM010000015.1_10	JACRLM010000031.1_16	JACRLM010000031.1_17											
24	GB_GCA_903865705.1	243904	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium sp903865705	d__Bacteria;x__FCB group;x__Bacteroidetes/Chlorobi group;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;x__environmental samples;s__uncultured Chlorobiaceae bacterium	CAIPKT010000158.1_4	CAIPKT010000043.1_13	CAIPKT010000119.1_3									CAIPKT010000126.1_19	CAIPKT010000126.1_17	CAIPKT010000126.1_18
25	GB_GCA_017883495.1	2184052	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanosphaerulaceae;g__UBA288;s__UBA288 sp017883495	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanomicrobiales;x__unclassified Methanomicrobiales;s__Methanomicrobiales archaeon	JADGNL010000080.1_6	JADGNL010000179.1_2	JADGNL010000178.1_1							JADGNL010000113.1_6	JADGNL010000179.1_3			
26	RS_GCF_004309735.1	2049043	d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio legallii	d__Bacteria;p__Proteobacteria;x__delta/epsilon subdivisions;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;x__unclassified Desulfovibrionaceae;s__Desulfovibrionaceae bacterium	NZ_SIXC01000004.1_118	NZ_SIXC01000007.1_105	NZ_SIXC01000007.1_106											
27	GB_GCA_017634555.1	142586	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_Q;s__Eubacterium_Q sp017634555	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;x__unclassified Eubacterium;s__Eubacterium sp.	JAGBNF010000033.1_17	JAGBNF010000007.1_17	JAGBNF010000007.1_16											
28	GB_GCA_902780985.1	297314	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_Q;s__Eubacterium_Q sp902780985	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;x__environmental samples;s__uncultured Lachnospiraceae bacterium	CACZHN010000055.1_5	CACZHN010000214.1_4	CACZHN010000002.1_11											
29	GB_GCA_903859055.1	243904	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium sp903859055	d__Bacteria;x__FCB group;x__Bacteroidetes/Chlorobi group;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;x__environmental samples;s__uncultured Chlorobiaceae bacterium	CAIOLC010000160.1_1	CAIOLC010000177.1_16	CAIOLC010000177.1_17									CAIOLC010000109.1_4	CAIOLC010000109.1_6	CAIOLC010000109.1_5
30	RS_GCF_000020645.1	324925	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium phaeoclathratiforme	d__Bacteria;x__FCB group;x__Bacteroidetes/Chlorobi group;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;x__Chlorobium/Pelodictyon group;g__Pelodictyon;s__Pelodictyon phaeoclathratiforme;x__Pelodictyon phaeoclathratiforme BU-1	NC_011060.1_2452	NC_011060.1_1964	NC_011060.1_1965									NC_011060.1_319	NC_011060.1_321	NC_011060.1_320
31	GB_GCA_016208225.1	2026735	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfurivibrionaceae;g__SURF-16;s__SURF-16 sp016208225	d__Bacteria;p__Proteobacteria;x__delta/epsilon subdivisions;c__Deltaproteobacteria;x__unclassified Deltaproteobacteria;s__Deltaproteobacteria bacterium	JACQYM010000117.1_21	JACQYM010000212.1_4	JACQYM010000212.1_5											
32	GB_GCA_005843805.1	1095	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium sp005843805	d__Bacteria;x__FCB group;x__Bacteroidetes/Chlorobi group;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;x__Chlorobium/Pelodictyon group;g__Chlorobium;x__unclassified Chlorobium;s__Chlorobium sp.	SZXY01000027.1_12	SZXY01000114.1_8	SZXY01000114.1_9									SZXY01000016.1_40	SZXY01000016.1_42	SZXY01000016.1_41
33	GB_GCA_016234205.1	2026769	d__Bacteria;p__Nitrospinota;c__UBA9942;o__UBA9942;f__UBA9942;g__UBA9942;s__UBA9942 sp016234205	d__Bacteria;x__Nitrospinae/Tectomicrobia group;p__Nitrospinae;x__unclassified Nitrospinae;s__Nitrospinae bacterium	JACRGN010000001.1_31	JACRGN010000129.1_11	JACRGN010000129.1_10											
34	RS_GCF_900111365.1	64702	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Propionibacterium;s__Propionibacterium cyclohexanicum	d__Bacteria;x__Terrabacteria group;p__Actinobacteria;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Propionibacterium;s__Propionibacterium cyclohexanicum	NZ_FOGZ01000027.1_26	NZ_FOGZ01000032.1_6	NZ_FOGZ01000032.1_7											
35	GB_GCA_012972835.1	2067991	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium sp012972835	d__Bacteria;x__FCB group;x__Bacteroidetes/Chlorobi group;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;x__unclassified Chlorobiaceae;s__Chlorobiaceae bacterium	JABDHK010000004.1_12	JABDHK010000043.1_35	JABDHK010000043.1_36									JABDHK010000004.1_143	JABDHK010000004.1_141	JABDHK010000004.1_142
36	GB_GCA_900315125.1	172733	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Hornefia;s__Hornefia sp900315125	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Clostridia;o__Eubacteriales;x__environmental samples;s__uncultured Eubacteriales bacterium	OMXT01000078.1_35	OMXT01000062.1_3	OMXT01000094.1_16											
37	GB_GCA_016195465.1	2026887	d__Bacteria;p__Nitrospirota;c__RBG-16-64-22;o__RBG-16-64-22;f__RBG-16-64-22;g__RBG-16-64-22;s__RBG-16-64-22 sp016195465	d__Bacteria;p__Nitrospirae;x__unclassified Nitrospirae;s__Nitrospirae bacterium	JACPZO010000165.1_26	JACPZO010000030.1_20	JACPZO010000030.1_19											
38	GB_GCA_001602925.1	1674889	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobaculum;s__Chlorobaculum sp001602925	d__Bacteria;x__FCB group;x__Bacteroidetes/Chlorobi group;p__Chlorobi;c__Chlorobia;o__Chlorobiales;x__unclassified Chlorobiales;s__Chlorobiales bacterium Clorobi_01	LUZT01000006.1_253	LUZT01000011.1_99	LUZT01000011.1_100				LUZT01000006.1_398	LUZT01000006.1_395	LUZT01000006.1_400			LUZT01000013.1_91	LUZT01000013.1_93	LUZT01000013.1_92
39	GB_GCA_903848935.1	153809	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__UBA10906;s__UBA10906 sp903848935	d__Bacteria;p__Proteobacteria;x__environmental samples;s__uncultured proteobacterium	CAINHO010000022.1_20	CAINHO010000027.1_42	CAINHO010000027.1_43											
40	GB_GCA_013334335.1	2067991	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobaculum;s__Chlorobaculum sp013334335	d__Bacteria;x__FCB group;x__Bacteroidetes/Chlorobi group;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;x__unclassified Chlorobiaceae;s__Chlorobiaceae bacterium	JAAXXR010000024.1_12	JAAXXR010000002.1_55	JAAXXR010000002.1_54				JAAXXR010000070.1_5	JAAXXR010000070.1_2	JAAXXR010000070.1_7			JAAXXR010000005.1_47	JAAXXR010000005.1_49	JAAXXR010000005.1_48
41	GB_GCA_903839405.1	243904	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium sp903839405	d__Bacteria;x__FCB group;x__Bacteroidetes/Chlorobi group;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;x__environmental samples;s__uncultured Chlorobiaceae bacterium	CAIMCD010000034.1_10	CAIMCD010000005.1_82	CAIMCD010000005.1_83									CAIMCD010000013.1_14	CAIMCD010000013.1_12	CAIMCD010000013.1_13
42	GB_GCA_016194325.1	2026769	d__Bacteria;p__Nitrospinota;c__UBA9942;o__UBA9942;f__UBA9942;g__UBA9942;s__UBA9942 sp016194325	d__Bacteria;x__Nitrospinae/Tectomicrobia group;p__Nitrospinae;x__unclassified Nitrospinae;s__Nitrospinae bacterium	JACQBS010000026.1_44	JACQBS010000135.1_21	JACQBS010000135.1_22											
43	GB_GCA_002368605.1	166	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__Treponema_D sp002368605	d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Treponemataceae;g__Treponema;x__unclassified Treponema;s__Treponema sp.	DFEB01000065.1_32	DFEB01000017.1_9	DFEB01000079.1_4											
44	GB_GCA_012972825.1	2067991	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium sp012972825	d__Bacteria;x__FCB group;x__Bacteroidetes/Chlorobi group;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;x__unclassified Chlorobiaceae;s__Chlorobiaceae bacterium	JABDHL010000004.1_60	JABDHL010000037.1_4	JABDHL010000037.1_5				JABDHL010000026.1_124	JABDHL010000026.1_121	JABDHL010000026.1_126			JABDHL010000006.1_19	JABDHL010000006.1_17	JABDHL010000006.1_18
45	RS_GCF_003351865.1	2607662	d__Archaea;p__Methanobacteriota_A;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanofervidicoccus;s__Methanofervidicoccus sp003351865	d__Archaea;p__Euryarchaeota;x__Methanomada group;c__Methanococci;o__Methanococcales;x__Methanococcales incertae sedis;g__Methanofervidicoccus;x__unclassified Methanofervidicoccus;s__Methanofervidicoccus sp. A16	NZ_CP022242.1_161	NZ_CP022242.1_320	NZ_CP022242.1_319							NZ_CP022242.1_1138	NZ_CP022242.1_655			
46	GB_GCA_016938595.1	2268180	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfuricurvum;s__Sulfuricurvum sp016938595	d__Bacteria;p__Proteobacteria;x__delta/epsilon subdivisions;c__Epsilonproteobacteria;o__Campylobacterales;x__unclassified Campylobacterales;s__Campylobacterales bacterium	JAFGUJ010000132.1_6	JAFGUJ010000089.1_1	JAFGUJ010000019.1_1											
47	RS_GCF_001687335.1	1156395	d__Bacteria;p__Desulfobacterota;c__Dissulfuribacteria;o__Dissulfuribacterales;f__Dissulfuribacteraceae;g__Dissulfuribacter;s__Dissulfuribacter thermophilus	d__Bacteria;p__Proteobacteria;x__delta/epsilon subdivisions;c__Deltaproteobacteria;x__Deltaproteobacteria incertae sedis;g__Dissulfuribacter;s__Dissulfuribacter thermophilus	NZ_MAGO01000003.1_203	NZ_MAGO01000009.1_86	NZ_MAGO01000009.1_87											
48	GB_GCA_015233725.1	2026887	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__Magnetobacteriaceae;g__Magnetobacterium;s__Magnetobacterium sp015233725	d__Bacteria;p__Nitrospirae;x__unclassified Nitrospirae;s__Nitrospirae bacterium	JADFXD010000052.1_7	JADFXD010000012.1_35	JADFXD010000012.1_34											
49	GB_GCA_015232935.1	2006184	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfamplus;s__Desulfamplus sp015232935	d__Bacteria;p__Proteobacteria;x__delta/epsilon subdivisions;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfamplus;x__unclassified Desulfamplus;s__Desulfamplus sp.	JADFYT010000002.1_16	JADFYT010000327.1_1	JADFYT010000327.1_2											
50	GB_GCA_017461315.1	2030806	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__JAFTYR01;s__JAFTYR01 sp017461315	d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;x__unclassified Burkholderiaceae;s__Burkholderiaceae bacterium	JAFTYR010000044.1_21	JAFTYR010000072.1_37	JAFTYR010000072.1_36											
51	GB_GCA_903838025.1	243904	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium sp903838025	d__Bacteria;x__FCB group;x__Bacteroidetes/Chlorobi group;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;x__environmental samples;s__uncultured Chlorobiaceae bacterium	CAILXB010000139.1_2	CAILXB010000233.1_2	CAILXB010000297.1_1									CAILXB010000328.1_3	CAILXB010000328.1_5	CAILXB010000328.1_4
52	GB_GCA_015057865.1	1898203	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_I;s__Eubacterium_I sp015057865	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;x__unclassified Lachnospiraceae;s__Lachnospiraceae bacterium	SVDH01000010.1_53	SVDH01000025.1_10	SVDH01000025.1_11											
53	GB_GCA_009787645.1	2604144	d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__Fibromonas;s__Fibromonas sp009787645	d__Bacteria;x__FCB group;p__Fibrobacteres;c__Fibrobacteria;o__Fibromonadales;x__unclassified Fibromonadales;s__Fibromonadales bacterium	WQSZ01000047.1_7	WQSZ01000060.1_5	WQSZ01000060.1_6											
54	GB_GCA_002392275.1	166	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__Treponema_D sp002392275	d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Treponemataceae;g__Treponema;x__unclassified Treponema;s__Treponema sp.	DGGQ01000010.1_24	DGGQ01000104.1_5	DGGQ01000084.1_11											
55	GB_GCA_017465475.1	1898203	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__SIG307;s__SIG307 sp017465475	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;x__unclassified Lachnospiraceae;s__Lachnospiraceae bacterium	JAFTWC010000037.1_17	JAFTWC010000003.1_87	JAFTWC010000003.1_86											
56	RS_GCF_000015125.1	290317	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium phaeobacteroides	d__Bacteria;x__FCB group;x__Bacteroidetes/Chlorobi group;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;x__Chlorobium/Pelodictyon group;g__Chlorobium;s__Chlorobium phaeobacteroides;x__Chlorobium phaeobacteroides DSM 266	NC_008639.1_2220	NC_008639.1_769	NC_008639.1_768									NC_008639.1_2530	NC_008639.1_2528	NC_008639.1_2529
