	GenomeID	nifH	nifD	nifK	vnfD	vnfH	vnfK	anfD	anfH	anfK	nflD	nflH	ChlN	ChIl	ChlB
33	RS_GCF_900111365.1	NZ_FOGZ01000027.1_26	NZ_FOGZ01000032.1_6	NZ_FOGZ01000032.1_7											
34	GB_GCA_012972835.1	JABDHK010000004.1_12	JABDHK010000043.1_35	JABDHK010000043.1_36									JABDHK010000004.1_143	JABDHK010000004.1_141	JABDHK010000004.1_142
35	GB_GCA_900315125.1	OMXT01000078.1_35	OMXT01000062.1_3	OMXT01000094.1_16											
36	GB_GCA_016195465.1	JACPZO010000165.1_26	JACPZO010000030.1_20	JACPZO010000030.1_19											
37	GB_GCA_001602925.1	LUZT01000006.1_253	LUZT01000011.1_99	LUZT01000011.1_100				LUZT01000006.1_398	LUZT01000006.1_395	LUZT01000006.1_400			LUZT01000013.1_91	LUZT01000013.1_93	LUZT01000013.1_92
38	GB_GCA_903848935.1	CAINHO010000022.1_20	CAINHO010000027.1_42	CAINHO010000027.1_43											
39	GB_GCA_013334335.1	JAAXXR010000024.1_12	JAAXXR010000002.1_55	JAAXXR010000002.1_54				JAAXXR010000070.1_5	JAAXXR010000070.1_2	JAAXXR010000070.1_7			JAAXXR010000005.1_47	JAAXXR010000005.1_49	JAAXXR010000005.1_48
40	GB_GCA_903839405.1	CAIMCD010000034.1_10	CAIMCD010000005.1_82	CAIMCD010000005.1_83									CAIMCD010000013.1_14	CAIMCD010000013.1_12	CAIMCD010000013.1_13
41	GB_GCA_016194325.1	JACQBS010000026.1_44	JACQBS010000135.1_21	JACQBS010000135.1_22											
42	GB_GCA_002368605.1	DFEB01000065.1_32	DFEB01000017.1_9	DFEB01000079.1_4											
43	GB_GCA_012972825.1	JABDHL010000004.1_60	JABDHL010000037.1_4	JABDHL010000037.1_5				JABDHL010000026.1_124	JABDHL010000026.1_121	JABDHL010000026.1_126			JABDHL010000006.1_19	JABDHL010000006.1_17	JABDHL010000006.1_18
44	RS_GCF_003351865.1	NZ_CP022242.1_161	NZ_CP022242.1_320	NZ_CP022242.1_319							NZ_CP022242.1_1138	NZ_CP022242.1_655			
45	GB_GCA_016938595.1	JAFGUJ010000132.1_6	JAFGUJ010000089.1_1	JAFGUJ010000019.1_1											
46	RS_GCF_001687335.1	NZ_MAGO01000003.1_203	NZ_MAGO01000009.1_86	NZ_MAGO01000009.1_87											
47	GB_GCA_015233725.1	JADFXD010000052.1_7	JADFXD010000012.1_35	JADFXD010000012.1_34											
48	GB_GCA_015232935.1	JADFYT010000002.1_16	JADFYT010000327.1_1	JADFYT010000327.1_2											
49	GB_GCA_903838025.1	CAILXB010000139.1_2	CAILXB010000233.1_2	CAILXB010000297.1_1									CAILXB010000328.1_3	CAILXB010000328.1_5	CAILXB010000328.1_4
50	GB_GCA_015057865.1	SVDH01000010.1_53	SVDH01000025.1_10	SVDH01000025.1_11											
51	GB_GCA_009787645.1	WQSZ01000047.1_7	WQSZ01000060.1_5	WQSZ01000060.1_6											
52	GB_GCA_002392275.1	DGGQ01000010.1_24	DGGQ01000104.1_5	DGGQ01000084.1_11											
53	GB_GCA_017465475.1	JAFTWC010000037.1_17	JAFTWC010000003.1_87	JAFTWC010000003.1_86											
54	RS_GCF_000015125.1	NC_008639.1_2220	NC_008639.1_769	NC_008639.1_768									NC_008639.1_2530	NC_008639.1_2528	NC_008639.1_2529
55	GB_GCA_903937835.1	CAJAAV010000003.1_10	CAJAAV010000278.1_13	CAJAAV010000278.1_14									CAJAAV010000136.1_4	CAJAAV010000136.1_6	CAJAAV010000136.1_5
56	RS_GCF_017875395.1	NZ_JAGGMO010000002.1_235	NZ_JAGGMO010000006.1_11	NZ_JAGGMO010000006.1_12							NZ_JAGGMO010000003.1_39	NZ_JAGGMO010000006.1_28			
57	RS_GCF_007904085.1	NZ_CP042330.1_16	NZ_CP042326.1_424	NZ_CP042326.1_425									NZ_CP042326.1_2641	NZ_CP042326.1_2642	NZ_CP042326.1_2449
58	GB_GCA_903928225.1	CAIYPU010000089.1_22	CAIYPU010000037.1_7	CAIYPU010000010.1_1									CAIYPU010000139.1_3	CAIYPU010000039.1_1	CAIYPU010000139.1_4
59	GB_GCA_018903255.1	JAHIQT010000132.1_6	JAHIQT010000088.1_3	JAHIQT010000088.1_2											
60	GB_GCA_903929135.1	CAIYTH010000013.1_146	CAIYTH010000014.1_115	CAIYTH010000014.1_114									CAIYTH010000013.1_21	CAIYTH010000013.1_23	CAIYTH010000013.1_22
61	RS_GCF_000204415.1	NC_015416.1_1869	NC_015416.1_541	NC_015416.1_542							NC_015416.1_1681	NC_015416.1_538			
62	GB_GCA_002449335.1	DKDL01000067.1_3	DKDL01000108.1_19	DKDL01000108.1_20											
63	RS_GCF_900143205.1	NZ_FRDH01000009.1_63	NZ_FRDH01000004.1_114	NZ_FRDH01000004.1_113											
64	GB_GCA_013334925.1	JAAXWP010000014.1_37	JAAXWP010000005.1_23	JAAXWP010000005.1_22				JAAXWP010000011.1_19	JAAXWP010000011.1_16	JAAXWP010000011.1_21			JAAXWP010000001.1_157	JAAXWP010000001.1_159	JAAXWP010000001.1_158
65	GB_GCA_013334565.1	JAAXXI010000024.1_5	JAAXXI010000006.1_49	JAAXXI010000006.1_50									JAAXXI010000038.1_10	JAAXXI010000038.1_8	JAAXXI010000038.1_9
66	GB_GCA_013334655.1	JAAXXD010000098.1_3	JAAXXD010000039.1_18	JAAXXD010000039.1_19									JAAXXD010000043.1_3	JAAXXD010000043.1_1	JAAXXD010000043.1_2
67	GB_GCA_903869365.1	CAIPYV010000084.1_8	CAIPYV010000127.1_36	CAIPYV010000127.1_37									CAIPYV010000135.1_27	CAIPYV010000135.1_29	CAIPYV010000135.1_28
68	GB_GCA_903866255.1	CAIPMW010000045.1_22	CAIPMW010000065.1_7	CAIPMW010000065.1_6									CAIPMW010000080.1_11	CAIPMW010000080.1_9	CAIPMW010000080.1_10
69	GB_GCA_005843825.1	SZXX01000011.1_6	SZXX01000015.1_82	SZXX01000015.1_81									SZXX01000006.1_29	SZXX01000006.1_31	SZXX01000006.1_30
70	GB_GCA_903851535.1	CAINOO010000017.1_3	CAINOO010000270.1_3	CAINOO010000270.1_4									CAINOO010000284.1_4	CAINOO010000284.1_2	CAINOO010000284.1_3
71	GB_GCA_903843305.1	CAIMPI010000016.1_185	CAIMPI010000015.1_138	CAIMPI010000015.1_139				CAIMPI010000031.1_90	CAIMPI010000031.1_87	CAIMPI010000031.1_92			CAIMPI010000016.1_95	CAIMPI010000016.1_97	CAIMPI010000016.1_96
72	GB_GCA_003157715.1	PMKK01000179.1_2	PMKK01000344.1_7	PMKK01000344.1_8											
73	GB_GCA_005843815.1	SZYA01000015.1_4	SZYA01000046.1_58	SZYA01000008.1_13									SZYA01000008.1_6	SZYA01000008.1_8	SZYA01000008.1_7
74	GB_GCA_013334865.1	JAAXWS010000015.1_10	JAAXWS010000004.1_87	JAAXWS010000004.1_86									JAAXWS010000017.1_36	JAAXWS010000017.1_34	JAAXWS010000017.1_35
75	GB_GCA_015233585.1	JADFXL010000015.1_20	JADFXL010000288.1_2	JADFXL010000288.1_3											
76	RS_GCF_000294655.1	NZ_CAHP01000021.1_158	NZ_CAHP01000023.1_51	NZ_CAHP01000023.1_52				NZ_CAHP01000020.1_251	NZ_CAHP01000020.1_252	NZ_CAHP01000020.1_249			NZ_CAHP01000001.1_26	NZ_CAHP01000001.1_29	NZ_CAHP01000001.1_27
77	GB_GCA_017442845.1	JAFRYW010000084.1_12	JAFRYW010000184.1_7	JAFRYW010000184.1_8											
78	RS_GCF_000020525.1	NC_011026.1_2733	NC_011026.1_1061	NC_011026.1_1060				NC_011026.1_1872	NC_011026.1_1869	NC_011026.1_1874			NC_011026.1_1405	NC_011026.1_1403	NC_011026.1_1404
79	GB_GCA_013334755.1	JAAXWX010000051.1_8	JAAXWX010000028.1_8	JAAXWX010000028.1_7									JAAXWX010000026.1_6	JAAXWX010000026.1_4	JAAXWX010000026.1_5
80	GB_GCA_903941095.1	CAJANN010000366.1_46	CAJANN010000168.1_4	CAJANN010000168.1_3											
81	RS_GCF_013340305.1	NZ_BLVP01000043.1_54	NZ_BLVP01000002.1_189	NZ_BLVP01000002.1_190											
82	GB_GCA_013334435.1	JAAXXP010000029.1_2	JAAXXP010000043.1_6	JAAXXP010000043.1_7									JAAXXP010000013.1_27	JAAXXP010000013.1_25	JAAXXP010000013.1_26
83	GB_GCA_003599855.1	QZKG01000029.1_9	QZKG01000006.1_36	QZKG01000006.1_35											
84	GB_GCA_903881545.1	CAIRTQ010000154.1_19	CAIRTQ010000098.1_4	CAIRTQ010000098.1_11											
85	RS_GCF_000183525.2	NZ_CM001487.1_1386	NZ_CM001487.1_2397	NZ_CM001487.1_2396											
86	RS_GCF_000315545.1	NZ_JH992902.1_1197	NZ_JH992902.1_835	NZ_JH992902.1_834											
87	GB_GCA_007693535.1	REDK01000111.1_49	REDK01000175.1_11	REDK01000175.1_10									REDK01000106.1_35	REDK01000106.1_38	REDK01000106.1_36
88	GB_GCA_016209155.1	JACQWU010000226.1_7	JACQWU010000204.1_7	JACQWU010000204.1_8											
89	RS_GCF_900142025.1	NZ_FQZM01000009.1_13	NZ_FQZM01000006.1_10	NZ_FQZM01000006.1_11											
90	GB_GCA_003519965.1	DOVS01000054.1_6	DOVS01000238.1_4	DOVS01000238.1_3											
91	GB_GCA_002398825.1	DHBS01000049.1_20	DHBS01000007.1_80	DHBS01000007.1_79											
92	RS_GCF_000442515.1	NZ_AQPH01000122.1_3	NZ_AQPH01000002.1_93	NZ_AQPH01000002.1_94	NZ_AQPH01000008.1_69	NZ_AQPH01000002.1_92	NZ_AQPH01000008.1_67	NZ_AQPH01000081.1_14	NZ_AQPH01000081.1_15	NZ_AQPH01000081.1_12			NZ_AQPH01000002.1_15	NZ_AQPH01000002.1_12	NZ_AQPH01000002.1_14
93	GB_GCA_002350525.1	DEFA01000021.1_127	DEFA01000017.1_35	DEFA01000017.1_36											
94	RS_GCF_000469585.1	NZ_AWNK01000006.1_51	NZ_KI273144.1_224	NZ_KI273144.1_223											
95	GB_GCA_016212795.1	JACRDT010000046.1_69	JACRDT010000021.1_48	JACRDT010000020.1_9											
96	RS_GCF_900100455.1	NZ_FNCV01000008.1_110	NZ_FNCV01000009.1_2	NZ_FNCV01000009.1_1									NZ_FNCV01000002.1_147	NZ_FNCV01000002.1_144	NZ_FNCV01000002.1_146
97	GB_GCA_903915955.1	CAIWUU010000186.1_13	CAIWUU010000156.1_9	CAIWUU010000156.1_8									CAIWUU010000121.1_35	CAIWUU010000121.1_37	CAIWUU010000121.1_36
98	RS_GCF_902729435.1	NZ_CACVCG010000057.1_174	NZ_LR746525.1_45	NZ_LR746525.1_46											
99	GB_GCA_015222405.1	JADFVG010000081.1_10	JADFVG010000194.1_9	JADFVG010000194.1_8											
100	GB_GCA_013414705.1	CP058705.1_3672	CP058705.1_3114	CP058705.1_3115											
101	GB_GCA_013139985.1	WSZT01000230.1_2	WSZT01000042.1_1	WSZT01000099.1_2							WSZT01000123.1_2	WSZT01000228.1_7			
102	GB_GCA_002298165.1	DBMI01000071.1_27	DBMI01000028.1_138	DBMI01000028.1_139											
103	RS_GCF_900108475.1	NZ_FNWO01000002.1_119	NZ_FNWO01000006.1_230	NZ_FNWO01000006.1_231	NZ_FNWO01000012.1_9	NZ_FNWO01000006.1_229	NZ_FNWO01000012.1_11	NZ_FNWO01000003.1_260	NZ_FNWO01000003.1_259	NZ_FNWO01000003.1_262			NZ_FNWO01000005.1_228	NZ_FNWO01000005.1_225	NZ_FNWO01000005.1_227
104	GB_GCA_017478485.1	JAFVDI010000034.1_3	JAFVDI010000029.1_8	JAFVDI010000029.1_7											
105	RS_GCF_007625075.1	NZ_QMIE01000010.1_94	NZ_QMIE01000010.1_10	NZ_QMIE01000010.1_9											
106	GB_GCA_016235165.1	JACRLX010000023.1_29	JACRLX010000049.1_23	JACRLX010000049.1_24											
107	RS_GCF_000934745.1	NZ_JYNO01000001.1_598	NZ_JYNO01000012.1_54	NZ_JYNO01000012.1_55											
108	GB_GCA_015231615.1	JADGBE010000030.1_16	JADGBE010000018.1_30	JADGBE010000018.1_29											
109	GB_GCA_018372435.1	JAHAJA010000013.1_21	JAHAJA010000003.1_107	JAHAJA010000003.1_108											
110	GB_GCA_018433765.1	JAHDQO010000004.1_115	JAHDQO010000003.1_14	JAHDQO010000003.1_15											
111	GB_GCA_002393865.1	DGUD01000070.1_25	DGUD01000199.1_14	DGUD01000199.1_15											
112	GB_GCA_013388805.1	JACAEO010000335.1_17	JACAEO010000087.1_16	JACAEO010000087.1_17									JACAEO010000075.1_5	JACAEO010000075.1_2	JACAEO010000075.1_4
113	GB_GCA_001829785.1	MICF01000004.1_185	MICF01000001.1_205	MICF01000001.1_204											
114	RS_GCF_000429605.1	NZ_AUCE01000011.1_238	NZ_KE386926.1_121	NZ_KE386926.1_122											
115	RS_GCF_014467055.1	NZ_CP060696.1_2864	NZ_CP060696.1_1957	NZ_CP060696.1_1956											
116	GB_GCA_902762495.1	CACWOL010000037.1_5	CACWOL010000040.1_26	CACWOL010000040.1_30											
117	GB_GCA_015661395.1	JACWML010000051.1_10	JACWML010000013.1_24	JACWML010000013.1_23							JACWML010000005.1_59	JACWML010000013.1_22			
118	GB_GCA_018817385.1	JAHIUA010000035.1_254	JAHIUA010000100.1_7	JAHIUA010000100.1_8											
119	GB_GCA_015482705.2	JADMLA020000040.1_173	JADMLA020000022.1_98	JADMLA020000022.1_97									JADMLA020000040.1_59	JADMLA020000040.1_61	JADMLA020000040.1_60
120	GB_GCA_002862095.1	PHSQ01000001.1_494	PHSQ01000003.1_277	PHSQ01000003.1_276											
121	GB_GCA_903903185.1	CAIUXT010000081.1_43	CAIUXT010000127.1_3	CAIUXT010000127.1_2									CAIUXT010000040.1_21	CAIUXT010000040.1_24	CAIUXT010000040.1_22
122	GB_GCA_903820085.1	CAIJGA010000001.1_143	CAIJGA010000021.1_14	CAIJGA010000021.1_13									CAIJGA010000030.1_38	CAIJGA010000030.1_36	CAIJGA010000030.1_37
123	GB_GCA_002428705.1	DIXN01000061.1_12	DIXN01000004.1_70	DIXN01000004.1_71											
124	RS_GCF_003315515.1	NZ_QNRY01000015.1_47	NZ_QNRY01000004.1_75	NZ_QNRY01000004.1_74				NZ_QNRY01000002.1_43	NZ_QNRY01000002.1_44	NZ_QNRY01000002.1_41					
125	GB_GCA_002408445.1	DHSK01000065.1_23	DHSK01000177.1_17	DHSK01000177.1_16											
126	GB_GCA_017635515.1	JAGBLH010000246.1_15	JAGBLH010000235.1_8	JAGBLH010000235.1_9											
127	GB_GCA_003314535.1	POSG01000010.1_73	POSG01000002.1_348	POSG01000002.1_349											
128	GB_GCA_903887465.1	CAISPW010000219.1_2	CAISPW010000164.1_10	CAISPW010000164.1_11									CAISPW010000302.1_4	CAISPW010000302.1_1	CAISPW010000302.1_3
129	GB_GCA_903920215.1	CAIXLG010000169.1_10	CAIXLG010000209.1_3	CAIXLG010000209.1_2				CAIXLG010000001.1_9	CAIXLG010000001.1_6	CAIXLG010000001.1_11			CAIXLG010000153.1_3	CAIXLG010000153.1_1	CAIXLG010000153.1_2
130	RS_GCF_001904635.1	NZ_MRCB01000027.1_57	NZ_MRCB01000006.1_64	NZ_MRCB01000006.1_65									NZ_MRCB01000009.1_29	NZ_MRCB01000009.1_28	NZ_MRCB01000003.1_3
131	RS_GCF_003363435.1	NZ_QRCT01000023.1_23	NZ_QRCT01000034.1_291	NZ_QRCT01000034.1_290											
132	GB_GCA_003165115.1	PLSJ01000146.1_6	PLSJ01000395.1_4	PLSJ01000395.1_2											
133	GB_GCA_903936705.1	CAIZWN010000015.1_140	CAIZWN010000006.1_10	CAIZWN010000006.1_9											
134	GB_GCA_900112785.1	FONB01000004.1_131	FONB01000005.1_280	FONB01000005.1_281											
135	GB_GCA_013334965.1	JAAXWO010000001.1_131	JAAXWO010000013.1_11	JAAXWO010000013.1_10									JAAXWO010000020.1_5	JAAXWO010000020.1_3	JAAXWO010000020.1_4
136	GB_GCA_003249225.1	QKJQ01000031.1_89	QKJQ01000027.1_182	QKJQ01000027.1_181											
137	RS_GCF_018854495.1	NZ_JABBDR010000222.1_12	NZ_JABBDR010000167.1_42	NZ_JABBDR010000167.1_41											
138	GB_GCA_013151785.1	JAADHP010000196.1_3	JAADHP010000124.1_3	JAADHP010000151.1_11											
139	RS_GCF_000744515.1	NZ_JQMC01000009.1_103	NZ_JQMC01000035.1_23	NZ_JQMC01000035.1_24											
140	RS_GCF_900156695.1	NZ_FTOM01000006.1_138	NZ_FTOM01000003.1_170	NZ_FTOM01000003.1_169									NZ_FTOM01000002.1_508	NZ_FTOM01000002.1_505	NZ_FTOM01000002.1_507
141	GB_GCA_003605035.1	QZKJ01000080.1_28	QZKJ01000027.1_13	QZKJ01000027.1_14											
142	GB_GCA_013791885.1	VMSZ01000026.1_38	VMSZ01000021.1_12	VMSZ01000021.1_13											
143	RS_GCF_002532535.1	NZ_NQWI01000024.1_33	NZ_NQWI01000003.1_52	NZ_NQWI01000003.1_53									NZ_NQWI01000045.1_2	NZ_NQWI01000177.1_2	NZ_NQWI01000045.1_1
144	RS_GCF_000305935.1	NC_018870.1_30	NC_018870.1_853	NC_018870.1_854											
145	GB_GCA_002422505.1	DIVX01000114.1_25	DIVX01000078.1_4	DIVX01000078.1_13				DIVX01000074.1_16	DIVX01000074.1_13	DIVX01000074.1_18					
146	GB_GCA_900299075.1	OMIK01000088.1_6	OMIK01000052.1_10	OMIK01000052.1_11									OMIK01000089.1_6	OMIK01000089.1_8	OMIK01000089.1_7
147	RS_GCF_002020805.1	NZ_MPRJ01000014.1_24	NZ_MPRJ01000024.1_24	NZ_MPRJ01000024.1_23											
148	GB_GCA_016212085.1	JACRHL010000016.1_111	JACRHL010000011.1_58	JACRHL010000011.1_57											
149	GB_GCA_017615275.1	JAGAAO010000074.1_7	JAGAAO010000058.1_13	JAGAAO010000058.1_12											
150	RS_GCF_002002905.1	NZ_CP019509.1_2907	NZ_CP019509.1_2579	NZ_CP019509.1_2580											
151	RS_GCF_000340565.2	NZ_CP007203.1_4176	NZ_CP007203.1_3608	NZ_CP007203.1_3612									NZ_CP007203.1_2866	NZ_CP007203.1_2864	NZ_CP007203.1_1223
152	GB_GCA_014237395.1	JABZFP010000030.1_542	JABZFP010000007.1_200	JABZFP010000007.1_199											
153	GB_GCA_011052165.1	DRJN01000107.1_10	DRJN01000053.1_6	DRJN01000053.1_7											
154	RS_GCF_001766835.1	NZ_LKEU01000026.1_62	NZ_LKEU01000018.1_14	NZ_LKEU01000018.1_15											
155	GB_GCA_011321725.1	DROX01000100.1_9	DROX01000226.1_13	DROX01000072.1_2											
156	RS_GCF_009688945.1	NZ_AP021874.1_5093	NZ_AP021874.1_4881	NZ_AP021874.1_4882											
157	RS_GCF_002487355.1	NZ_NTMG01000069.1_3	NZ_NTMG01000054.1_57	NZ_NTMG01000054.1_58							NZ_NTMG01000068.1_44	NZ_NTMG01000054.1_54			
158	RS_GCF_000017225.1	NC_009637.1_1637	NC_009637.1_111	NC_009637.1_112							NC_009637.1_1443	NC_009637.1_1163			
159	GB_GCA_009773555.1	WSXZ01000032.1_52	WSXZ01000099.1_2	WSXZ01000099.1_3									WSXZ01000047.1_4	WSXZ01000047.1_1	WSXZ01000047.1_3
160	RS_GCF_900112775.1	NZ_FOYZ01000018.1_37	NZ_FOYZ01000001.1_321	NZ_FOYZ01000001.1_320											
161	RS_GCF_000019165.1	NC_010337.2_947	NC_010337.2_990	NC_010337.2_991									NC_010337.2_1146	NC_010337.2_1145	NC_010337.2_1147
162	GB_GCA_018821985.1	JAHJKP010000008.1_96	JAHJKP010000034.1_10	JAHJKP010000034.1_9											
163	GB_GCA_013314815.1	JABUEY010000105.1_2	JABUEY010000013.1_4	JABUEY010000013.1_5											
164	GB_GCA_001770725.1	MERU01000008.1_69	MERU01000006.1_362	MERU01000006.1_363											
165	GB_GCA_003513005.1	DOTD01000036.1_28	DOTD01000064.1_5	DOTD01000064.1_4											
166	GB_GCA_016219285.1	JACRNJ010000025.1_16	JACRNJ010000056.1_44	JACRNJ010000056.1_43											
167	GB_GCA_013390945.1	JACAUC010000075.1_19	JACAUC010000118.1_6	JACAUC010000118.1_5									JACAUC010000014.1_12	JACAUC010000014.1_14	JACAUC010000014.1_13
168	GB_GCA_903916565.1	CAIWXH010000086.1_7	CAIWXH010000606.1_3	CAIWXH010000606.1_2									CAIWXH010000376.1_1	CAIWXH010000755.1_6	CAIWXH010000755.1_8
169	GB_GCA_000434475.1	FR879556.1_11	FR879578.1_25	FR879578.1_26											
170	GB_GCA_003566995.1	PXBG01000118.1_7	PXBG01000112.1_5	PXBG01000112.1_6											
171	RS_GCF_001950255.1	NZ_BDJK01000009.1_24	NZ_BDJK01000055.1_57	NZ_BDJK01000055.1_58											
172	RS_GCF_004319545.1	NZ_CP036313.1_3847	NZ_CP036313.1_3066	NZ_CP036313.1_3067											
173	GB_GCA_015232405.1	JADFZS010000117.1_12	JADFZS010000089.1_9	JADFZS010000089.1_10											
174	GB_GCA_018780075.1	JADMKB010000185.1_15	JADMKB010000003.1_166	JADMKB010000003.1_165											
175	RS_GCF_000006985.1	NC_002932.3_1622	NC_002932.3_1334	NC_002932.3_1335									NC_002932.3_1883	NC_002932.3_1881	NC_002932.3_1882
176	GB_GCA_903896545.1	CAITYF010000224.1_42	CAITYF010000162.1_15	CAITYF010000162.1_14											
177	GB_GCA_002841375.1	PGZO01000010.1_28	PGZO01000004.1_49	PGZO01000004.1_50											
178	GB_GCA_002412965.1	DHWB01000002.1_254	DHWB01000004.1_484	DHWB01000004.1_485											
179	RS_GCF_004118635.1	NZ_SDGU01000007.1_11	NZ_SDGU01000072.1_6	NZ_SDGU01000072.1_7									NZ_SDGU01000022.1_103	NZ_SDGU01000022.1_105	NZ_SDGU01000022.1_104
180	GB_GCA_902384525.1	CABMCA010000102.1_8	CABMCA010000102.1_35	CABMCA010000102.1_36							CABMCA010000097.1_41	CABMCA010000102.1_32			
181	RS_GCF_002945325.1	NZ_CP026606.1_390	NZ_CP026606.1_140	NZ_CP026606.1_137							NZ_CP026606.1_602	NZ_CP026606.1_930			
182	GB_GCA_003963405.1	RXIY01000057.1_22	RXIY01000108.1_2	RXIY01000108.1_3											
183	RS_GCF_000014265.1	NC_008312.1_141	NC_008312.1_4389	NC_008312.1_4390									NC_008312.1_1604	NC_008312.1_1606	NC_008312.1_4042
184	RS_GCF_900196725.1	NZ_FZMP01000036.1_11	NZ_FZMP01000244.1_8	NZ_FZMP01000244.1_9							NZ_FZMP01000211.1_5	NZ_FZMP01000244.1_5			
