FunGeneID	FunGeneSeq	NFixDBID	NFixDBSeq	PercIdentity	AlnLength	Mismatches	GapOpens	QueryStart	QueryEnd	SeqStart	SeqEnd	EValue	Score
B6A0Y7	nifD	NZ_JAGIOR010000001.1_1672	nifD	88	509	56	2	1	509	1	505	1.18e-309	2377
B6IXK7	nifD	NC_011420.2_3514	nifD	100	502	0	0	1	502	1	502	0.0	2689
B6YRI9	nifD	LBCX01000114.1_1	nifD	85	550	84	0	1	550	1	550	0.0	2543
B7JA98	nifD	NZ_WNJL01000030.1_130	nifD	98	491	11	0	1	491	1	491	0.0	2568
B7KG75	nifD	NC_011729.1_2116	nifD	100	476	0	0	1	476	1	476	0.0	2543
B7TB35	nifD	NZ_AP024987.1_882	nifD	99	480	5	0	1	480	1	480	0.0	2546
B8DR77	nifD	JALHHV010000204.1_7	nifD	92	544	16	2	1	544	1	517	0.0	2605
B8EJ24	nifD	NC_011666.1_3627	nifD	100	488	0	0	1	488	1	488	0.0	2602
B8FAC1	nifD	JABZFP010000007.1_200	nifD	85	554	82	1	1	554	1	553	0.0	2555
B8GEW4	nifD	NC_011832.1_561	nifD	100	541	0	0	1	541	1	541	0.0	2858
B8HWE4	nifD	KL662192.1_74	nifD	91	497	41	1	1	494	1	497	4.13e-320	2451
B8ITG6	nifD	NC_011894.1_3949	nifD	100	505	0	0	1	505	1	505	0.0	2701
B9M0S3	nifD	NZ_VLLN01000017.1_41	nifD	96	480	19	1	1	479	1	480	0.0	2476
B9X243	nifD	NZ_VWRQ01000007.1_127	nifD	93	485	36	0	1	485	1	485	6.46e-317	2426
B9X2A1	nifD	NZ_ASSD01000277.1_1	nifD	94	492	24	1	1	492	1	485	0.0	2465
B9X2C0	nifD	NZ_VWRQ01000007.1_127	nifD	93	485	35	0	1	485	1	485	4.7e-317	2427
BAH06671;size=2;/1-460	vnfD	NZ_CP009288.1_2262	vnfD	76	469	105	1	1	460	1	469	5.02e-259	1989
C0A2R7	nifD	NZ_ABEA03000004.1_50	nifD	100	590	0	0	1	590	1	590	0.0	3124
C0GKD5	nifD	NZ_ACJM01000023.1_8	nifD	100	538	0	0	1	538	1	538	0.0	2853
C0GSM9	nifD	NZ_ACJN02000001.1_323	nifD	100	541	0	0	1	541	1	541	0.0	2854
C0QKL1	nifD	NC_012108.1_974	nifD	100	554	0	0	1	554	1	554	0.0	2932
C1SID1	nifD	DDOS01000126.1_22	nifD	65	491	162	5	1	480	1	491	6.46e-222	1736
C4LAS6	nifD	QKFI01000437.1_15	nifD	94	482	29	0	1	482	1	482	4.01e-317	2427
C4XRJ9	nifD	NC_012796.1_1983	nifD	100	539	0	0	1	539	1	539	0.0	2843
C5BTB1	nifD	NC_012997.1_1365	nifD	100	493	0	0	1	493	1	493	0.0	2628
C5RN63	nifD	NC_014393.1_2838	nifD	100	533	0	0	1	533	1	533	0.0	2814
C5S6M4	nifD	NZ_AFWT01000020.1_72	nifD	93	494	26	1	1	486	1	494	4.15e-320	2450
C6B4Z1	nifD	NC_012848.1_283	nifD	100	503	0	0	1	503	1	503	0.0	2709
C6BX31	nifD	NZ_WODC01000006.1_73	nifD	89	545	58	1	1	544	1	545	0.0	2596
C6C8T2	nifD	NZ_CM001841.1_3555	nifD	96	482	19	0	1	482	1	482	0.0	2472
C6HVB1	nifD	JAKADN010000070.1_7	nifD	96	476	17	0	1	476	1	476	0.0	2467
C6MRS8	nifD	CAIYDQ010000034.1_3	nifD	95	480	25	1	1	480	1	479	0.0	2453
C6P5Y2	nifD	JADGRL010000026.1_44	nifD	93	491	34	0	1	491	1	491	0.0	2455
C6PCX3	nifD	NC_014410.1_1864	nifD	100	535	0	0	1	535	1	535	0.0	2846
C7DP58	nifD	NZ_VLKT01000071.1_24	nifD	100	500	0	0	1	500	1	500	0.0	2675
C7DP61	nifD	NZ_NSFV01000032.1_12	nifD	100	500	0	0	1	500	1	500	0.0	2675
C7DP82	nifD	NZ_CP080530.1_87	nifD	99	500	5	0	1	500	1	500	0.0	2654
C7DPA3	nifD	LM655202.1_253	nifD	98	500	8	0	1	500	1	500	0.0	2648
C7DPA6	nifD	KI911947.1_176	nifD	93	500	33	0	1	500	1	500	0.0	2519
C7IGE7	nifD	NZ_QKMR01000030.1_6	nifD	84	530	84	0	1	530	1	530	0.0	2462
C7LPB2	nifD	JAHIQM010000004.1_182	nifD	96	546	21	0	1	546	1	546	0.0	2802
C7RRG5	nifD	JADKBU010000062.1_18	nifD	96	497	15	1	1	497	1	494	0.0	2538
C8Q2M4	nifD	NC_014840.1_297	nifD	100	482	0	0	1	482	1	482	0.0	2549
C8R0M9	nifD	JAHJIY010000006.1_58	nifD	86	546	74	1	1	545	1	546	0.0	2521
C8S0T3	nifD	NZ_ACYY01000009.1_48	nifD	100	493	0	0	1	493	1	493	0.0	2613
C8SJQ3	nifD	NC_015675.1_6349	nifD	100	500	0	0	1	500	1	500	0.0	2667
C8W444	nifD	NC_013216.1_989	nifD	100	545	0	0	1	545	1	545	0.0	2898
CAE26821;size=1;/1-460	vnfD	CAIULK010000262.1_16	vnfD	93	472	22	1	1	460	1	472	4.73e-315	2396
CCD03004;size=1;/1-460	vnfD	QKFD01000024.1_186	vnfD	90	475	32	1	1	460	1	475	6.34e-306	2330
D0EJB0	nifD	NZ_JAGIOS010000003.1_579	nifD	99	500	3	0	1	500	1	500	0.0	2665
D0EJB7	nifD	ATWE01000054.1_2	nifD	93	500	34	0	1	500	1	500	0.0	2496
D0EJC0	nifD	NZ_CP083372.1_92	nifD	94	500	32	0	1	500	1	500	0.0	2511
D0EJC5	nifD	NZ_JAGIOS010000003.1_579	nifD	95	500	26	0	1	500	1	500	0.0	2551
EKF04224;size=1;/1-460	vnfD	AP018233.1_3158	vnfD	76	594	6	1	1	460	1	594	3.35e-300	2298
EKQ52376;size=1;/1-460	vnfD	NZ_CP009288.1_2262	vnfD	79	469	89	1	1	460	1	469	1.06e-267	2052
EXJ15821;size=1;/1-460	vnfD	NZ_AONC01000021.1_83	vnfD	97	475	0	1	1	460	1	475	0.0	2480
O07642	nifD	NETF01000165.1_38	nifD	99	480	7	0	1	480	1	480	0.0	2531
O27605	nifD	SLTJ01000006.1_18	nifD	51	471	214	6	1	469	1	456	9.73e-154	1236
O84929	nifD	OV696605.1_1300	nifD	76	485	112	2	1	485	1	483	7.84e-270	2084
OBQ03851;size=4;/1-460	vnfD	NZ_CP047242.1_5205	vnfD	78	587	0	1	1	460	1	587	1.01e-303	2323
OIQ93815;size=1;/1-460	vnfD	JAJZGK010000067.1_8	vnfD	97	472	0	1	1	460	1	472	0.0	2465
OMH20013;size=6;/1-460	vnfD	NZ_CP009288.1_2262	vnfD	75	469	110	1	1	460	1	469	1.61e-253	1949
P00464	nifD	NZ_JACJSE010000007.1_144	nifD	96	497	19	0	1	497	1	497	0.0	2585
P00466	nifD	NZ_FZTC01000021.1_31	nifD	99	483	4	0	1	483	1	483	0.0	2531
P00467	nifD	NC_021182.1_3328	nifD	88	535	61	1	1	534	1	535	0.0	2582
P06120	nifD	NZ_LFIQ01000027.1_79	nifD	99	500	4	0	1	500	1	500	0.0	2644
P06121	nifD	NZ_CP088014.1_7433	nifD	100	500	0	0	1	500	1	500	0.0	2667
P06662	nifD	NZ_AP018795.1_2348	nifD	96	490	20	1	1	489	1	490	0.0	2494
P06769	nifD	NZ_RDQF01000014.1_115	nifD	93	522	13	1	1	500	1	522	0.0	2556
P07328	nifD	NC_021149.1_129	nifD	100	492	1	0	1	492	1	492	0.0	2611
P08717	nifD	NC_014034.1_567	nifD	87	523	24	15	1	499	1	501	6.97e-289	2225
P19066	nifD	U00090.2_116	nifD	100	504	0	0	1	504	1	504	0.0	2697
P20620	nifD	DFBE01000048.1_6	nifD	51	495	212	6	1	478	1	482	1.95e-172	1375
P25313	nifD	NZ_CP012914.1_935	nifD	93	482	29	2	1	482	1	479	3.64e-309	2369
P55170	nifD	NZ_CP009517.1_2903	nifD	88	532	64	0	1	532	1	532	0.0	2547
P71526	nifD	SLTJ01000006.1_18	nifD	51	477	214	4	1	477	1	456	1.44e-155	1250
P77874	nifD	NZ_CP011930.1_2831	nifD	99	484	3	0	1	484	1	484	0.0	2559
Q00239	nifD	DVEB01000153.1_21	nifD	88	498	58	1	1	494	1	498	2.32e-309	2373
Q02452	nifD	WOYS01000013.1_12	nifD	73	491	111	8	1	473	1	489	8.22e-235	1829
Q07HY2	nifD	NZ_JACHIH010000016.1_88	nifD	97	487	12	1	1	487	1	486	0.0	2542
Q0GY15	nifD	WGNO01000026.1_29	nifD	91	503	41	1	1	503	1	500	0.0	2489
Q0RAV5	nifD	WOYS01000013.1_12	nifD	82	490	83	2	1	486	1	489	4.42e-280	2159
Q0W440	nifD	NC_009464.1_1400	nifD	100	535	0	0	1	535	1	535	0.0	2824
Q0YUY7	nifD	SZXZ01000084.1_4	nifD	94	548	31	1	1	544	1	548	0.0	2711
Q13N41	nifD	NZ_BBQM01000004.1_89	nifD	97	487	15	0	1	487	1	487	0.0	2537
Q1K0I7	nifD	PKUE01000007.1_72	nifD	97	480	13	0	1	480	1	480	0.0	2492
Q1M7Z3	nifD	NC_008381.1_158	nifD	100	501	0	0	1	501	1	501	0.0	2691
Q1NW43	nifD	DDWZ01000016.1_82	nifD	87	546	71	1	1	545	1	546	0.0	2570
Q20Y01	nifD	NZ_JXXE01000460.1_2	nifD	89	503	39	1	1	503	1	487	2.26e-313	2402
Q24PI3	nifD	NC_011830.1_1045	nifD	97	493	0	1	1	493	1	477	0.0	2513
Q2J1I0	nifD	NZ_UFQQ01000008.1_218	nifD	95	487	25	0	1	487	1	487	0.0	2509
Q2J4F9	nifD	WOYS01000013.1_12	nifD	80	490	94	2	1	486	1	489	9.53e-274	2113
Q2JTL8	nifD	NZ_WJFC01000112.1_4	nifD	80	498	88	1	1	487	1	498	5.79e-284	2188
Q2RVN3	nifD	NC_007643.1_1037	nifD	100	487	0	0	1	487	1	487	0.0	2579
Q2W6Z8	nifD	NC_007626.1_1586	nifD	100	485	0	0	1	485	1	485	0.0	2582
Q39XW9	nifD	NZ_LT896716.1_1303	nifD	93	483	30	1	1	481	1	483	0.0	2453
Q3A2R8	nifD	NC_007498.2_2167	nifD	100	486	0	0	1	486	1	486	0.0	2592
Q3AR67	nifD	JAAXUM010000013.1_12	nifD	89	546	59	1	1	544	1	546	0.0	2574
Q3B2P3	nifD	JAIOZR010000019.1_28	nifD	89	546	60	0	1	546	1	546	0.0	2600
Q3J0H2	nifD	NC_007493.2_2163	nifD	100	493	0	0	1	493	1	493	0.0	2632
Q3M664	nifD	NZ_PJIZ01000001.1_135	nifD	96	480	21	0	1	480	1	480	0.0	2458
Q3S2V5	nifD	NZ_JACJTB010000012.1_109	nifD	90	499	47	2	1	499	1	497	4.13e-320	2451
Q3Z7D0	nifD	NC_002936.3_1090	nifD	100	539	0	0	1	539	1	539	0.0	2851
Q44045	nifD	NZ_AOBS01000009.1_53	nifD	95	493	21	2	1	489	1	493	0.0	2469
Q44485	nifD	NZ_AP018207.1_6302	nifD	95	495	23	2	1	491	1	495	0.0	2499
Q46G39	nifD	NZ_CP009526.1_863	nifD	100	533	0	0	1	533	1	533	0.0	2829
Q47923	nifD	WOYS01000013.1_12	nifD	77	490	108	2	1	486	1	489	5.22e-263	2035
Q47927	nifD	WOYS01000013.1_12	nifD	78	501	96	3	1	501	1	489	3.72e-273	2110
Q47G68	nifD	PHCU01000233.1_2	nifD	94	490	31	0	1	490	1	490	0.0	2455
Q4C2Y7	nifD	NZ_AADV02000024.1_16	nifD	100	478	0	0	1	478	1	478	0.0	2558
Q4PJU5	nifD	NZ_LATL02000154.1_16	nifD	99	484	1	1	1	484	1	482	0.0	2561
Q50788	nifD	SLTJ01000006.1_18	nifD	51	470	217	5	1	470	1	456	5.11e-157	1260
Q53UA0	nifD	NZ_WNKU01000009.1_57	nifD	99	488	6	0	1	488	1	488	0.0	2579
Q55029	nifD	NC_011726.1_1779	nifD	100	476	0	0	1	476	1	476	0.0	2546
Q56JU4	nifD	NZ_AUFO01000017.1_23	nifD	90	485	14	1	1	451	1	485	1.49e-299	2297
Q589A1	nifD	NZ_NHSN01000005.1_20	nifD	100	488	1	0	1	488	1	488	0.0	2604
Q5NLG2	nifD	NC_015709.1_1308	nifD	95	491	24	0	1	491	1	491	0.0	2502
Q60C80	nifD	DYIL01000064.1_6	nifD	94	489	24	1	1	486	1	489	0.0	2501
Q6D2Y9	nifD	CP036163.1_963	nifD	100	482	0	0	1	482	1	482	0.0	2547
Q6DQY7	nifD	JAJXWH010000032.1_46	nifD	86	530	70	1	1	528	1	530	0.0	2489
Q6N0Z0	nifD	NZ_QYYD01000039.1_29	nifD	96	487	20	0	1	487	1	487	0.0	2530
Q6N6H9	nifD	NC_017068.1_2776	nifD	68	528	144	6	1	502	1	527	1.83e-238	1861
Q6N795	nifD	CAIFEX010000006.1_26	nifD	50	504	242	8	1	501	1	497	3.77e-162	1303
Q6QF63	nifD	NZ_CP010523.2_1672	nifD	94	502	6	3	1	496	1	482	1.66e-317	2431
Q72WS7	nifD	NC_005863.1_12	nifD	100	542	0	0	1	542	1	542	0.0	2859
Q749C3	nifD	NC_002939.5_2780	nifD	100	479	0	0	1	479	1	479	0.0	2554
Q7MRF8	nifD	JAGXFL010000005.1_75	nifD	77	488	107	2	1	484	1	488	2.03e-264	2045
Q7X1F7	nifD	JAKAYF010000064.1_6	nifD	100	476	0	0	1	476	1	476	0.0	2546
Q7X5B1	nifD	JAHHHW010000089.1_37	nifD	96	496	18	0	1	496	1	496	0.0	2594
Q7X5B2	nifD	NZ_JAAKGC010000011.1_22	nifD	91	505	36	1	1	498	1	505	0.0	2483
Q7X5B3	nifD	NZ_CP091913.1_2921	nifD	95	497	27	0	1	497	1	497	0.0	2548
Q8GPM3	nifD	NZ_CP091913.1_2921	nifD	91	497	38	1	1	491	1	497	0.0	2467
Q8GPM4	nifD	NZ_JAAKGC010000011.1_22	nifD	90	514	36	2	1	507	1	505	0.0	2470
Q8GPM6	nifD	NZ_JAAKGC010000011.1_22	nifD	90	507	41	2	1	500	1	505	0.0	2463
Q8GPM9	nifD	NZ_JACJTB010000012.1_109	nifD	96	497	18	0	1	497	1	497	0.0	2589
Q8KC89	nifD	DRSQ01000040.1_11	nifD	89	543	57	1	1	543	1	542	0.0	2622
Q8KIN7	nifD	NZ_CP020950.1_282	nifD	100	500	1	0	1	500	1	500	0.0	2677
Q8KJ97	nifD	NZ_CP033367.1_6615	nifD	100	501	0	0	1	501	1	501	0.0	2677
Q8PYX7	nifD	NZ_CP009516.1_734	nifD	90	532	55	0	1	532	1	532	0.0	2618
Q8TJ90	nifD	NZ_VOUA01000001.1_364	nifD	87	532	65	1	1	528	1	532	0.0	2517
Q97ME2	nifD	NZ_MCGV01000001.1_1737	nifD	90	531	55	0	1	531	1	531	0.0	2608
Q9AJ61	nifD	NZ_JAGINO010000002.1_344	nifD	95	479	23	0	1	479	1	479	0.0	2468
SEH51093;size=1;/1-460	vnfD	NZ_AQPH01000008.1_69	vnfD	97	472	3	1	1	460	1	472	0.0	2464
SFX09986;size=5;/1-460	vnfD	NZ_SMMU01000027.1_43	vnfD	96	474	5	1	1	460	1	474	0.0	2455
gi|121605244|ref|YP_982573.1|	nifH	NC_008781.1_2354	nifH	100	296	0	0	1	296	1	296	5.81e-194	1500
gi|128264|sp|P00463.1|NIFH_BRASP	nifH	NZ_LFIQ01000027.1_51	nifH	100	294	1	0	1	294	1	294	1.71e-192	1489
gi|148257187|ref|YP_001241772.1|	nifH	NC_009485.1_5589	nifH	100	295	0	0	1	295	1	295	2.69e-193	1495
gi|150378167|ref|YP_001314762.1|	nifH	NZ_CP083372.1_93	nifH	100	297	0	0	1	297	1	297	3.53e-195	1509
gi|154244101|ref|YP_001415059.1|	nifH	CP000781.1_145	nifH	100	293	0	0	1	293	1	293	4.57e-193	1493
gi|157804287|gb|ABV79890.1|	nifH	NZ_AJLK01000041.1_8	vnfH	96	296	11	2	1	295	1	295	8.96e-186	1427
gi|158422665|ref|YP_001523957.1|	nifH	NC_009937.1_1061	nifH	100	296	0	0	1	296	1	296	1.63e-194	1504
gi|16520016|ref|NP_444136.1|	nifH	NT_187151.1_17	nifH	100	296	0	0	1	296	1	296	2.06e-193	1496
gi|170741696|ref|YP_001770351.1|	nifH	NZ_KB900609.1_1170	nifH	99	303	0	1	1	299	1	303	9.45e-193	1492
gi|171058114|ref|YP_001790463.1|	nifH	NC_010524.1_1430	nifH	100	293	0	0	1	293	1	293	1.49e-191	1482
gi|182677469|ref|YP_001831615.1|	nifH	NC_010581.1_486	nifH	100	290	0	0	1	290	1	290	4.54e-191	1478
gi|186474718|ref|YP_001863689.1|	nifH	NC_010627.1_490	nifH	100	293	0	0	1	293	1	293	3.06e-192	1487
gi|186680941|ref|YP_001864137.1|	nifH	LXQE01000125.1_187	vnfH	99	297	2	0	1	297	1	297	1.67e-195	1498
gi|188591635|ref|YP_001796234.1|	nifH	NZ_JALHRX010000039.1_4	nifH	100	293	0	0	1	293	1	293	1.62e-192	1489
gi|209543735|ref|YP_002275964.1|	nifH	NC_011365.1_1575	nifH	100	298	0	0	1	298	1	298	6.44e-194	1500
gi|209547092|ref|YP_002279010.1|	nifH	NZ_JAGIOR010000001.1_1671	nifH	97	295	10	0	1	295	1	295	1.09e-186	1447
gi|21492761|ref|NP_659836.1|	nifH	NZ_NWSX01000069.1_17	nifH	100	297	0	0	1	297	1	297	4.45e-194	1501
gi|218667119|ref|YP_002425950.1|	nifH	NC_011761.1_1404	nifH	100	296	0	0	1	296	1	296	2.06e-193	1496
gi|220923884|ref|YP_002499186.1|	nifH	NC_011894.1_3950	nifH	100	299	0	0	1	299	1	299	1.91e-194	1504
gi|221639975|ref|YP_002526237.1|	nifH	NC_007493.2_2164	nifH	99	293	0	1	1	293	1	291	2.27e-189	1466
gi|225521923|ref|ZP_03768757.1|	nifH	JAHHHC010000005.1_41	vnfH	96	297	9	2	1	296	1	296	8.13e-188	1442
gi|241113274|ref|YP_002973109.1|	nifH	NC_012848.1_282	nifH	100	295	0	0	1	295	1	295	6.96e-193	1492
gi|254785645|ref|YP_003073074.1|	nifH	NC_012997.1_1364	nifH	100	292	0	0	1	292	1	292	2.67e-191	1480
gi|289474534|gb|ADC97878.1|	nifH	LM997411.1_2061	nifH	100	297	0	0	1	297	1	297	2.03e-196	1518
gi|305390409|gb|ADM52732.1|	nifH	NZ_CP004078.1_3099	nifH	100	290	0	0	1	290	1	290	8.56e-191	1476
gi|71907047|ref|YP_284634.1|	nifH	DDXB01000046.1_49	nifH	92	298	21	1	1	296	1	298	7.29e-181	1405
gi|75910120|ref|YP_324416.1|	nifH	NZ_AP018207.1_6268	vnfH	97	296	8	1	1	295	1	296	1.4e-190	1462
gi|83310673|ref|YP_420937.1|	nifH	NC_007626.1_1587	nifH	100	295	0	0	1	295	1	295	1.55e-194	1504
gi|83592346|ref|YP_426098.1|	nifH	NC_007643.1_1036	nifH	100	295	0	0	1	295	1	295	2.13e-194	1503
gi|90425935|ref|YP_534305.1|	nifH	NZ_JACHIH010000016.1_89	nifH	100	300	0	0	1	300	1	300	2.76e-194	1503
gi|91778641|ref|YP_553849.1|	nifH	NC_007952.1_1551	nifH	100	293	0	0	1	293	1	293	7.92e-192	1484
