	GenomeID	nifH	nifD	nifK	vnfH	vnfD	vnfK	anfH	anfD	anfK	nflD	nflH	ChlN	ChIl	ChlB
36	GB_GCA_000824825.2	LM655202.1_252	LM655202.1_253	LM655202.1_254											
37	GB_GCA_000824845.1	CCNC01000179.1_54	CCNC01000179.1_53	CCNC01000179.1_52											
38	GB_GCA_000828975.1	AP014683.1_1379	AP014683.1_1378	AP014683.1_1377											
39	GB_GCA_000953215.1	LM995447.1_827	LM995447.1_822	LM995447.1_823											
40	GB_GCA_000953475.1	LM997411.1_2061	LM997411.1_2060	LM997411.1_2059											
41	GB_GCA_000961575.1	LADP01000032.1_43	LADP01000032.1_46	LADP01000032.1_47											
42	GB_GCA_000961585.1	LADN01000053.1_49	LADN01000053.1_46	LADN01000053.1_45											
43	GB_GCA_000961595.1	LADO01000055.1_78	LADO01000055.1_81	LADO01000055.1_82											
44	GB_GCA_000961655.1	LADR01000085.1_11	LADR01000085.1_8	LADR01000085.1_7											
45	GB_GCA_000961725.1	LADS01000004.1_67	LADS01000004.1_70	LADS01000004.1_71											
46	GB_GCA_000961745.1	LAEA01000099.1_22	LAEA01000099.1_21	LAEA01000099.1_20											
47	GB_GCA_000985875.1	CCRI01000031.1_17	CCRI01000031.1_18	CCRI01000031.1_19											
48	GB_GCA_001005265.1	CP011392.1_604	CP011392.1_601	CP011392.1_600											
49	GB_GCA_001029295.1	LDXJ01000058.1_156	LDXJ01000058.1_157	LDXJ01000058.1_158											
50	GB_GCA_001044195.1	LFCU01000132.1_6	LFCU01000132.1_3	LFCU01000132.1_2											
51	GB_GCA_001184205.1	LBMP01000004.1_396	LBMP01000004.1_393	LBMP01000004.1_392											
52	GB_GCA_001190925.1	CP011072.1_704	CP011072.1_703	CP011072.1_702											
53	GB_GCA_001276605.1	JXSN01000389.1_2	JXSN01000542.1_1	JXSN01000481.1_1											
54	GB_GCA_001312405.1	BBDR01000004.1_118	BBDR01000004.1_122	BBDR01000004.1_123											
55	GB_GCA_001314905.1	LJZT01000032.1_8	LJZT01000032.1_5	LJZT01000032.1_4									LJZT01000044.1_28	LJZT01000044.1_30	LJZT01000066.1_11
56	GB_GCA_001443525.1	LKPX01000013.1_58	LKPX01000013.1_55	LKPX01000013.1_54				LKPX01000006.1_69	LKPX01000006.1_66	LKPX01000006.1_64					
57	GB_GCA_001462245.1	LIUG01000026.1_12	LIUG01000026.1_15	LIUG01000026.1_16											
58	GB_GCA_001462255.1	LIUJ01000308.1_1	LIUJ01000308.1_2	LIUJ01000308.1_4											
59	GB_GCA_001509375.1	LGFT01000081.1_1	LGFT01000081.1_4	LGFT01000081.1_5							LGFT01000025.1_6	LGFT01000010.1_31			
60	GB_GCA_001516045.1	LOEW01000092.1_15	LOEW01000092.1_14	LOEW01000092.1_13											
61	GB_GCA_001516055.1	LOEZ01000019.1_90	LOEZ01000019.1_87	LOEZ01000019.1_86											
62	GB_GCA_001602645.1	LUYE01000048.1_22	LUYE01000048.1_19	LUYE01000048.1_18							LUYE01000036.1_126	LUYE01000036.1_63			
63	GB_GCA_001602925.1	LUZT01000011.1_96	LUZT01000011.1_99	LUZT01000011.1_100				LUZT01000006.1_395	LUZT01000006.1_398	LUZT01000006.1_400			LUZT01000013.1_91	LUZT01000013.1_93	LUZT01000013.1_92
64	GB_GCA_001603035.1	LVAS01000062.1_6	LVAS01000062.1_9	LVAS01000062.1_10											
65	GB_GCA_001603055.1	LVAZ01000212.1_12	LVAZ01000212.1_9	LVAZ01000212.1_8											
66	GB_GCA_001603145.1	LVBI01000002.1_20	LVBI01000043.1_8	LVBI01000043.1_9											
67	GB_GCA_001603845.1	LUZZ01000315.1_2	LUZZ01000315.1_5	LUZZ01000315.1_6											
68	GB_GCA_001603905.1	LVAE01000048.1_50	LVAE01000048.1_49	LVAE01000048.1_48											
69	GB_GCA_001604035.1	LVAK01000161.1_2	LVAK01000161.1_6	LVAK01000161.1_5											
70	GB_GCA_001604135.1	LVAT01000020.1_22	LVAT01000020.1_24	LVAT01000020.1_23											
71	GB_GCA_001604185.1	LVAV01000054.1_59	LVAV01000054.1_64	LVAV01000054.1_62											
72	GB_GCA_001604385.1	LVBK01000047.1_4	LVBK01000047.1_7	LVBK01000047.1_8											
73	GB_GCA_001604405.1	LVBL01000030.1_11	LVBL01000030.1_14	LVBL01000030.1_15											
74	GB_GCA_001604585.1	LVBW01000006.1_5	LVBW01000006.1_6	LVBW01000006.1_7											
75	GB_GCA_001622165.1	LVWG01000032.1_130	LVWG01000032.1_133	LVWG01000032.1_134									LVWG01000034.1_112	LVWG01000034.1_114	LVWG01000034.1_113
76	GB_GCA_001637315.1	LSZA01000060.1_4	LSZA01000060.1_7	LSZA01000060.1_8									LSZA01000029.1_12	LSZA01000029.1_14	LSZA01000094.1_11
77	GB_GCA_001644045.1	LUUF01000077.1_10	LUUF01000077.1_9	LUUF01000077.1_8											
78	GB_GCA_001650175.1	KV441839.1_729	KV441839.1_730	KV441839.1_731				KV441839.1_711	KV441839.1_712	KV441839.1_714					
79	GB_GCA_001657325.1	LWRO01000008.1_70	LWRO01000008.1_71	LWRO01000008.1_72									LWRO01000002.1_83	LWRO01000002.1_87	LWRO01000006.1_188
80	GB_GCA_001657575.1	LBCX01000114.1_4	LBCX01000114.1_1	LBCX01000006.1_1				LBCX01000005.1_26	LBCX01000005.1_29	LBCX01000005.1_31					
81	GB_GCA_001672075.1	LJOT01000111.1_10	LJOT01000111.1_5	LJOT01000008.1_33									LJOT01000068.1_17	LJOT01000068.1_19	LJOT01000012.1_1
82	GB_GCA_001683985.1	MAEO01000128.1_16	MAEO01000128.1_21	MAEO01000128.1_22											
83	GB_GCA_001704765.1	MBFK01000144.1_1	MBFK01000144.1_2	MBFK01000144.1_3											
84	GB_GCA_001709035.1	LVKA01000021.1_2	LVKA01000021.1_3	LVKA01000021.1_4											
85	GB_GCA_001714685.2	MDTP02000079.1_26	MDTP02000079.1_23	MDTP02000079.1_22							MDTP02000071.1_28	MDTP02000071.1_27			
86	GB_GCA_001725945.1	LRMT01000064.1_36	LRMT01000064.1_37	LRMT01000064.1_39											
87	GB_GCA_001749745.1	JWTM01000549.1_47	JWTM01000549.1_50	JWTM01000549.1_51											
88	GB_GCA_001751015.1	MAXM01000301.1_17	MAXM01000301.1_9	MAXM01000301.1_12											
89	GB_GCA_001768075.1	MEMX01000055.1_1	MEMX01000094.1_1	MEMX01000094.1_2											
90	GB_GCA_001770725.1	MERU01000006.1_361	MERU01000006.1_362	MERU01000006.1_363											
91	GB_GCA_001783695.1	MFNE01000038.1_27	MFNE01000038.1_26	MFNE01000038.1_25											
92	GB_GCA_001799255.1	MGTC01000080.1_6	MGTC01000080.1_9	MGTC01000080.1_10											
93	GB_GCA_001799285.1	MGTD01000048.1_38	MGTD01000048.1_41	MGTD01000048.1_42											
94	GB_GCA_001799365.1	MGTI01000009.1_2	MGTI01000009.1_5	MGTI01000009.1_6											
95	GB_GCA_001799395.1	MGTJ01000180.1_11	MGTJ01000180.1_8	MGTJ01000180.1_7											
96	GB_GCA_001799475.1	MGTN01000127.1_57	MGTN01000127.1_49	MGTN01000127.1_53											
97	GB_GCA_001799485.1	MGTO01000132.1_39	MGTO01000132.1_38	MGTO01000132.1_37											
98	GB_GCA_001800355.1	MGVF01000039.1_6	MGVF01000039.1_3	MGVF01000039.1_2											
99	GB_GCA_001800515.1	MGVN01000251.1_7	MGVN01000251.1_4	MGVN01000251.1_3											
100	GB_GCA_001801085.1	MGWR01000049.1_2	MGWR01000014.1_1	MGWR01000014.1_2											
101	GB_GCA_001801105.1	MGWS01000033.1_131	MGWS01000033.1_130	MGWS01000033.1_129											
102	GB_GCA_001801995.1	MGZB01000002.1_147	MGZB01000002.1_148	MGZB01000002.1_149											
103	GB_GCA_001802125.1	MGZK01000070.1_4	MGZK01000070.1_3	MGZK01000070.1_2											
104	GB_GCA_001802645.1	MGZJ01000025.1_34	MGZJ01000010.1_38	MGZJ01000010.1_37											
105	GB_GCA_001802655.1	MGZO01000020.1_16	MGZO01000020.1_17	MGZO01000020.1_18											
106	GB_GCA_001803635.1	MHDU01000080.1_35	MHDU01000080.1_34	MHDU01000080.1_33											
107	GB_GCA_001803795.1	MHEK01000009.1_2	MHEK01000093.1_1	MHEK01000093.1_2											
108	GB_GCA_001804815.1	MHBI01000031.1_4	MHBI01000031.1_7	MHBI01000031.1_8											
109	GB_GCA_001804865.1	MHBK01000027.1_28	MHBK01000027.1_25	MHBK01000027.1_24											
110	GB_GCA_001805055.1	MHDZ01000067.1_11	MHDZ01000067.1_12	MHDZ01000067.1_13											
111	GB_GCA_001805085.1	MHEA01000247.1_16	MHEA01000247.1_17	MHEA01000247.1_18											
112	GB_GCA_001805105.1	MHEE01000009.1_172	MHEE01000009.1_171	MHEE01000009.1_170											
113	GB_GCA_001828935.1	MHZX01000029.1_4	MHZX01000029.1_5	MHZX01000029.1_6											
114	GB_GCA_001829125.1	MIAN01000268.1_24	MIAN01000268.1_27	MIAN01000268.1_28											
115	GB_GCA_001829155.1	MIAO01000074.1_30	MIAO01000074.1_27	MIAO01000074.1_26											
116	GB_GCA_001829315.1	MIAY01000010.1_75	MIAY01000010.1_72	MIAY01000010.1_71											
117	GB_GCA_001829625.1	MIBW01000096.1_10	MIBW01000048.1_2	MIBW01000048.1_3											
118	GB_GCA_001871085.1	MNUQ01000182.1_5	MNUQ01000182.1_2	MNUQ01000182.1_1				MNUQ01000086.1_5	MNUQ01000086.1_8	MNUQ01000086.1_10					
119	GB_GCA_001872725.1	MNWR01000108.1_9	MNWR01000108.1_10	MNWR01000108.1_11											
120	GB_GCA_001873075.1	MNYL01000079.1_10	MNYL01000079.1_7	MNYL01000079.1_6											
121	GB_GCA_001890975.1	MLAW01000023.1_30	MLAW01000023.1_33	MLAW01000023.1_34									MLAW01000055.1_7	MLAW01000055.1_5	MLAW01000002.1_9
122	GB_GCA_001896915.1	MKRK01000019.1_20	MKRK01000172.1_12	MKRK01000172.1_11											
123	GB_GCA_001897035.1	MKRS01000748.1_3	MKRS01000824.1_2	MKRS01000824.1_3											
124	GB_GCA_001914235.1	MQUF01000001.1_37	MQUF01000001.1_34	MQUF01000001.1_33											
125	GB_GCA_002009425.1	CP019936.1_1462	CP019936.1_1463	CP019936.1_1464											
126	GB_GCA_002011745.1	MTOU01000029.1_17	MTOU01000029.1_16	MTOU01000029.1_15											
127	GB_GCA_002067275.1	MVQX01000087.1_97	MVQX01000087.1_94	MVQX01000087.1_93							MVQX01000060.1_20	MVQX01000060.1_21			
128	GB_GCA_002067365.1	MVRK01000029.1_105	MVRK01000029.1_102	MVRK01000029.1_101							MVRK01000031.1_52	MVRK01000111.1_21			
129	GB_GCA_002067405.1	MVRP01000108.1_7	MVRP01000108.1_10	MVRP01000108.1_11											
130	GB_GCA_002067705.1	MVRL01000089.1_8	MVRL01000089.1_11	MVRL01000089.1_12							MVRL01000163.1_12	MVRL01000088.1_77			
131	GB_GCA_002067755.1	MVQH01000075.1_42	MVQH01000075.1_39	MVQH01000075.1_38							MVQH01000077.1_60	MVQH01000071.1_6			
132	GB_GCA_002067965.1	MVRN01000118.1_10	MVRN01000118.1_13	MVRN01000118.1_14											
133	GB_GCA_002069975.1	MWCJ01000005.1_8	MWCJ01000005.1_5	MWCJ01000005.1_4											
134	GB_GCA_002070825.1	MWDT01000019.1_3	MWDT01000019.1_4	MWDT01000019.1_5											
135	GB_GCA_002083615.1	MSXO01000027.1_1	MSXO01000027.1_2	MSXO01000027.1_3											
136	GB_GCA_002091395.1	AP017913.1_201	AP017913.1_204	AP017913.1_205											
137	GB_GCA_002110465.1	NEED01000049.1_256	NEED01000049.1_255	NEED01000049.1_254									NEED01000075.1_162	NEED01000075.1_164	NEED01000001.1_19
138	GB_GCA_002134785.1	MBQZ01000010.1_27	MBQZ01000010.1_28	MBQZ01000010.1_30											
139	GB_GCA_002172675.1	NETF01000165.1_37	NETF01000165.1_38	NETF01000165.1_39									NETF01000207.1_5	NETF01000207.1_2	NETF01000182.1_112
140	GB_GCA_002237645.1	MJUZ01000014.1_9	MJUZ01000014.1_12	MJUZ01000014.1_13											
141	GB_GCA_002256465.1	NQJG01000248.1_2	NQJG01000248.1_1	NQJG01000289.1_5											
142	GB_GCA_002256705.1	NQJI01000041.1_2	NQJI01000041.1_3	NQJI01000041.1_4											
143	GB_GCA_002256995.1	NCGX01000016.1_44	NCGX01000016.1_45	NCGX01000016.1_46											
144	GB_GCA_002257205.1	NCHM01000060.1_1	NCHM01000544.1_2	NCHM01000544.1_3											
145	GB_GCA_002270295.1	NISF01000006.1_288	NISF01000006.1_287	NISF01000006.1_286				NISF01000001.1_803	NISF01000001.1_804	NISF01000001.1_806					
146	GB_GCA_002281555.1	NCGJ01000007.1_66	NCGJ01000007.1_67	NCGJ01000007.1_68											
147	GB_GCA_002281735.1	NCGK01000014.1_5	NCGK01000014.1_4	NCGK01000014.1_3											
148	GB_GCA_002293545.1	DBDL01000061.1_12	DBDL01000061.1_10	DBDL01000061.1_9											
149	GB_GCA_002294045.1	DBEP01000051.1_48	DBEP01000051.1_51	DBEP01000051.1_52											
150	GB_GCA_002298145.1	DBMP01000029.1_90	DBMP01000029.1_89	DBMP01000029.1_88				DBMP01000017.1_46	DBMP01000017.1_47	DBMP01000017.1_49					
151	GB_GCA_002298165.1	DBMI01000028.1_135	DBMI01000028.1_138	DBMI01000028.1_139											
152	GB_GCA_002298335.1	DBNK01000010.1_5	DBNK01000010.1_6	DBNK01000010.1_7											
153	GB_GCA_002298925.1	DBMM01000086.1_23	DBMM01000094.1_5	DBMM01000094.1_4											
154	GB_GCA_002304345.1	NEUU01000012.1_19	NEUU01000012.1_16	NEUU01000012.1_15											
155	GB_GCA_002304505.1	NCEH01000040.1_18	NCEH01000083.1_2	NCEH01000083.1_3											
156	GB_GCA_002306005.1	DBRO01000109.1_32	DBRO01000109.1_35	DBRO01000109.1_36				DBRO01000033.1_10	DBRO01000033.1_9	DBRO01000033.1_7					
157	GB_GCA_002306945.1	DBTH01000063.1_4	DBTH01000104.1_1	DBTH01000001.1_18				DBTH01000319.1_13	DBTH01000319.1_16	DBTH01000319.1_18					
158	GB_GCA_002306975.1	DBTI01000098.1_20	DBTI01000098.1_17	DBTI01000098.1_16				DBTI01000267.1_30	DBTI01000114.1_50	DBTI01000114.1_48					
159	GB_GCA_002306985.1	DBTJ01000215.1_4	DBTJ01000037.1_50	DBTJ01000037.1_48											
160	GB_GCA_002307035.1	DBTL01000044.1_80	DBTL01000044.1_77	DBTL01000044.1_76				DBTL01000134.1_23	DBTL01000134.1_20	DBTL01000134.1_17					
161	GB_GCA_002307055.1	DBTM01000036.1_119	DBTM01000036.1_116	DBTM01000036.1_115											
162	GB_GCA_002307145.1	DBTR01000053.1_30	DBTR01000062.1_24	DBTR01000062.1_2				DBTR01000004.1_1	DBTR01000004.1_2	DBTR01000004.1_4					
163	GB_GCA_002307185.1	DBTT01000046.1_83	DBTT01000046.1_80	DBTT01000046.1_79				DBTT01000042.1_12	DBTT01000042.1_9	DBTT01000042.1_7					
164	GB_GCA_002307215.1	DBTU01000053.1_108	DBTU01000053.1_105	DBTU01000053.1_104											
165	GB_GCA_002307245.1	DBTW01000202.1_7	DBTW01000202.1_4	DBTW01000202.1_3											
166	GB_GCA_002307275.1	DBTX01000018.1_24	DBTX01000018.1_21	DBTX01000018.1_20											
167	GB_GCA_002307315.1	DBTZ01000062.1_3	DBTZ01000062.1_2	DBTZ01000062.1_1											
168	GB_GCA_002307725.1	DBUB01000010.1_153	DBUB01000010.1_154	DBUB01000010.1_155											
169	GB_GCA_002309305.1	DBWR01000008.1_11	DBWR01000008.1_33	DBWR01000008.1_34											
170	GB_GCA_002310155.1	DBYF01000065.1_3	DBYF01000065.1_8	DBYF01000065.1_6											
171	GB_GCA_002310215.1	DBYR01000006.1_19	DBYR01000006.1_21	DBYR01000006.1_39											
172	GB_GCA_002314445.1	DCFX01000053.1_10	DCFX01000053.1_13	DCFX01000053.1_14											
173	GB_GCA_002314775.1	DCHE01000088.1_57	DCHE01000088.1_59	DCHE01000088.1_60											
174	GB_GCA_002316675.1	DCDZ01000030.1_42	DCDZ01000030.1_40	DCDZ01000030.1_41											
175	GB_GCA_002319795.1	DCFU01000034.1_51	DCFU01000034.1_54	DCFU01000034.1_55											
176	GB_GCA_002319815.1	DCFR01000082.1_7	DCFR01000082.1_10	DCFR01000082.1_11											
177	GB_GCA_002327235.1	DCUX01000006.1_23	DCUX01000054.1_17	DCUX01000054.1_16											
178	GB_GCA_002327405.1	DCVO01000109.1_1	DCVO01000092.1_31	DCVO01000092.1_33											
179	GB_GCA_002339745.1	DDKP01000095.1_1	DDKP01000095.1_4	DDKP01000095.1_5											
180	GB_GCA_002340255.1	DDLS01000181.1_16	DDLS01000181.1_13	DDLS01000181.1_12									DDLS01000115.1_21	DDLS01000164.1_16	DDLS01000070.1_6
181	GB_GCA_002340345.1	DDLW01000155.1_1	DDLW01000155.1_2	DDLW01000155.1_3											
182	GB_GCA_002341805.1	DDOS01000126.1_23	DDOS01000126.1_22	DDOS01000126.1_21											
183	GB_GCA_002342805.1	DDQW01000093.1_19	DDQW01000093.1_16	DDQW01000093.1_15											
184	GB_GCA_002343485.1	DDST01000096.1_3	DDST01000096.1_2	DDST01000096.1_1											
185	GB_GCA_002343685.1	DDRS01000008.1_81	DDRS01000008.1_82	DDRS01000008.1_83											
186	GB_GCA_002347095.1	DDWZ01000016.1_79	DDWZ01000016.1_82	DDWZ01000016.1_83											
187	GB_GCA_002347405.1	DDXB01000046.1_49	DDXB01000046.1_48	DDXB01000046.1_47											
188	GB_GCA_002347615.1	DDYH01000026.1_20	DDYH01000026.1_21	DDYH01000026.1_22											
189	GB_GCA_002347965.1	DDYN01000017.1_2	DDYN01000016.1_90	DDYN01000016.1_89											
190	GB_GCA_002348905.1	DEBW01000050.1_8	DEBW01000034.1_24	DEBW01000034.1_25											
191	GB_GCA_002350105.1	DEDT01000054.1_39	DEDT01000054.1_34	DEDT01000054.1_33											
192	GB_GCA_002350525.1	DEFA01000017.1_34	DEFA01000017.1_35	DEFA01000017.1_36											
193	GB_GCA_002356515.1	AP017605.1_5206	AP017605.1_5207	AP017605.1_5208											
194	GB_GCA_002362105.1	DETD01000013.1_32	DETD01000013.1_30	DETD01000013.1_31											
195	GB_GCA_002367105.1	DFCS01000026.1_34	DFCS01000026.1_35	DFCS01000026.1_36											
196	GB_GCA_002367275.1	DFBE01000048.1_3	DFBE01000048.1_6	DFBE01000048.1_7											
197	GB_GCA_002368155.1	AP018180.1_4772	AP018180.1_4773	AP018180.1_4774	AP018180.1_799	AP018180.1_807	AP018180.1_808						AP018180.1_4647	AP018180.1_4649	AP018180.1_4493
198	GB_GCA_002368275.1	AP018233.1_3235	AP018233.1_2744	AP018233.1_2795	AP018233.1_3456	AP018233.1_3158	AP018233.1_3159						AP018236.1_24	AP018236.1_26	AP018233.1_5353
199	GB_GCA_002368605.1	DFEB01000077.1_10	DFEB01000017.1_9	DFEB01000079.1_4											
200	GB_GCA_002368715.1	DFEO01000129.1_2	DFEO01000129.1_1	DFEO01000118.1_2											
201	GB_GCA_002369325.1	DFDU01000003.1_25	DFDU01000003.1_19	DFDU01000003.1_22											
202	GB_GCA_002371265.1	DFGT01000027.1_21	DFGT01000027.1_23	DFGT01000027.1_35											
203	GB_GCA_002372875.1	DFJD01000024.1_8	DFJD01000024.1_6	DFJD01000024.1_5											
204	GB_GCA_002373165.1	DFJS01000090.1_6	DFJS01000090.1_11	DFJS01000090.1_10											
205	GB_GCA_002373205.1	DFJV01000113.1_27	DFJV01000113.1_14	DFJV01000113.1_9											
206	GB_GCA_002373855.1	DFKO01000041.1_6	DFKO01000041.1_8	DFKO01000041.1_7											
207	GB_GCA_002382645.1	DFYP01000136.1_3	DFYP01000136.1_2	DFYP01000147.1_2											
208	GB_GCA_002382755.1	DFZT01000026.1_1	DFZT01000067.1_4	DFZT01000067.1_3											
209	GB_GCA_002387725.1	DGKK01000015.1_34	DGKK01000015.1_33	DGKK01000015.1_32											
210	GB_GCA_002389905.1	DGRE01000019.1_14	DGRE01000019.1_17	DGRE01000019.1_18											
211	GB_GCA_002391065.1	DGRP01000082.1_4	DGRP01000082.1_3	DGRP01000082.1_2											
212	GB_GCA_002391235.1	DGRX01000006.1_63	DGRX01000006.1_66	DGRX01000006.1_57											
213	GB_GCA_002392275.1	DGGQ01000104.1_3	DGGQ01000104.1_5	DGGQ01000084.1_11											
214	GB_GCA_002392545.1	DGHF01000158.1_8	DGHF01000158.1_12	DGHF01000158.1_11											
215	GB_GCA_002392915.1	DGHQ01000005.1_14	DGHQ01000005.1_16	DGHQ01000005.1_29											
216	GB_GCA_002393195.1	DGIK01000065.1_4	DGIK01000065.1_2	DGIK01000065.1_1											
217	GB_GCA_002393865.1	DGUD01000199.1_12	DGUD01000199.1_26	DGUD01000199.1_15											
218	GB_GCA_002394465.1	DGTU01000141.1_1	DGTU01000141.1_3	DGTU01000141.1_4											
219	GB_GCA_002394865.1	DGUZ01000024.1_38	DGUZ01000024.1_41	DGUZ01000024.1_42											
220	GB_GCA_002396385.1	DGTD01000013.1_5	DGTD01000013.1_3	DGTD01000013.1_4											
221	GB_GCA_002397275.1	DHAA01000074.1_26	DHAA01000074.1_23	DHAA01000074.1_22											
222	GB_GCA_002398825.1	DHBS01000007.1_83	DHBS01000007.1_80	DHBS01000007.1_79											
223	GB_GCA_002399405.1	DHDP01000019.1_200	DHDP01000019.1_197	DHDP01000019.1_196											
224	GB_GCA_002402945.1	DHGV01000056.1_12	DHGV01000056.1_9	DHGV01000056.1_8											
225	GB_GCA_002403375.1	DHHQ01000008.1_148	DHHQ01000008.1_149	DHHQ01000008.1_150											
226	GB_GCA_002403385.1	DHHR01000071.1_13	DHHR01000071.1_16	DHHR01000071.1_17											
227	GB_GCA_002403785.1	DHIM01000108.1_2	DHIM01000144.1_10	DHIM01000144.1_9											
228	GB_GCA_002406015.1	DHMX01000005.1_33	DHMX01000005.1_31	DHMX01000005.1_30											
229	GB_GCA_002408065.1	DHQI01000129.1_10	DHQI01000129.1_13	DHQI01000129.1_14											
230	GB_GCA_002408085.1	DHQL01000018.1_134	DHQL01000018.1_131	DHQL01000018.1_130											
231	GB_GCA_002410325.1	DHRK01000019.1_68	DHRK01000019.1_71	DHRK01000019.1_72											
232	GB_GCA_002411145.1	DHRA01000077.1_20	DHRA01000077.1_21	DHRA01000077.1_22											
233	GB_GCA_002412555.1	DHVH01000231.1_5	DHVH01000231.1_2	DHVH01000231.1_1											
234	GB_GCA_002412965.1	DHWB01000004.1_481	DHWB01000004.1_484	DHWB01000004.1_485											
235	GB_GCA_002413075.1	DHWG01000082.1_9	DHWG01000082.1_10	DHWG01000082.1_11											
236	GB_GCA_002413345.1	DHWU01000017.1_21	DHWU01000017.1_16	DHWU01000017.1_17				DHWU01000027.1_1	DHWU01000023.1_43	DHWU01000023.1_39					
237	GB_GCA_002413395.1	DHWX01000009.1_50	DHWX01000009.1_49	DHWX01000009.1_48											
238	GB_GCA_002414145.1	DHYP01000031.1_10	DHYP01000031.1_11	DHYP01000031.1_12											
239	GB_GCA_002414225.1	DHYV01000024.1_164	DHYV01000024.1_161	DHYV01000024.1_160											
240	GB_GCA_002415465.1	DHYT01000192.1_6	DHYT01000192.1_2	DHYT01000192.1_1											
241	GB_GCA_002417975.1	DIDE01000065.1_21	DIDE01000065.1_18	DIDE01000065.1_17											
242	GB_GCA_002418835.1	DIEX01000030.1_48	DIEX01000030.1_45	DIEX01000030.1_44											
243	GB_GCA_002419025.1	DIFG01000025.1_3	DIFG01000025.1_6	DIFG01000025.1_7											
